ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,163.96176,109.434906;1,231.09941,146.67728;2,74.56439,100.62556;3,45.984947,60.49456;4,119.23091,72.567116;5,123.25357,164.14049;1730691346.8595479;1730691346.8769567;0.017409801483154297#0.0254#PreStim#PreStim
0,163.59525,109.45461;1,231.05733,149.39769;2,73.96937,99.75484;3,48.29145,57.602856;4,118.99009,72.6161;5,123.18694,164.04903;1730691346.8695683;1730691346.8834276;0.013860225677490234#0.00647#PreStim#PreStim
0,163.66261,108.91117;1,231.79527,146.72157;2,73.79731,99.33461;3,47.484734,55.923767;4,119.15322,71.7994;5,123.108635,163.75563;1730691346.8795712;1730691346.888939;0.009368896484375#0.00551#PreStim#PreStim
0,163.66261,108.91117;1,231.79527,146.72157;2,73.79731,99.33461;3,47.484734,55.923767;4,119.15322,71.7994;5,123.108635,163.75563;1730691346.8795712;1730691346.8945122;0.014941930770874023#0.00558#PreStim#PreStim
0,163.29128,109.310234;1,232.23376,146.37204;2,74.0105,99.76521;3,47.202065,57.01087;4,119.08265,72.0529;5,122.79254,164.04132;1730691346.8895693;1730691346.9003785;0.010810136795043945#0.00586#PreStim#PreStim
0,163.41219,109.133545;1,227.69247,137.59741;2,74.43068,100.12591;3,48.391632,54.287888;4,119.158195,72.13645;5,123.05876,164.90091;1730691346.8995826;1730691346.9065232;0.006941556930541992#0.00615#PreStim#PreStim
0,163.41219,109.133545;1,227.69247,137.59741;2,74.43068,100.12591;3,48.391632,54.287888;4,119.158195,72.13645;5,123.05876,164.90091;1730691346.8995826;1730691346.9128838;0.013302087783813477#0.00636#PreStim#PreStim
0,164.17499,110.50744;1,237.29298,123.03494;2,74.31034,100.4091;3,46.48671,58.528465;4,119.36225,72.220474;5,123.16975,165.99503;1730691346.9095857;1730691346.9185028;0.008918285369873047#0.00562#PreStim#PreStim
0,164.17499,110.50744;1,237.29298,123.03494;2,74.31034,100.4091;3,46.48671,58.528465;4,119.36225,72.220474;5,123.16975,165.99503;1730691346.9095857;1730691346.9246018;0.015017271041870117#0.0061#PreStim#PreStim
0,163.9819,110.22546;1,236.55675,120.26523;2,74.47118,100.79844;3,45.864048,61.134796;4,118.889366,71.91002;5,123.10154,166.31015;1730691346.9196093;1730691346.9306262;0.011017560958862305#0.00602#PreStim#PreStim
0,164.16946,110.80556;1,236.3631,123.398094;2,76.16258,102.14218;3,46.03327,65.58117;4,119.85824,71.87138;5,123.23465,166.17178;1730691346.9296045;1730691346.9364555;0.006851911544799805#0.00583#PreStim#PreStim
0,164.16946,110.80556;1,236.3631,123.398094;2,76.16258,102.14218;3,46.03327,65.58117;4,119.85824,71.87138;5,123.23465,166.17178;1730691346.9296045;1730691346.9427524;0.01314854621887207#0.0063#PreStim#PreStim
0,164.07756,110.729454;1,238.9523,128.05711;2,75.235466,101.29647;3,45.475082,61.239353;4,119.54502,72.69657;5,123.2036,166.07361;1730691346.9396305;1730691346.9488957;0.009265899658203125#0.00614#PreStim#PreStim
0,164.07756,110.729454;1,238.9523,128.05711;2,75.235466,101.29647;3,45.475082,61.239353;4,119.54502,72.69657;5,123.2036,166.07361;1730691346.9396305;1730691346.9550602;0.015430688858032227#0.00616#PreStim#PreStim
0,164.40302,111.10812;1,239.145,130.6259;2,74.69419,101.17617;3,42.010216,60.74198;4,119.435905,73.082184;5,123.194534,166.5747;1730691346.949638;1730691346.9608488;0.01121211051940918#0.00578#PreStim#PreStim
0,163.31412,110.283966;1,234.34924,120.26848;2,74.52471,102.17381;3,40.248924,67.22092;4,118.60176,73.34957;5,122.52316,166.1528;1730691346.959623;1730691346.966966;0.00734400749206543#0.00612#PreStim#PreStim
0,163.31412,110.283966;1,234.34924,120.26848;2,74.52471,102.17381;3,40.248924,67.22092;4,118.60176,73.34957;5,122.52316,166.1528;1730691346.959623;1730691346.973158;0.013535737991333008#0.00619#PreStim#PreStim
0,164.11684,111.02582;1,239.33716,130.93057;2,74.91928,101.62384;3,41.003,68.287056;4,119.53302,73.30848;5,123.20432,166.22945;1730691346.9696307;1730691346.9793873;0.009757757186889648#0.00625#PreStim#PreStim
0,164.1215,111.385376;1,238.98756,132.46014;2,75.661705,102.83634;3,29.46655,104.88522;4,118.99793,73.18258;5,123.14063,166.23009;1730691346.9696307;1730691346.9854045;0.015774965286254883#0.006#PreStim#PreStim
0,164.1215,111.385376;1,238.98756,132.46014;2,75.661705,102.83634;3,29.46655,104.88522;4,118.99793,73.18258;5,123.14063,166.23009;1730691346.9796531;1730691346.9915411;0.011888980865478516#0.00614#PreStim#PreStim
0,164.24019,111.345604;1,237.33636,130.9658;2,75.67944,103.704666;3,32.297256,98.40492;4,119.2417,73.52982;5,123.214485,166.54646;1730691346.9896567;1730691346.997503;0.007847309112548828#0.00596#PreStim#PreStim
0,164.24019,111.345604;1,237.33636,130.9658;2,75.67944,103.704666;3,32.297256,98.40492;4,119.2417,73.52982;5,123.214485,166.54646;1730691346.9896567;1730691347.0030751;0.013419628143310547#0.00557#PreStim#PreStim
0,164.53435,111.91517;1,234.3792,132.61697;2,75.6033,104.74148;3,26.44171,111.84509;4,118.691986,73.545425;5,123.107445,166.51288;1730691346.999685;1730691347.0092406;0.00955653190612793#0.00616#PreStim#PreStim
0,164.87721,112.13629;1,235.70001,133.81462;2,75.41324,104.7156;3,26.945578,108.45057;4,119.09925,73.44701;5,122.95402,166.86325;1730691346.999685;1730691347.0154836;0.015799522399902344#0.00625#PreStim#PreStim
0,164.87721,112.13629;1,235.70001,133.81462;2,75.41324,104.7156;3,26.945578,108.45057;4,119.09925,73.44701;5,122.95402,166.86325;1730691347.0096722;1730691347.0222695;0.012598276138305664#0.00679#PreStim#PreStim
0,164.92128,112.90828;1,235.3629,142.1662;2,75.75229,104.29345;3,25.587444,106.82419;4,119.80453,73.236855;5,123.024605,166.90015;1730691347.0196853;1730691347.0275762;0.007892131805419922#0.0053#PreStim#PreStim
0,164.92128,112.90828;1,235.3629,142.1662;2,75.75229,104.29345;3,25.587444,106.82419;4,119.80453,73.236855;5,123.024605,166.90015;1730691347.0196853;1730691347.0335765;0.013892173767089844#0.006#PreStim#PreStim
0,164.98438,113.773315;1,234.84708,156.71597;2,74.15055,107.64014;3,30.794542,111.72769;4,120.123184,73.95725;5,122.723145,166.7388;1730691347.0297062;1730691347.039799;0.010093927383422852#0.00622#PreStim#PreStim
0,164.77188,117.484604;1,223.29115,157.51755;2,74.686356,108.59159;3,27.849651,115.675995;4,119.645966,74.18931;5,123.03589,166.93884;1730691347.0396945;1730691347.0460432;0.0063495635986328125#0.00625#PreStim#PreStim
0,164.77188,117.484604;1,223.29115,157.51755;2,74.686356,108.59159;3,27.849651,115.675995;4,119.645966,74.18931;5,123.03589,166.93884;1730691347.0396945;1730691347.0518043;0.01211094856262207#0.00576#PreStim#PreStim
0,162.98375,120.556015;1,201.92787,187.03767;2,73.96866,109.60506;3,26.971022,119.38556;4,118.20994,74.16071;5,123.27817,167.5456;1730691347.049708;1730691347.0581791;0.008472204208374023#0.00638#PreStim#PreStim
0,162.98375,120.556015;1,201.92787,187.03767;2,73.96866,109.60506;3,26.971022,119.38556;4,118.20994,74.16071;5,123.27817,167.5456;1730691347.049708;1730691347.0643096;0.0146026611328125#0.00613#PreStim#PreStim
0,162.15364,118.02974;1,185.19951,189.76463;2,73.76691,111.909676;3,28.848389,125.79609;4,117.78627,74.375946;5,123.5998,167.74164;1730691347.0597239;1730691347.0705087;0.010786771774291992#0.0062#PreStim#PreStim
