ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,237.3939,21.91916;1,314.34995,11.00306;2,134.6674,14.3895035;3,8.694918,66.74588;4,235.09554,3.6028018;5,134.16779,79.23665;1730691678.4891965;1730691678.499066;0.009870529174804688#184.45956#PreStim#PreStim
0,226.88655,25.685589;1,254.86484,121.06414;2,110.7047,17.8426;3,16.67202,64.45816;4,151.34995,5.050911;5,187.25133,89.97899;1730691678.4891965;1730691678.504953;0.015757322311401367#0.00588#PreStim#PreStim
0,226.88655,25.685589;1,254.86484,121.06414;2,110.7047,17.8426;3,16.67202,64.45816;4,151.34995,5.050911;5,187.25133,89.97899;1730691678.4992056;1730691678.5102217;0.011017084121704102#0.00527#PreStim#PreStim
0,225.28023,15.871727;1,275.88687,85.424965;2,132.80377,10.220006;3,23.490816,96.30166;4,176.30215,3.9179525;5,205.92526,54.488033;1730691678.5092175;1730691678.5162687;0.007052183151245117#0.00605#PreStim#PreStim
0,225.28023,15.871727;1,275.88687,85.424965;2,132.80377,10.220006;3,23.490816,96.30166;4,176.30215,3.9179525;5,205.92526,54.488033;1730691678.5092175;1730691678.5226164;0.013399600982666016#0.00634#PreStim#PreStim
0,256.42642,34.91058;1,243.13026,146.0106;2,100.06602,16.16158;3,19.883406,5.4383388;4,226.97816,5.084695;5,175.32773,102.66489;1730691678.519218;1730691678.5288496;0.00963282585144043#0.00624#PreStim#PreStim
0,256.42642,34.91058;1,243.13026,146.0106;2,100.06602,16.16158;3,19.883406,5.4383388;4,226.97816,5.084695;5,175.32773,102.66489;1730691678.519218;1730691678.5343528;0.015135765075683594#0.0055#PreStim#PreStim
0,207.07301,67.68976;1,275.81577,86.97788;2,148.70248,7.618956;3,22.595177,71.6987;4,254.50897,7.9079585;5,226.67094,33.269077;1730691678.5292213;1730691678.540299;0.01107931137084961#0.00595#PreStim#PreStim
0,193.53949,23.283699;1,298.80136,74.251274;2,105.27085,28.56544;3,23.468754,77.35902;4,154.28566,2.8637295;5,162.25548,115.5618;1730691678.5392401;1730691678.5471332;0.007894039154052734#0.00683#PreStim#PreStim
0,193.53949,23.283699;1,298.80136,74.251274;2,105.27085,28.56544;3,23.468754,77.35902;4,154.28566,2.8637295;5,162.25548,115.5618;1730691678.5392401;1730691678.552578;0.013339042663574219#0.00544#PreStim#PreStim
0,250.18257,3.4521728;1,314.46494,7.19249;2,101.78157,22.437809;3,24.886185,69.09885;4,236.51355,5.402251;5,167.93896,68.92004;1730691678.5492415;1730691678.5584984;0.00925755500793457#0.00592#PreStim#PreStim
0,250.18257,3.4521728;1,314.46494,7.19249;2,101.78157,22.437809;3,24.886185,69.09885;4,236.51355,5.402251;5,167.93896,68.92004;1730691678.5492415;1730691678.5648007;0.015559911727905273#0.0063#PreStim#PreStim
0,235.69933,8.551706;1,315.03168,11.677921;2,116.910484,15.920944;3,38.906937,63.735474;4,206.46918,1.3005817;5,196.99916,34.61128;1730691678.559276;1730691678.5709717;0.011696577072143555#0.00617#PreStim#PreStim
0,191.13109,20.235277;1,313.07492,10.551285;2,147.7943,19.733452;3,188.48578,2.4626474;4,183.33171,3.7839532;5,195.77232,107.434525;1730691678.5692732;1730691678.5766268;0.0073544979095458984#0.00565#PreStim#PreStim
0,191.13109,20.235277;1,313.07492,10.551285;2,147.7943,19.733452;3,188.48578,2.4626474;4,183.33171,3.7839532;5,195.77232,107.434525;1730691678.5692732;1730691678.582831;0.013558626174926758#0.00621#PreStim#PreStim
0,220.08939,19.89033;1,318.07138,13.587288;2,112.35222,33.61392;3,44.839474,63.565228;4,142.01071,20.423067;5,134.87827,105.43017;1730691678.579277;1730691678.5889082;0.009632349014282227#0.00607#PreStim#PreStim
0,287.3489,43.791454;1,277.06256,3.2268717;2,164.035,7.898286;3,2.7980726,40.691067;4,249.41678,2.9513493;5,177.31418,60.475964;1730691678.579277;1730691678.5955746;0.01629924774169922#0.00667#PreStim#PreStim
0,287.3489,43.791454;1,277.06256,3.2268717;2,164.035,7.898286;3,2.7980726,40.691067;4,249.41678,2.9513493;5,177.31418,60.475964;1730691678.589285;1730691678.601047;0.011762857437133789#0.00547#PreStim#PreStim
0,241.0138,20.37867;1,311.12665,8.985922;2,120.10146,19.535675;3,244.70505,4.9545636;4,223.32678,5.4482374;5,204.32158,44.34223;1730691678.5992904;1730691678.6069722;0.0076825618743896484#0.00592#PreStim#PreStim
0,241.0138,20.37867;1,311.12665,8.985922;2,120.10146,19.535675;3,244.70505,4.9545636;4,223.32678,5.4482374;5,204.32158,44.34223;1730691678.5992904;1730691678.6134925;0.014203548431396484#0.00653#PreStim#PreStim
0,202.58888,27.314684;1,273.0195,2.4980726;2,158.66866,20.474773;3,110.13368,4.2160826;4,179.94392,7.8940783;5,149.358,77.79214;1730691678.6093004;1730691678.6191132;0.009813785552978516#0.00561#PreStim#PreStim
0,222.94202,48.379982;1,276.95975,1.9845867;2,147.28891,18.772997;3,101.18268,19.884745;4,197.93564,11.78517;5,183.0434,58.155273;1730691678.6093004;1730691678.6252117;0.015912294387817383#0.0061#PreStim#PreStim
0,222.94202,48.379982;1,276.95975,1.9845867;2,147.28891,18.772997;3,101.18268,19.884745;4,197.93564,11.78517;5,183.0434,58.155273;1730691678.619307;1730691678.631443;0.01213693618774414#0.00623#PreStim#PreStim
0,239.43286,21.83912;1,314.04062,7.117392;2,161.54517,18.779737;3,150.23465,1.2378855;4,205.31421,3.5236294;5,191.02536,61.53743;1730691678.6293094;1730691678.6376317;0.008323431015014648#0.00619#PreStim#PreStim
0,239.43286,21.83912;1,314.04062,7.117392;2,161.54517,18.779737;3,150.23465,1.2378855;4,205.31421,3.5236294;5,191.02536,61.53743;1730691678.6293094;1730691678.64328;0.013971567153930664#0.00565#PreStim#PreStim
0,156.31525,63.15095;1,226.70766,120.02963;2,237.81163,141.99797;3,133.53052,2.8946223;4,271.17242,57.63815;5,128.31517,117.63103;1730691678.6393876;1730691678.649648;0.01026153564453125#0.00638#PreStim#PreStim
0,226.22685,17.677872;1,312.8733,12.887739;2,150.67715,12.988245;3,26.483742,75.218346;4,207.56606,-0.51266575;5,181.60498,59.416615;1730691678.6493886;1730691678.655663;0.0062754154205322266#0.00601#PreStim#PreStim
0,226.22685,17.677872;1,312.8733,12.887739;2,150.67715,12.988245;3,26.483742,75.218346;4,207.56606,-0.51266575;5,181.60498,59.416615;1730691678.6493886;1730691678.6621952;0.012807607650756836#0.00654#PreStim#PreStim
0,230.1941,30.288216;1,235.45511,2.355134;2,154.17584,10.298489;3,30.994938,58.33059;4,190.72012,14.290837;5,200.67691,100.33378;1730691678.6593442;1730691678.6676826;0.008339166641235352#0.00548#PreStim#PreStim
0,230.1941,30.288216;1,235.45511,2.355134;2,154.17584,10.298489;3,30.994938,58.33059;4,190.72012,14.290837;5,200.67691,100.33378;1730691678.6593442;1730691678.6735482;0.014205217361450195#0.00586#PreStim#PreStim
