ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,266.75354,14.768246;1,255.52882,116.71584;2,149.39325,8.621956;3,62.71124,132.4382;4,239.17793,-0.0583086;5,195.82935,51.341717;1730691709.9857376;1730691709.9944906;0.00875401496887207#10.49228#PreStim#PreStim
0,266.75354,14.768246;1,255.52882,116.71584;2,149.39325,8.621956;3,62.71124,132.4382;4,239.17793,-0.0583086;5,195.82935,51.341717;1730691709.9857376;1730691710.0021453;0.016408681869506836#0.00508#PreStim#PreStim
0,253.76625,92.68459;1,280.39856,75.20962;2,121.409355,17.971415;3,45.337616,123.06724;4,265.65894,13.882376;5,196.09583,86.115944;1730691709.9957588;1730691710.0072136;0.011455774307250977#0.00506#PreStim#PreStim
0,252.48831,66.333626;1,313.10406,16.463186;2,185.5394,18.595444;3,13.618354,61.537804;4,236.25304,4.236335;5,215.06754,41.50897;1730691710.005764;1730691710.0131733;0.007410287857055664#0.00596#PreStim#PreStim
0,252.48831,66.333626;1,313.10406,16.463186;2,185.5394,18.595444;3,13.618354,61.537804;4,236.25304,4.236335;5,215.06754,41.50897;1730691710.005764;1730691710.018903;0.013139724731445312#0.00573#PreStim#PreStim
0,211.36258,39.42263;1,300.02948,147.4975;2,133.96344,41.6414;3,101.322754,2.7827563;4,177.79051,20.118183;5,167.05042,95.83115;1730691710.0157866;1730691710.0245917;0.008805990219116211#0.00569#PreStim#PreStim
0,211.36258,39.42263;1,300.02948,147.4975;2,133.96344,41.6414;3,101.322754,2.7827563;4,177.79051,20.118183;5,167.05042,95.83115;1730691710.0157866;1730691710.0316608;0.01587510108947754#0.00707#PreStim#PreStim
0,222.6568,40.804028;1,188.09639,205.29327;2,149.25589,22.131126;3,96.666046,0.679652;4,193.01073,15.148666;5,195.08368,101.73861;1730691710.0257893;1730691710.036979;0.011190652847290039#0.00532#PreStim#PreStim
0,284.56848,111.87937;1,298.62704,8.97011;2,130.33073,19.726994;3,85.78264,0.7141118;4,169.69632,3.6764033;5,182.57329,102.19583;1730691710.0357893;1730691710.0428023;0.007014274597167969#0.00582#PreStim#PreStim
0,284.56848,111.87937;1,298.62704,8.97011;2,130.33073,19.726994;3,85.78264,0.7141118;4,169.69632,3.6764033;5,182.57329,102.19583;1730691710.0357893;1730691710.0493965;0.013608217239379883#0.0066#PreStim#PreStim
0,247.79053,35.525677;1,294.16644,112.86733;2,168.04257,14.836063;3,93.381676,0.29860926;4,207.18132,13.252353;5,219.4756,82.89193;1730691710.0458121;1730691710.054945;0.00913381576538086#0.00555#PreStim#PreStim
0,247.79053,35.525677;1,294.16644,112.86733;2,168.04257,14.836063;3,93.381676,0.29860926;4,207.18132,13.252353;5,219.4756,82.89193;1730691710.0458121;1730691710.0609791;0.015167951583862305#0.00603#PreStim#PreStim
0,209.07472,20.925556;1,311.91138,11.985183;2,108.03221,49.638424;3,86.41094,-0.015315056;4,177.37822,11.906699;5,172.68092,41.707245;1730691710.055818;1730691710.0673645;0.011547327041625977#0.00639#PreStim#PreStim
0,206.8699,21.121422;1,275.97394,3.7093658;2,144.89355,15.70218;3,119.35062,4.3445916;4,177.12299,10.288143;5,162.39009,68.8467;1730691710.0658147;1730691710.073092;0.0072782039642333984#0.00573#PreStim#PreStim
0,206.8699,21.121422;1,275.97394,3.7093658;2,144.89355,15.70218;3,119.35062,4.3445916;4,177.12299,10.288143;5,162.39009,68.8467;1730691710.0658147;1730691710.0792246;0.013410568237304688#0.00613#PreStim#PreStim
0,228.71704,42.43624;1,237.21042,9.070278;2,99.97579,106.29784;3,81.12338,-0.030586243;4,204.73088,37.37731;5,202.63618,61.495403;1730691710.075826;1730691710.0851104;0.009286165237426758#0.00588#PreStim#PreStim
0,228.71704,42.43624;1,237.21042,9.070278;2,99.97579,106.29784;3,81.12338,-0.030586243;4,204.73088,37.37731;5,202.63618,61.495403;1730691710.075826;1730691710.0911644;0.01533961296081543#0.00606#PreStim#PreStim
0,127.04181,20.756147;1,228.4192,147.06842;2,81.36825,18.06908;3,148.53833,64.697105;4,98.09629,3.2001553;5,221.45201,72.61092;1730691710.0858302;1730691710.0980756;0.012246370315551758#0.00691#PreStim#PreStim
0,212.85767,23.350473;1,314.85776,12.0337305;2,151.5966,32.1229;3,113.01678,1.0002952;4,184.03618,8.558569;5,192.60162,94.112335;1730691710.0964081;1730691710.1034758;0.007068634033203125#0.0054#PreStim#PreStim
0,212.85767,23.350473;1,314.85776,12.0337305;2,151.5966,32.1229;3,113.01678,1.0002952;4,184.03618,8.558569;5,192.60162,94.112335;1730691710.0964081;1730691710.1094458;0.013038873672485352#0.00597#PreStim#PreStim
0,220.15071,3.545577;1,278.24048,2.2335043;2,154.4471,18.342987;3,13.116855,75.5484;4,209.46593,2.839637;5,194.40991,52.19495;1730691710.1058378;1730691710.1157863;0.009949445724487305#0.00635#PreStim#PreStim
0,209.13066,20.40848;1,317.01474,6.866123;2,151.63417,10.792931;3,5.380165,29.90762;4,57.857063,56.250996;5,186.03441,62.241898;1730691710.1058378;1730691710.1215878;0.015751123428344727#0.0058#PreStim#PreStim
0,209.13066,20.40848;1,317.01474,6.866123;2,151.63417,10.792931;3,5.380165,29.90762;4,57.857063,56.250996;5,186.03441,62.241898;1730691710.1158438;1730691710.1275065;0.011663436889648438#0.00593#PreStim#PreStim
0,226.67749,24.47489;1,312.28485,12.76751;2,153.18355,58.605583;3,148.34421,21.645538;4,146.80438,151.39047;5,181.02637,43.578033;1730691710.1258652;1730691710.1339474;0.008083105087280273#0.00644#PreStim#PreStim
