ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,187.98347,158.49678;1,254.77072,169.52022;2,102.094406,152.04576;3,78.34289,71.59479;4,149.07954,109.454475;5,146.2331,206.56837;1730691731.0134835;1730691731.0243828;0.010900735855102539#0.02893#PreStim#PreStim
0,188.41302,158.67178;1,255.89656,171.02477;2,104.69764,141.32703;3,73.192604,74.29901;4,149.81938,109.27766;5,146.75792,206.32097;1730691731.0234892;1730691731.0291193;0.005630970001220703#0.00472#PreStim#PreStim
0,188.41302,158.67178;1,255.89656,171.02477;2,104.69764,141.32703;3,73.192604,74.29901;4,149.81938,109.27766;5,146.75792,206.32097;1730691731.0234892;1730691731.0345838;0.011095523834228516#0.00547#PreStim#PreStim
0,188.62546,159.90237;1,256.97397,174.22922;2,107.690575,127.7887;3,71.37007,82.03762;4,149.77342,108.809616;5,146.90964,206.11165;1730691731.0334847;1730691731.0406346;0.007150888442993164#0.00606#PreStim#PreStim
0,188.62546,159.90237;1,256.97397,174.22922;2,107.690575,127.7887;3,71.37007,82.03762;4,149.77342,108.809616;5,146.90964,206.11165;1730691731.0334847;1730691731.046801;0.013317584991455078#0.00616#PreStim#PreStim
0,188.54164,160.52603;1,256.84384,175.74435;2,108.452484,128.83304;3,70.24435,89.162544;4,149.93208,108.35852;5,146.69632,206.14445;1730691731.0435023;1730691731.0528204;0.009319067001342773#0.00602#PreStim#PreStim
0,188.54164,160.52603;1,256.84384,175.74435;2,108.452484,128.83304;3,70.24435,89.162544;4,149.93208,108.35852;5,146.69632,206.14445;1730691731.0435023;1730691731.0594687;0.015967607498168945#0.00665#PreStim#PreStim
0,188.60571,161.5953;1,256.45987,179.31184;2,106.45874,133.40005;3,83.5152,79.60467;4,149.3564,108.7239;5,146.43594,206.6609;1730691731.0535054;1730691731.0653148;0.011810302734375#0.00585#PreStim#PreStim
0,188.81436,162.93661;1,254.93506,180.19704;2,104.95793,139.60326;3,89.72735,78.69954;4,148.7969,109.283676;5,146.6198,206.94373;1730691731.0635223;1730691731.071052;0.007530689239501953#0.00574#PreStim#PreStim
0,188.81436,162.93661;1,254.93506,180.19704;2,104.95793,139.60326;3,89.72735,78.69954;4,148.7969,109.283676;5,146.6198,206.94373;1730691731.0635223;1730691731.0779428;0.014421224594116211#0.00689#PreStim#PreStim
0,188.87718,163.8521;1,254.58755,182.43484;2,103.02446,149.22374;3,92.2025,79.25483;4,149.4334,111.566696;5,146.77075,207.34694;1730691731.0735354;1730691731.083238;0.009703397750854492#0.00529#PreStim#PreStim
0,188.87718,163.8521;1,254.58755,182.43484;2,103.02446,149.22374;3,92.2025,79.25483;4,149.4334,111.566696;5,146.77075,207.34694;1730691731.0735354;1730691731.0892284;0.01569390296936035#0.006#PreStim#PreStim
0,189.31915,164.95023;1,252.75882,191.7796;2,103.64789,153.47426;3,62.6374,194.08377;4,148.97081,111.60936;5,146.86945,207.53284;1730691731.0835156;1730691731.0956612;0.012146472930908203#0.00643#PreStim#PreStim
0,189.39182,166.92995;1,256.52234,198.33916;2,104.213036,154.90797;3,63.938927,195.06627;4,149.311,111.77606;5,147.01056,207.36668;1730691731.093552;1730691731.101228;0.007676839828491211#0.00557#PreStim#PreStim
0,189.39182,166.92995;1,256.52234,198.33916;2,104.213036,154.90797;3,63.938927,195.06627;4,149.311,111.77606;5,147.01056,207.36668;1730691731.093552;1730691731.1072967;0.013745784759521484#0.00607#PreStim#PreStim
0,188.40517,168.01918;1,243.3224,208.82552;2,103.4934,155.23322;3,68.10392,203.10083;4,148.1621,110.110855;5,146.59431,206.96674;1730691731.103553;1730691731.1132839;0.009731531143188477#0.00599#PreStim#PreStim
0,187.18037,166.52803;1,233.71103,207.8427;2,103.53627,152.45007;3,91.65811,76.92697;4,148.02383,109.69886;5,146.43825,206.62769;1730691731.103553;1730691731.1194386;0.015886545181274414#0.00615#PreStim#PreStim
0,187.18037,166.52803;1,233.71103,207.8427;2,103.53627,152.45007;3,91.65811,76.92697;4,148.02383,109.69886;5,146.43825,206.62769;1730691731.113566;1730691731.1258142;0.012249946594238281#0.00638#PreStim#PreStim
0,187.02667,166.99352;1,209.54381,146.85329;2,103.639786,145.06865;3,69.58119,202.87634;4,148.50162,109.0215;5,146.41103,206.52737;1730691731.123559;1730691731.1317146;0.008156538009643555#0.0059#PreStim#PreStim
0,187.02667,166.99352;1,209.54381,146.85329;2,103.639786,145.06865;3,69.58119,202.87634;4,148.50162,109.0215;5,146.41103,206.52737;1730691731.123559;1730691731.137604;0.014045953750610352#0.00589#PreStim#PreStim
0,186.96545,166.26508;1,77.4866,76.4908;2,104.26552,139.91159;3,70.63719,205.73601;4,148.8065,108.618324;5,146.37666,206.12044;1730691731.1335897;1730691731.144457;0.010868549346923828#0.00686#PreStim#PreStim
0,187.57031,167.28595;1,209.62604,147.45103;2,106.511055,133.08592;3,62.90399,96.43801;4,149.5151,108.06708;5,146.1868,205.59044;1730691731.143675;1730691731.1499898;0.006315708160400391#0.00553#PreStim#PreStim
0,187.57031,167.28595;1,209.62604,147.45103;2,106.511055,133.08592;3,62.90399,96.43801;4,149.5151,108.06708;5,146.1868,205.59044;1730691731.143675;1730691731.1561725;0.012499332427978516#0.00619#PreStim#PreStim
