ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,189.2674,147.10063;1,261.2566,79.60987;2,103.93001,142.54117;3,75.89074,213.86412;4,148.99435,112.407974;5,148.536,201.73657;1730691750.6600542;1730691750.676485;0.01643228530883789#0.02905#PreStim#PreStim
0,188.77122,147.34773;1,92.71488,76.6124;2,103.344185,144.5698;3,74.888504,214.96988;4,148.384,110.63228;5,149.08704,202.14304;1730691750.6701832;1730691750.6814215;0.01123952865600586#0.00493#PreStim#PreStim
0,188.17496,150.37474;1,91.93765,76.65715;2,102.77855,142.22083;3,96.0942,77.89724;4,147.76381,109.556305;5,147.9172,201.95601;1730691750.6800733;1730691750.6874807;0.00740814208984375#0.00606#PreStim#PreStim
0,188.17496,150.37474;1,91.93765,76.65715;2,102.77855,142.22083;3,96.0942,77.89724;4,147.76381,109.556305;5,147.9172,201.95601;1730691750.6800733;1730691750.6927278;0.012655496597290039#0.00525#PreStim#PreStim
0,187.92612,148.63428;1,92.331635,77.10634;2,102.59254,141.48108;3,74.07312,211.0164;4,148.05408,109.904564;5,147.87329,202.28894;1730691750.6900642;1730691750.6986268;0.00856328010559082#0.0059#PreStim#PreStim
0,187.92612,148.63428;1,92.331635,77.10634;2,102.59254,141.48108;3,74.07312,211.0164;4,148.05408,109.904564;5,147.87329,202.28894;1730691750.6900642;1730691750.7048404;0.014776945114135742#0.00622#PreStim#PreStim
0,188.31496,147.66832;1,92.84384,76.993645;2,103.62065,141.4454;3,75.54976,211.29167;4,148.80273,110.03121;5,148.57541,202.49548;1730691750.7000601;1730691750.7106936;0.010634899139404297#0.00586#PreStim#PreStim
0,189.24857,145.50603;1,256.4372,90.05881;2,104.40355,141.61334;3,75.82189,214.10945;4,148.68652,110.01161;5,148.82758,201.88536;1730691750.710073;1730691750.7168179;0.006746053695678711#0.00612#PreStim#PreStim
0,189.24857,145.50603;1,256.4372,90.05881;2,104.40355,141.61334;3,75.82189,214.10945;4,148.68652,110.01161;5,148.82758,201.88536;1730691750.710073;1730691750.722973;0.012901544570922852#0.00615#PreStim#PreStim
0,188.44798,153.15654;1,92.62609,77.065414;2,104.12925,142.71613;3,76.31718,214.74075;4,149.03363,110.08662;5,148.21425,202.27731;1730691750.7200887;1730691750.728921;0.008833169937133789#0.00595#PreStim#PreStim
0,188.44798,153.15654;1,92.62609,77.065414;2,104.12925,142.71613;3,76.31718,214.74075;4,149.03363,110.08662;5,148.21425,202.27731;1730691750.7200887;1730691750.7352583;0.01517033576965332#0.00633#PreStim#PreStim
0,189.23181,163.03566;1,210.13687,172.06648;2,104.43109,142.24066;3,90.83494,76.26568;4,149.4303,110.004425;5,147.95183,202.84535;1730691750.730086;1730691750.7410944;0.011008977890014648#0.00584#PreStim#PreStim
0,188.48518,167.0167;1,208.90794,169.62834;2,104.42986,141.57768;3,77.32415,214.59926;4,149.30621,109.71487;5,147.53766,203.24785;1730691750.7400963;1730691750.7473483;0.007252931594848633#0.00625#PreStim#PreStim
0,188.48518,167.0167;1,208.90794,169.62834;2,104.42986,141.57768;3,77.32415,214.59926;4,149.30621,109.71487;5,147.53766,203.24785;1730691750.7400963;1730691750.7539265;0.013831138610839844#0.00658#PreStim#PreStim
0,188.72118,164.13588;1,211.12921,150.6008;2,104.29185,141.2534;3,78.213104,213.4438;4,148.9148,109.94036;5,148.5179,202.48819;1730691750.7500978;1730691750.7593265;0.009229421615600586#0.0054#PreStim#PreStim
