OOI ID,Name,Object Type,Speed,Initial Behaviour,EncounterBehaviour
0,Tethered Animal Avatar,StaticOOI,1,Patrol,None

X position, Y position, Z position, X rotation, Y rotation, Z rotation, X scale, Y scale, Z scale, TimeSinceLastUpdate
N:PreStim Started,,,,,,,,,20241104_141230.669776
0,0,0,0,0,0,1,1,1,0.01477905
0,0,0,0,0,0,1,1,1,0.01477905
0,0,0,0,0,0,1,1,1,0.02
0,0,0,0,0,0,1,1,1,0.006060494
0,0,0,0,0,0,1,1,1,0.006061177
0,0,0,0,0,0,1,1,1,0.006060237
0,0,0,0,0,0,1,1,1,0.006060684
0,0,0,0,0,0,1,1,1,0.006060826
0,0,0,0,0,0,1,1,1,0.006060711
0,0,0,0,0,0,1,1,1,0.006060725
0,0,0,0,0,0,1,1,1,0.006061057
0,0,0,0,0,0,1,1,1,0.0060604
0,0,0,0,0,0,1,1,1,0.006060708
0,0,0,0,0,0,1,1,1,0.006060803
0,0,0,0,0,0,1,1,1,0.006060536
0,0,0,0,0,0,1,1,1,0.006061694
0,0,0,0,0,0,1,1,1,0.0060596
0,0,0,0,0,0,1,1,1,0.006060887
0,0,0,0,0,0,1,1,1,0.006060959
0,0,0,0,0,0,1,1,1,0.006060422
0,0,0,0,0,0,1,1,1,0.006060684
0,0,0,0,0,0,1,1,1,0.006060726
0,0,0,0,0,0,1,1,1,0.006060479
0,0,0,0,0,0,1,1,1,0.006061704
0,0,0,0,0,0,1,1,1,0.006060027
0,0,0,0,0,0,1,1,1,0.006060608
0,0,0,0,0,0,1,1,1,0.006061163
0,0,0,0,0,0,1,1,1,0.006060258
0,0,0,0,0,0,1,1,1,0.006060957
0,0,0,0,0,0,1,1,1,0.006060459
0,0,0,0,0,0,1,1,1,0.006060584
0,0,0,0,0,0,1,1,1,0.006061535
0,0,0,0,0,0,1,1,1,0.006060123
0,0,0,0,0,0,1,1,1,0.00606058
0,0,0,0,0,0,1,1,1,0.006060979
0,0,0,0,0,0,1,1,1,0.006060451
0,0,0,0,0,0,1,1,1,0.006060665
0,0,0,0,0,0,1,1,1,0.00606115
0,0,0,0,0,0,1,1,1,0.006060214
0,0,0,0,0,0,1,1,1,0.006060722
0,0,0,0,0,0,1,1,1,0.006060887
0,0,0,0,0,0,1,1,1,0.006060662
0,0,0,0,0,0,1,1,1,0.006060689
0,0,0,0,0,0,1,1,1,0.006060727
0,0,0,0,0,0,1,1,1,0.00606072
0,0,0,0,0,0,1,1,1,0.006060737
0,0,0,0,0,0,1,1,1,0.006060627
0,0,0,0,0,0,1,1,1,0.006061262
0,0,0,0,0,0,1,1,1,0.006060462
0,0,0,0,0,0,1,1,1,0.006060319
0,0,0,0,0,0,1,1,1,0.006060814
0,0,0,0,0,0,1,1,1,0.006060889
0,0,0,0,0,0,1,1,1,0.006060651
0,0,0,0,0,0,1,1,1,0.006060913
0,0,0,0,0,0,1,1,1,0.006060515
0,0,0,0,0,0,1,1,1,0.006061167
0,0,0,0,0,0,1,1,1,0.006060388
0,0,0,0,0,0,1,1,1,0.006060738
0,0,0,0,0,0,1,1,1,0.006060414
0,0,0,0,0,0,1,1,1,0.006060881
0,0,0,0,0,0,1,1,1,0.006060445
0,0,0,0,0,0,1,1,1,0.006060929
0,0,0,0,0,0,1,1,1,0.006060731
0,0,0,0,0,0,1,1,1,0.006060798
0,0,0,0,0,0,1,1,1,0.006060741
0,0,0,0,0,0,1,1,1,0.006060305
0,0,0,0,0,0,1,1,1,0.006061062
0,0,0,0,0,0,1,1,1,0.00606053
0,0,0,0,0,0,1,1,1,0.006060732
0,0,0,0,0,0,1,1,1,0.006060618
0,0,0,0,0,0,1,1,1,0.00606079
0,0,0,0,0,0,1,1,1,0.006060675
0,0,0,0,0,0,1,1,1,0.006060776
0,0,0,0,0,0,1,1,1,0.006060808
0,0,0,0,0,0,1,1,1,0.006060588
0,0,0,0,0,0,1,1,1,0.006060744
0,0,0,0,0,0,1,1,1,0.006060618
0,0,0,0,0,0,1,1,1,0.006060794
0,0,0,0,0,0,1,1,1,0.006060832
0,0,0,0,0,0,1,1,1,0.006060889
0,0,0,0,0,0,1,1,1,0.006060224
0,0,0,0,0,0,1,1,1,0.006060864
0,0,0,0,0,0,1,1,1,0.006060699
0,0,0,0,0,0,1,1,1,0.006060613
0,0,0,0,0,0,1,1,1,0.006061506
N:Loop Closed,,,,,,,,,20241104_141231.174830
0.0001853467,0,0.002460799,0,4.30737,0,1,1,1,0.006060014
0.0005550491,0,0.00490097,0,8.615174,0,1,1,1,0.006060626
0.0005550491,0,0.00490097,0,4.271578,0,1,1,1,0.006061056
0.0005550491,0,0.00490097,0,359.9285,0,1,1,1,0.006060312
0.0005550491,0,0.00490097,0,358.9965,0,1,1,1,0.006060868
0.0005550491,0,0.00490097,0,358.0078,0,1,1,1,0.006060654
0.0005550491,0,0.00490097,0,357.0191,0,1,1,1,0.00606074
0.0002425184,0,0.01111686,0,357.1216,0,1,1,1,0.00606057
0.0002425184,0,0.01111686,0,1.58027,0,1,1,1,0.006060763
0.0002425184,0,0.01111686,0,6.038833,0,1,1,1,0.006060689
0.0002345512,0,0.01329708,0,359.7906,0,1,1,1,0.006061043
-1.059497E-05,0,0.01546321,0,353.5432,0,1,1,1,0.006060308
-0.0003796628,0,0.01713081,0,347.5206,0,1,1,1,0.006060926
-0.0009216107,0,0.01875037,0,341.4984,0,1,1,1,0.00606052
-0.001402765,0,0.02041387,0,343.868,0,1,1,1,0.006060933
-0.001951255,0,0.02284312,0,347.2767,0,1,1,1,0.006061303
-0.002354281,0,0.02530016,0,350.6848,0,1,1,1,0.006060028
-0.002562616,0,0.02745955,0,354.4893,0,1,1,1,0.006060589
-0.002595472,0,0.03077383,0,359.432,0,1,1,1,0.00606121
-0.002342741,0,0.03407804,0,4.373899,0,1,1,1,0.006060139
-0.001104046,0,0.0405737,0,10.79644,0,1,1,1,0.00606071
0.0008535531,0,0.0468902,0,17.21916,0,1,1,1,0.006060881
0.004239748,0,0.05726005,0,18.08406,0,1,1,1,0.006060396
0.007767219,0,0.06758384,0,18.86446,0,1,1,1,0.006061001
0.01143491,0,0.07785845,0,19.64484,0,1,1,1,0.006060892
0.01543532,0,0.08800764,0,21.51244,0,1,1,1,0.006060635
0.01976472,0,0.09802179,0,23.38018,0,1,1,1,0.006061084
0.02422171,0,0.107979,0,24.11401,0,1,1,1,0.00606066
0.02891449,0,0.1178268,0,25.47923,0,1,1,1,0.006060428
0.03384091,0,0.1275606,0,26.84454,0,1,1,1,0.006060837
0.03853496,0,0.1347844,0,33.01615,0,1,1,1,0.006060431
0.04397903,0,0.1414622,0,39.18837,0,1,1,1,0.006061032
0.05115084,0,0.149683,0,41.10152,0,1,1,1,0.006060798
0.05848338,0,0.1577597,0,42.23524,0,1,1,1,0.00606037
0.06597494,0,0.1656903,0,43.36906,0,1,1,1,0.006060877
0.0736191,0,0.1734733,0,44.48439,0,1,1,1,0.00606061
0.08141338,0,0.1811061,0,45.59972,0,1,1,1,0.006060657
0.08949303,0,0.1884365,0,47.78356,0,1,1,1,0.006060789
0.09786271,0,0.1954341,0,50.10223,0,1,1,1,0.006060846
0.1065086,0,0.2020874,0,52.42091,0,1,1,1,0.006060849
0.1153813,0,0.2084342,0,54.42304,0,1,1,1,0.006060547
0.1170956,0,0.2099137,0,49.20551,0,1,1,1,0.006060574
0.1186684,0,0.211543,0,43.98788,0,1,1,1,0.006060683
0.1265342,0,0.2191034,0,46.13418,0,1,1,1,0.006061176
0.1346763,0,0.2263628,0,48.28015,0,1,1,1,0.006060246
0.135589,0,0.2273469,0,42.84493,0,1,1,1,0.006060808
0.1358036,0,0.227625,0,37.65534,0,1,1,1,0.006060719
0.1359921,0,0.2279213,0,32.46576,0,1,1,1,0.006060696
0.1399226,0,0.232667,0,39.63213,0,1,1,1,0.006060793
0.1444143,0,0.2368852,0,46.79834,0,1,1,1,0.006060667
0.1527369,0,0.2439384,0,49.71959,0,1,1,1,0.006060729
0.1614138,0,0.250551,0,52.68944,0,1,1,1,0.006060821
0.1704223,0,0.2567055,0,55.65944,0,1,1,1,0.006061143
0.1795915,0,0.2626139,0,57.2034,0,1,1,1,0.006059973
0.1889183,0,0.2682741,0,58.74763,0,1,1,1,0.00606109
0.1985153,0,0.2734599,0,61.6152,0,1,1,1,0.006060245
0.2083821,0,0.2781149,0,64.74289,0,1,1,1,0.006060989
0.2184877,0,0.2822244,0,67.87042,0,1,1,1,0.006060685
0.2286759,0,0.2861238,0,69.05656,0,1,1,1,0.00606052
0.2389433,0,0.2898116,0,70.24277,0,1,1,1,0.006060901
0.2398417,0,0.2902328,0,64.87945,0,1,1,1,0.0060605
0.2407982,0,0.2907988,0,59.3853,0,1,1,1,0.006060739
0.2416961,0,0.2914538,0,53.89091,0,1,1,1,0.006061008
0.2421844,0,0.2918914,0,48.13524,0,1,1,1,0.006060632
0.2426264,0,0.2923757,0,42.37972,0,1,1,1,0.006060477
0.2429863,0,0.2928622,0,36.49663,0,1,1,1,0.006061229
0.2496847,0,0.3014717,0,37.88366,0,1,1,1,0.006060217
0.2565902,0,0.3099174,0,39.27083,0,1,1,1,0.006060827
0.2565902,0,0.3099174,0,37.40235,0,1,1,1,0.006061233
0.2565902,0,0.3099174,0,35.53422,0,1,1,1,0.006060101
0.2611153,0,0.314909,0,42.19338,0,1,1,1,0.0060608
0.2652511,0,0.318568,0,48.50057,0,1,1,1,0.006060576
0.2697639,0,0.3217505,0,54.80795,0,1,1,1,0.006060759
0.2758364,0,0.3250407,0,61.55022,0,1,1,1,0.006060787
0.2822531,0,0.3275952,0,68.29248,0,1,1,1,0.006060773
0.2891722,0,0.3294848,0,74.72475,0,1,1,1,0.006060568
0.2961438,0,0.3305505,0,81.30923,0,1,1,1,0.00606155
0.3031895,0,0.3308098,0,87.89176,0,1,1,1,0.006059761
0.309596,0,0.3303427,0,94.17039,0,1,1,1,0.006061044
0.3159125,0,0.3291779,0,100.4486,0,1,1,1,0.006060621
0.3225837,0,0.327268,0,105.9753,0,1,1,1,0.006060485
0.3279809,0,0.3250793,0,112.0743,0,1,1,1,0.006060873
0.3331149,0,0.3223296,0,118.1732,0,1,1,1,0.006060631
0.3374685,0,0.3193548,0,124.3444,0,1,1,1,0.006060695
0.3414774,0,0.3159289,0,130.5162,0,1,1,1,0.006061176
0.3414774,0,0.3159289,0,130.1289,0,1,1,1,0.006060329
0.3414774,0,0.3159289,0,129.6195,0,1,1,1,0.006060623
0.3414774,0,0.3159289,0,129.1101,0,1,1,1,0.006061018
0.3414774,0,0.3159289,0,127.3563,0,1,1,1,0.006060388
0.3424442,0,0.3153431,0,121.2105,0,1,1,1,0.006060859
0.3434682,0,0.3148642,0,115.0646,0,1,1,1,0.006060865
0.3460638,0,0.3140208,0,108.0009,0,1,1,1,0.00606035
0.348744,0,0.313503,0,100.9356,0,1,1,1,0.006061643
0.3594757,0,0.3115504,0,100.3117,0,1,1,1,0.006059945
0.3701974,0,0.3095346,0,100.648,0,1,1,1,0.006060832
0.3809067,0,0.307456,0,100.9843,0,1,1,1,0.006060677
0.3916042,0,0.3053177,0,101.3037,0,1,1,1,0.006060571
0.4022897,0,0.3031198,0,101.6231,0,1,1,1,0.006060683
0.4129984,0,0.301034,0,101.0218,0,1,1,1,0.006061072
0.4236661,0,0.2987542,0,102.0635,0,1,1,1,0.006060332
0.4342918,0,0.2962804,0,103.1053,0,1,1,1,0.006061029
0.4368536,0,0.2958616,0,99.28492,0,1,1,1,0.006060729
0.4394375,0,0.2956144,0,95.46481,0,1,1,1,0.006060316
0.4502451,0,0.2941253,0,97.84498,0,1,1,1,0.006060962
0.4609573,0,0.2920628,0,100.8985,0,1,1,1,0.00606051
0.4715458,0,0.2894321,0,103.9524,0,1,1,1,0.006061344
0.4819672,0,0.2862092,0,107.1845,0,1,1,1,0.006060203
0.4921911,0,0.2824035,0,110.4168,0,1,1,1,0.006060696
0.4989503,0,0.2790736,0,116.2275,0,1,1,1,0.006060647
0.506695,0,0.2762786,0,109.8442,0,1,1,1,0.006061117
0.5147015,0,0.274362,0,103.4616,0,1,1,1,0.00606043
0.5147015,0,0.274362,0,103.0963,0,1,1,1,0.006060608
0.5147015,0,0.274362,0,102.7311,0,1,1,1,0.006061087
0.5182382,0,0.2738218,0,98.6843,0,1,1,1,0.00606036
0.52213,0,0.2736838,0,92.03201,0,1,1,1,0.006061081
0.526011,0,0.2739973,0,85.38047,0,1,1,1,0.006060388
0.5369134,0,0.2743983,0,87.89387,0,1,1,1,0.006060977
0.547822,0,0.2743208,0,90.40707,0,1,1,1,0.006060495
0.5495066,0,0.2744613,0,85.23236,0,1,1,1,0.006060759
0.550987,0,0.2747329,0,79.60181,0,1,1,1,0.006060533
0.5524337,0,0.2751485,0,73.97102,0,1,1,1,0.006060796
0.5533801,0,0.2755234,0,68.3932,0,1,1,1,0.006061075
0.5542855,0,0.2759884,0,62.8162,0,1,1,1,0.006060173
0.5611691,0,0.2785515,0,69.57747,0,1,1,1,0.006061069
0.5680944,0,0.2803231,0,75.64994,0,1,1,1,0.006060809
0.5751675,0,0.2813523,0,81.72187,0,1,1,1,0.006060268
0.5860245,0,0.2824198,0,84.38433,0,1,1,1,0.00606076
0.5969217,0,0.2829299,0,87.31987,0,1,1,1,0.006060638
0.6078314,0,0.2828813,0,90.25557,0,1,1,1,0.006060963
0.6187401,0,0.2828352,0,90.24192,0,1,1,1,0.006060503
0.6296496,0,0.2827917,0,90.22826,0,1,1,1,0.006060894
0.6405424,0,0.2821931,0,93.14581,0,1,1,1,0.006060692
0.6513909,0,0.2810393,0,96.0707,0,1,1,1,0.0060609
0.6621652,0,0.2793337,0,98.99529,0,1,1,1,0.006060279
0.672847,0,0.277115,0,101.734,0,1,1,1,0.006060971
0.6834098,0,0.2743887,0,104.4725,0,1,1,1,0.006060532
0.6938752,0,0.2712296,0,106.7969,0,1,1,1,0.006073233
0.704158,0,0.2675865,0,109.5089,0,1,1,1,0.00606063
0.7142569,0,0.2634609,0,112.221,0,1,1,1,0.006060606
0.7241635,0,0.2588914,0,114.7618,0,1,1,1,0.006060907
0.7338573,0,0.2538875,0,117.3026,0,1,1,1,0.006060658
0.7433462,0,0.2485051,0,119.563,0,1,1,1,0.006060613
0.75284,0,0.2431293,0,119.5206,0,1,1,1,0.006061233
0.7623362,0,0.2377613,0,119.4783,0,1,1,1,0.006060168
0.7716182,0,0.2320293,0,121.6969,0,1,1,1,0.0060607
0.7806719,0,0.225942,0,123.9155,0,1,1,1,0.006061034
0.7894149,0,0.2194179,0,126.7304,0,1,1,1,0.006060466
0.7976186,0,0.2122271,0,131.2354,0,1,1,1,0.006060636
0.8052325,0,0.2044138,0,135.7406,0,1,1,1,0.0060609
0.8124962,0,0.1962741,0,138.2547,0,1,1,1,0.006060808
0.8193963,0,0.1878233,0,140.7688,0,1,1,1,0.006061066
0.8259006,0,0.1790664,0,143.396,0,1,1,1,0.006060116
0.8315569,0,0.1699236,0,148.2565,0,1,1,1,0.006060781
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060801
N:Loop Opened,,,,,,,,,20241104_141232.114292
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060563
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060594
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060907
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060632
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060746
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060739
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060596
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060761
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060585
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060582
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060855
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060821
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060689
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060764
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060484
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060815
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060711
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060589
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060778
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060731
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060627
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060801
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060785
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060601
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060851
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060642
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060631
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060862
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060603
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060861
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060524
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.00606091
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060532
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006061222
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060147
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060983
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060903
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.00606029
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060928
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060508
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060832
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060664
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060669
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060859
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060587
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060558
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006061164
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060376
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.00606053
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.00606133
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060158
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060873
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060497
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060924
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060706
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060612
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060783
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006061327
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006059958
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060792
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006061087
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060326
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.00606072
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060783
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060662
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006061072
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060397
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060723
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060918
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060502
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006061163
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060421
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060337
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006061269
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060375
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060593
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060989
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060432
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060808
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060865
0.8364182,0,0.1603344,0,153.1171,0,1,1,1,0.006060479
