ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,186.67213,151.63478;1,76.71067,75.31618;2,104.10464,140.92444;3,84.058105,78.98438;4,147.86015,109.25214;5,149.0813,204.95753;1730691752.6216996;1730691752.632767;0.011068105697631836#0.01903#PreStim#PreStim
0,188.51149,147.72316;1,244.46764,133.63646;2,104.46496,141.50977;3,91.0461,78.536865;4,148.25793,109.985085;5,149.21793,205.15521;1730691752.6317046;1730691752.6382213;0.006517648696899414#0.00545#PreStim#PreStim
0,188.51149,147.72316;1,244.46764,133.63646;2,104.46496,141.50977;3,91.0461,78.536865;4,148.25793,109.985085;5,149.21793,205.15521;1730691752.6317046;1730691752.6441255;0.012421846389770508#0.0059#PreStim#PreStim
0,187.88568,151.19882;1,241.69897,121.16571;2,105.066925,141.32329;3,89.380226,78.87434;4,148.63348,110.12708;5,148.85681,205.70532;1730691752.641723;1730691752.6501868;0.008464813232421875#0.00606#PreStim#PreStim
0,187.88568,151.19882;1,241.69897,121.16571;2,105.066925,141.32329;3,89.380226,78.87434;4,148.63348,110.12708;5,148.85681,205.70532;1730691752.641723;1730691752.6561937;0.014472246170043945#0.00601#PreStim#PreStim
0,187.49167,152.58829;1,253.00325,137.30014;2,104.23751,142.86281;3,89.60893,78.88234;4,148.79832,112.20603;5,148.66806,205.61766;1730691752.6517105;1730691752.6622906;0.010581493377685547#0.0061#PreStim#PreStim
0,186.86678,151.64072;1,252.6958,139.96501;2,103.80808,142.22743;3,97.09622,77.56553;4,147.9522,110.265236;5,148.81035,205.59837;1730691752.6617231;1730691752.6682906;0.006568431854248047#0.006#PreStim#PreStim
0,186.86678,151.64072;1,252.6958,139.96501;2,103.80808,142.22743;3,97.09622,77.56553;4,147.9522,110.265236;5,148.81035,205.59837;1730691752.6617231;1730691752.6748502;0.013128280639648438#0.00656#PreStim#PreStim
0,187.79932,152.98375;1,249.7046,160.79733;2,104.54871,142.07005;3,97.82617,78.46453;4,148.3268,109.781624;5,149.17883,205.64186;1730691752.6717408;1730691752.6809566;0.009217023849487305#0.00611#PreStim#PreStim
0,187.79932,152.98375;1,249.7046,160.79733;2,104.54871,142.07005;3,97.82617,78.46453;4,148.3268,109.781624;5,149.17883,205.64186;1730691752.6717408;1730691752.6866205;0.014880657196044922#0.00567#PreStim#PreStim
0,188.41258,153.88481;1,248.93526,158.4159;2,104.25179,143.05476;3,97.43974,78.84968;4,148.51688,110.42615;5,149.22954,205.98415;1730691752.681764;1730691752.6931071;0.011344671249389648#0.00649#PreStim#PreStim
0,188.08919,146.46436;1,90.72767,77.58602;2,104.69857,143.58429;3,90.98673,80.30319;4,147.44653,109.71018;5,149.08224,206.46373;1730691752.691746;1730691752.6990247;0.007279634475708008#0.0059#PreStim#PreStim
0,188.08919,146.46436;1,90.72767,77.58602;2,104.69857,143.58429;3,90.98673,80.30319;4,147.44653,109.71018;5,149.08224,206.46373;1730691752.691746;1730691752.7048492;0.01310420036315918#0.00583#PreStim#PreStim
0,188.41776,147.08406;1,247.85869,135.26233;2,104.76342,142.86803;3,96.77283,80.875435;4,147.83295,109.89366;5,149.07967,206.61717;1730691752.701747;1730691752.7108033;0.00905752182006836#0.00595#PreStim#PreStim
0,188.41776,147.08406;1,247.85869,135.26233;2,104.76342,142.86803;3,96.77283,80.875435;4,147.83295,109.89366;5,149.07967,206.61717;1730691752.701747;1730691752.7171204;0.015375137329101562#0.00632#PreStim#PreStim
0,189.04553,148.38158;1,242.11035,139.9721;2,104.76652,143.40245;3,98.45494,81.41287;4,148.35072,109.65372;5,149.2619,207.07744;1730691752.7117493;1730691752.722926;0.011177539825439453#0.0058#PreStim#PreStim
0,188.8486,146.76349;1,244.04004,146.28032;2,104.72341,143.50873;3,98.179344,81.37399;4,148.58356,109.716675;5,149.47054,207.96626;1730691752.7217755;1730691752.728858;0.007083415985107422#0.00593#PreStim#PreStim
0,188.8486,146.76349;1,244.04004,146.28032;2,104.72341,143.50873;3,98.179344,81.37399;4,148.58356,109.716675;5,149.47054,207.96626;1730691752.7217755;1730691752.7352817;0.013506889343261719#0.00643#PreStim#PreStim
0,188.80092,147.29819;1,244.84207,154.3666;2,104.862816,143.95552;3,98.76125,82.66451;4,148.48526,109.99389;5,149.33261,207.0371;1730691752.7317677;1730691752.7417052;0.009938478469848633#0.00642#PreStim#PreStim
0,189.37689,156.1083;1,234.42413,208.1977;2,105.102264,145.74028;3,89.59659,79.49422;4,148.76317,109.883896;5,148.93977,206.3901;1730691752.7317677;1730691752.747343;0.015576362609863281#0.00564#PreStim#PreStim
0,189.37689,156.1083;1,234.42413,208.1977;2,105.102264,145.74028;3,89.59659,79.49422;4,148.76317,109.883896;5,148.93977,206.3901;1730691752.74179;1730691752.7529817;0.011192798614501953#0.00563#PreStim#PreStim
0,188.22667,168.3536;1,250.38542,208.99614;2,104.70739,145.31386;3,96.97851,79.060844;4,149.02858,110.20925;5,147.5459,206.66309;1730691752.75179;1730691752.759616;0.007826805114746094#0.00664#PreStim#PreStim
0,188.22667,168.3536;1,250.38542,208.99614;2,104.70739,145.31386;3,96.97851,79.060844;4,149.02858,110.20925;5,147.5459,206.66309;1730691752.75179;1730691752.7654753;0.013685941696166992#0.00586#PreStim#PreStim
