ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,187.80424,160.94148;1,264.28497,207.04941;2,109.82913,127.12634;3,102.79252,61.99148;4,151.02127,111.62649;5,147.68976,205.0273;1730691754.1429794;1730691754.1559436;0.012964963912963867#0.01473#PreStim#PreStim
0,188.18623,160.95781;1,262.5244,206.75592;2,109.286804,127.66221;3,82.03166,75.28346;4,149.54185,110.31148;5,147.67368,205.16005;1730691754.1529942;1730691754.1628406;0.00984811782836914#0.0069#PreStim#PreStim
0,188.26057,161.32707;1,263.16174,205.60341;2,109.494995,127.789536;3,80.89376,76.71593;4,149.73921,110.044815;5,147.89526,205.06958;1730691754.1529942;1730691754.1676774;0.014684200286865234#0.00483#PreStim#PreStim
0,188.26057,161.32707;1,263.16174,205.60341;2,109.494995,127.789536;3,80.89376,76.71593;4,149.73921,110.044815;5,147.89526,205.06958;1730691754.162997;1730691754.172321;0.009325027465820312#0.00465#PreStim#PreStim
0,188.26057,161.32707;1,263.16174,205.60341;2,109.494995,127.789536;3,80.89376,76.71593;4,149.73921,110.044815;5,147.89526,205.06958;1730691754.162997;1730691754.1785123;0.015516042709350586#0.00619#PreStim#PreStim
0,188.40659,160.76895;1,262.22968,205.84235;2,108.880615,129.10396;3,65.672554,91.8373;4,149.2426,110.069214;5,148.28896,205.10138;1730691754.173014;1730691754.1840067;0.010993719100952148#0.0055#PreStim#PreStim
0,188.8559,160.79922;1,247.11034,191.3787;2,106.58376,129.89877;3,80.44374,83.47516;4,149.32587,109.96176;5,148.51805,205.38362;1730691754.1830006;1730691754.1897843;0.006784677505493164#0.00578#PreStim#PreStim
0,188.8559,160.79922;1,247.11034,191.3787;2,106.58376,129.89877;3,80.44374,83.47516;4,149.32587,109.96176;5,148.51805,205.38362;1730691754.1830006;1730691754.1961071;0.013107776641845703#0.00632#PreStim#PreStim
0,188.24158,161.86063;1,245.76198,190.66168;2,103.31978,135.35236;3,77.26072,223.25175;4,149.0191,110.249466;5,148.4088,205.44003;1730691754.1930234;1730691754.2020032;0.008980751037597656#0.00589#PreStim#PreStim
0,188.24158,161.86063;1,245.76198,190.66168;2,103.31978,135.35236;3,77.26072,223.25175;4,149.0191,110.249466;5,148.4088,205.44003;1730691754.1930234;1730691754.2079554;0.014933109283447266#0.00595#PreStim#PreStim
0,188.21407,162.36357;1,245.84404,191.67514;2,102.80297,142.40251;3,77.362015,221.51573;4,148.46149,110.46472;5,148.40448,205.38402;1730691754.2030118;1730691754.2139618;0.010950803756713867#0.00601#PreStim#PreStim
0,188.18623,163.10844;1,245.65521,193.51308;2,103.551796,143.22397;3,77.79864,216.23312;4,149.36812,112.95302;5,149.35008,205.986;1730691754.213016;1730691754.2197914;0.006776332855224609#0.00583#PreStim#PreStim
