ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,188.56108,137.57726;1,247.69421,109.17514;2,101.27296,154.2097;3,98.28912,79.90201;4,145.7665,108.83825;5,146.92911,205.57974;1730691755.2438955;1730691755.2588265;0.014931917190551758#0.01455#PreStim#PreStim
0,189.49843,137.51605;1,252.51578,122.26958;2,102.05456,153.60825;3,99.47532,78.10218;4,146.70956,110.657104;5,147.27666,205.33534;1730691755.2539036;1730691755.2652862;0.011383295059204102#0.00646#PreStim#PreStim
0,189.47173,137.37167;1,253.51787,121.209;2,101.90679,153.82748;3,100.157555,78.56502;4,146.7945,111.04419;5,147.4424,205.75897;1730691755.2639096;1730691755.2698314;0.005922555923461914#0.00454#PreStim#PreStim
0,189.47173,137.37167;1,253.51787,121.209;2,101.90679,153.82748;3,100.157555,78.56502;4,146.7945,111.04419;5,147.4424,205.75897;1730691755.2639096;1730691755.2750309;0.01112222671508789#0.00521#PreStim#PreStim
0,188.50609,136.8784;1,246.00085,108.26413;2,101.57631,153.00589;3,100.22039,78.17085;4,146.40576,108.917656;5,147.16048,205.55118;1730691755.2739556;1730691755.2811534;0.00719904899597168#0.00612#PreStim#PreStim
0,188.50609,136.8784;1,246.00085,108.26413;2,101.57631,153.00589;3,100.22039,78.17085;4,146.40576,108.917656;5,147.16048,205.55118;1730691755.2739556;1730691755.2868896;0.01293492317199707#0.00573#PreStim#PreStim
0,188.20956,137.1085;1,245.8369,109.47993;2,101.83638,152.81349;3,106.82452,74.102005;4,146.16185,109.05276;5,146.9017,205.47061;1730691755.283928;1730691755.2927501;0.008823156356811523#0.00586#PreStim#PreStim
0,188.20956,137.1085;1,245.8369,109.47993;2,101.83638,152.81349;3,106.82452,74.102005;4,146.16185,109.05276;5,146.9017,205.47061;1730691755.283928;1730691755.298614;0.014686822891235352#0.00586#PreStim#PreStim
0,187.45915,134.10182;1,245.4104,109.66493;2,101.45668,153.00177;3,100.17388,77.97032;4,145.72511,108.70465;5,147.04138,205.61281;1730691755.293928;1730691755.3069386;0.013011693954467773#0.00833#PreStim#PreStim
0,188.16145,134.3045;1,241.68518,105.21057;2,101.82984,153.25032;3,98.106316,79.56408;4,145.90627,108.91906;5,146.99554,205.19698;1730691755.3039434;1730691755.31247;0.008527755737304688#0.00553#PreStim#PreStim
0,188.16145,134.3045;1,241.68518,105.21057;2,101.82984,153.25032;3,98.106316,79.56408;4,145.90627,108.91906;5,146.99554,205.19698;1730691755.3039434;1730691755.3179545;0.01401209831237793#0.00548#PreStim#PreStim
0,188.48863,132.75417;1,237.30582,96.906006;2,101.9012,154.6816;3,96.3175,79.23352;4,146.01393,108.803055;5,147.06071,204.52432;1730691755.3139458;1730691755.3233275;0.00938272476196289#0.00538#PreStim#PreStim
0,188.48863,132.75417;1,237.30582,96.906006;2,101.9012,154.6816;3,96.3175,79.23352;4,146.01393,108.803055;5,147.06071,204.52432;1730691755.3139458;1730691755.3299804;0.01603555679321289#0.00665#PreStim#PreStim
0,187.3642,126.26762;1,90.875046,60.192265;2,104.437225,140.6792;3,83.89391,77.16993;4,146.9771,107.797966;5,146.90009,204.30437;1730691755.3239813;1730691755.3355298;0.011549234390258789#0.00554#PreStim#PreStim
0,192.58151,151.54869;1,197.80905,91.91105;2,104.35173,145.13571;3,86.26857,67.460754;4,147.57549,107.94596;5,146.69652,203.98509;1730691755.3339887;1730691755.3411052;0.007117509841918945#0.00558#PreStim#PreStim
0,192.58151,151.54869;1,197.80905,91.91105;2,104.35173,145.13571;3,86.26857,67.460754;4,147.57549,107.94596;5,146.69652,203.98509;1730691755.3339887;1730691755.3480482;0.014060497283935547#0.00694#PreStim#PreStim
0,191.76283,151.31624;1,108.78816,61.05996;2,102.50316,147.48416;3,104.96608,58.924835;4,148.29984,108.84187;5,146.55615,203.4542;1730691755.3439903;1730691755.3534722;0.009482622146606445#0.00542#PreStim#PreStim
0,191.76283,151.31624;1,108.78816,61.05996;2,102.50316,147.48416;3,104.96608,58.924835;4,148.29984,108.84187;5,146.55615,203.4542;1730691755.3439903;1730691755.359294;0.0153045654296875#0.00583#PreStim#PreStim
0,192.03035,151.1006;1,59.4351,75.71948;2,104.02544,145.04951;3,74.64584,82.13005;4,148.64607,108.99113;5,146.90924,204.00795;1730691755.3540018;1730691755.3653753;0.011374473571777344#0.00608#PreStim#PreStim
0,191.76237,149.02585;1,187.74826,12.5541;2,103.94808,144.39455;3,84.65854,77.14617;4,147.88579,109.08125;5,146.75551,204.52238;1730691755.3640046;1730691755.3713648;0.007361173629760742#0.00599#PreStim#PreStim
0,191.76237,149.02585;1,187.74826,12.5541;2,103.94808,144.39455;3,84.65854,77.14617;4,147.88579,109.08125;5,146.75551,204.52238;1730691755.3640046;1730691755.3775034;0.013499975204467773#0.00614#PreStim#PreStim
0,191.55553,152.22746;1,209.07843,118.282265;2,101.155754,157.37537;3,97.765305,77.96934;4,146.3263,112.55312;5,147.70169,204.4886;1730691755.3740618;1730691755.3838327;0.00977182388305664#0.00633#PreStim#PreStim
0,191.55553,152.22746;1,209.07843,118.282265;2,101.155754,157.37537;3,97.765305,77.96934;4,146.3263,112.55312;5,147.70169,204.4886;1730691755.3740618;1730691755.3896391;0.015578269958496094#0.00581#PreStim#PreStim
0,192.08337,152.3159;1,93.1809,76.34235;2,102.21804,156.64882;3,55.285812,180.83391;4,147.4041,112.64637;5,148.01543,204.20488;1730691755.3840241;1730691755.396423;0.012399911880493164#0.00678#PreStim#PreStim
0,192.2441,152.71606;1,246.48615,21.481176;2,101.625984,151.41281;3,99.6035,74.30268;4,147.30621,112.23982;5,148.34192,204.03069;1730691755.3940156;1730691755.4023058;0.008291006088256836#0.00588#PreStim#PreStim
0,192.2441,152.71606;1,246.48615,21.481176;2,101.625984,151.41281;3,99.6035,74.30268;4,147.30621,112.23982;5,148.34192,204.03069;1730691755.3940156;1730691755.4078634;0.013848543167114258#0.00556#PreStim#PreStim
0,191.43806,150.20815;1,93.5256,76.37337;2,104.65299,131.28409;3,101.52695,70.06584;4,148.36195,110.38159;5,148.05429,204.32617;1730691755.4040394;1730691755.4143753;0.010337591171264648#0.00651#PreStim#PreStim
