ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,188.67435,153.12758;1,251.19148,150.94809;2,102.60664,153.91101;3,46.03142,159.64346;4,150.34673,110.72087;5,147.09616,208.09782;1730691757.756026;1730691757.7665355;0.010510683059692383#1.43119#PreStim#PreStim
0,188.02943,153.25945;1,255.40022,150.40648;2,102.234955,152.83197;3,47.166096,153.73836;4,150.47234,110.803566;5,147.10576,207.92012;1730691757.766033;1730691757.7731063;0.007074594497680664#0.00655#PreStim#PreStim
0,188.02943,153.25945;1,255.40022,150.40648;2,102.234955,152.83197;3,47.166096,153.73836;4,150.47234,110.803566;5,147.10576,207.92012;1730691757.766033;1730691757.7792103;0.013178348541259766#0.0061#PreStim#PreStim
0,188.29002,154.2729;1,252.57051,155.06194;2,102.294716,151.83383;3,48.880753,150.94963;4,149.80533,109.37484;5,146.74757,208.22084;1730691757.7760432;1730691757.7854707;0.009428262710571289#0.00626#PreStim#PreStim
0,188.29002,154.2729;1,252.57051,155.06194;2,102.294716,151.83383;3,48.880753,150.94963;4,149.80533,109.37484;5,146.74757,208.22084;1730691757.7760432;1730691757.791487;0.015444755554199219#0.00602#PreStim#PreStim
0,188.53593,155.2931;1,251.41235,160.99323;2,102.268875,151.22485;3,77.12843,83.8289;4,150.53194,110.72349;5,146.74503,208.17915;1730691757.7860534;1730691757.797745;0.011692285537719727#0.00626#PreStim#PreStim
0,188.51332,156.56161;1,220.81343,71.48123;2,102.25592,151.11073;3,77.84062,84.384026;4,150.21866,111.38357;5,146.57559,207.47086;1730691757.7960508;1730691757.8046513;0.00860142707824707#0.00691#PreStim#PreStim
0,188.51332,156.56161;1,220.81343,71.48123;2,102.25592,151.11073;3,77.84062,84.384026;4,150.21866,111.38357;5,146.57559,207.47086;1730691757.7960508;1730691757.809643;0.013593196868896484#0.00499#PreStim#PreStim
0,188.68568,156.62363;1,220.34557,78.85121;2,102.76277,150.58107;3,83.73371,77.84071;4,149.79324,111.589584;5,146.54285,207.39351;1730691757.8060567;1730691757.8157644;0.009708881378173828#0.00612#PreStim#PreStim
0,188.79176,156.39682;1,221.33186,70.42768;2,102.59808,150.02757;3,81.16382,85.679306;4,149.97472,111.296364;5,146.03105,206.74086;1730691757.8060567;1730691757.8220956;0.016039609909057617#0.00633#PreStim#PreStim
0,188.79176,156.39682;1,221.33186,70.42768;2,102.59808,150.02757;3,81.16382,85.679306;4,149.97472,111.296364;5,146.03105,206.74086;1730691757.8160563;1730691757.8279974;0.011942148208618164#0.0059#PreStim#PreStim
0,188.53488,155.43706;1,260.79797,173.70595;2,101.99118,150.19398;3,76.93477,84.35241;4,149.5819,111.18018;5,145.92953,206.23552;1730691757.8260674;1730691757.8337896;0.007723093032836914#0.00579#PreStim#PreStim
0,188.53488,155.43706;1,260.79797,173.70595;2,101.99118,150.19398;3,76.93477,84.35241;4,149.5819,111.18018;5,145.92953,206.23552;1730691757.8260674;1730691757.8403707;0.014304161071777344#0.00658#PreStim#PreStim
