ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,194.40999,146.76947;1,259.74203,196.53311;2,111.624825,117.36051;3,74.52784,63.260292;4,150.1533,113.875984;5,146.36935,204.81784;1730691778.7837346;1730691778.7988703;0.01513671875#0.03052#PreStim#PreStim
0,193.89851,146.82365;1,252.56413,196.09764;2,111.89454,115.65891;3,75.03291,64.40196;4,149.99133,114.13788;5,145.61002,205.11821;1730691778.793771;1730691778.8039293;0.010159492492675781#0.00506#PreStim#PreStim
0,193.8764,146.88278;1,254.36572,204.3927;2,112.07987,115.51214;3,77.07955,64.07745;4,150.03598,113.38912;5,146.25244,204.46254;1730691778.803771;1730691778.8098505;0.00608062744140625#0.00592#PreStim#PreStim
0,193.8764,146.88278;1,254.36572,204.3927;2,112.07987,115.51214;3,77.07955,64.07745;4,150.03598,113.38912;5,146.25244,204.46254;1730691778.803771;1730691778.8159075;0.012137651443481445#0.00605#PreStim#PreStim
0,193.88629,146.7825;1,257.368,206.41333;2,111.64692,115.39432;3,76.969734,64.5338;4,150.07675,113.997765;5,146.1424,204.62387;1730691778.813769;1730691778.8220236;0.008255720138549805#0.00612#PreStim#PreStim
0,193.88629,146.7825;1,257.368,206.41333;2,111.64692,115.39432;3,76.969734,64.5338;4,150.07675,113.997765;5,146.1424,204.62387;1730691778.813769;1730691778.826818;0.013050556182861328#0.0048#PreStim#PreStim
0,194.30411,146.82031;1,254.15218,196.35272;2,112.12062,115.25687;3,76.22781,65.35099;4,150.18546,114.30022;5,146.26317,204.58554;1730691778.8237724;1730691778.8335555;0.00978398323059082#0.00673#PreStim#PreStim
0,194.27289,146.9984;1,260.48358,201.57324;2,111.59436,115.61111;3,77.77743,64.22877;4,149.90201,114.036514;5,147.4951,204.35568;1730691778.8237724;1730691778.8401368;0.016365528106689453#0.00658#PreStim#PreStim
0,194.27289,146.9984;1,260.48358,201.57324;2,111.59436,115.61111;3,77.77743,64.22877;4,149.90201,114.036514;5,147.4951,204.35568;1730691778.83379;1730691778.845974;0.012184858322143555#0.00584#PreStim#PreStim
0,195.1052,147.79785;1,257.64023,198.02983;2,111.61322,114.79796;3,76.42026,65.539536;4,149.84435,113.93527;5,146.6481,203.91809;1730691778.8437998;1730691778.8519006;0.008101940155029297#0.00593#PreStim#PreStim
0,195.1052,147.79785;1,257.64023,198.02983;2,111.61322,114.79796;3,76.42026,65.539536;4,149.84435,113.93527;5,146.6481,203.91809;1730691778.8437998;1730691778.8581614;0.014362335205078125#0.00626#PreStim#PreStim
0,194.42755,146.79701;1,257.2727,195.2431;2,111.33614,115.22663;3,77.096924,65.650024;4,149.73158,114.11301;5,145.79483,204.16096;1730691778.853806;1730691778.8645484;0.010743379592895508#0.00639#PreStim#PreStim
0,194.58046,146.87183;1,260.82996,186.25453;2,110.40544,115.498276;3,77.65934,65.109566;4,149.51527,114.142426;5,145.26836,203.54263;1730691778.8638234;1730691778.8705437;0.0067212581634521484#0.00599#PreStim#PreStim
0,194.58046,146.87183;1,260.82996,186.25453;2,110.40544,115.498276;3,77.65934,65.109566;4,149.51527,114.142426;5,145.26836,203.54263;1730691778.8638234;1730691778.8762052;0.012382745742797852#0.00567#PreStim#PreStim
0,194.24261,147.86298;1,258.35315,197.91272;2,110.39438,115.99726;3,76.176315,65.8904;4,149.84824,114.88099;5,144.98724,204.42941;1730691778.8738265;1730691778.8825033;0.00867772102355957#0.0063#PreStim#PreStim
0,194.24261,147.86298;1,258.35315,197.91272;2,110.39438,115.99726;3,76.176315,65.8904;4,149.84824,114.88099;5,144.98724,204.42941;1730691778.8738265;1730691778.8888364;0.015010833740234375#0.00633#PreStim#PreStim
0,194.01035,147.8621;1,252.91496,197.00626;2,109.93809,116.425095;3,76.73882,66.67536;4,149.48076,115.142685;5,144.58351,204.01361;1730691778.8838227;1730691778.8946455;0.010823965072631836#0.00581#PreStim#PreStim
0,193.55998,147.36093;1,257.23138,195.69777;2,109.81407,116.5076;3,81.78504,67.44824;4,149.7294,114.70141;5,145.57652,203.59337;1730691778.8938239;1730691778.9007235;0.0069005489349365234#0.00608#PreStim#PreStim
0,193.55998,147.36093;1,257.23138,195.69777;2,109.81407,116.5076;3,81.78504,67.44824;4,149.7294,114.70141;5,145.57652,203.59337;1730691778.8938239;1730691778.9066107;0.012787818908691406#0.00589#PreStim#PreStim
0,194.52219,148.04153;1,267.34015,174.02794;2,109.52844,116.5623;3,77.79328,66.12492;4,149.47295,115.298615;5,146.12631,204.07184;1730691778.9038436;1730691778.9124277;0.008585214614868164#0.00582#PreStim#PreStim
0,194.52219,148.04153;1,267.34015,174.02794;2,109.52844,116.5623;3,77.79328,66.12492;4,149.47295,115.298615;5,146.12631,204.07184;1730691778.9038436;1730691778.9188516;0.015008926391601562#0.00642#PreStim#PreStim
