ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,170.17557,88.263115;1,280.2316,225.01573;2,89.081795,137.14272;3,75.96819,149.53238;4,130.80351,104.9128;5,161.09657,200.56305;1730691799.8114634;1730691799.8285775;0.017115116119384766#0.03031#PreStim#PreStim
0,176.89027,97.908005;1,279.91766,225.3635;2,88.941086,138.46579;3,73.85394,149.73705;4,130.52261,100.8893;5,159.00896,195.59694;1730691799.8214672;1730691799.8337743;0.012307882308959961#0.00518#PreStim#PreStim
0,169.97597,90.68119;1,279.90793,225.25452;2,99.51491,146.58072;3,76.46545,160.67561;4,131.516,105.70746;5,159.38725,196.72868;1730691799.831485;1730691799.8388362;0.007352113723754883#0.00506#PreStim#PreStim
0,169.97597,90.68119;1,279.90793,225.25452;2,99.51491,146.58072;3,76.46545,160.67561;4,131.516,105.70746;5,159.38725,196.72868;1730691799.831485;1730691799.8450367;0.01355290412902832#0.0062#PreStim#PreStim
0,171.8497,98.0612;1,273.39032,227.44331;2,88.0144,138.31546;3,78.238716,161.87903;4,131.58449,101.52963;5,160.07924,197.86824;1730691799.8414779;1730691799.851025;0.009548187255859375#0.00599#PreStim#PreStim
0,171.8497,98.0612;1,273.39032,227.44331;2,88.0144,138.31546;3,78.238716,161.87903;4,131.58449,101.52963;5,160.07924,197.86824;1730691799.8414779;1730691799.8569872;0.015510320663452148#0.00596#PreStim#PreStim
0,177.81224,105.328926;1,280.7357,224.10083;2,87.41894,137.67351;3,84.27117,155.90163;4,132.3822,99.95052;5,158.93324,194.08833;1730691799.851494;1730691799.863192;0.01169896125793457#0.00621#PreStim#PreStim
0,178.27383,104.4476;1,280.53,224.82835;2,90.708,139.89758;3,75.76588,161.35965;4,133.41264,100.93346;5,161.98865,194.9404;1730691799.8615007;1730691799.8691077;0.007607936859130859#0.00592#PreStim#PreStim
0,178.27383,104.4476;1,280.53,224.82835;2,90.708,139.89758;3,75.76588,161.35965;4,133.41264,100.93346;5,161.98865,194.9404;1730691799.8615007;1730691799.8750377;0.01353764533996582#0.00593#PreStim#PreStim
0,176.89801,105.32639;1,273.92194,227.13417;2,92.75012,139.96892;3,77.80489,149.04759;4,131.98004,102.63709;5,160.96233,194.08133;1730691799.8715048;1730691799.8809016;0.00939798355102539#0.00587#PreStim#PreStim
0,176.89801,105.32639;1,273.92194,227.13417;2,92.75012,139.96892;3,77.80489,149.04759;4,131.98004,102.63709;5,160.96233,194.08133;1730691799.8715048;1730691799.8871174;0.015613555908203125#0.00622#PreStim#PreStim
0,176.4789,104.62816;1,274.45978,227.15749;2,89.489204,137.4458;3,84.23096,147.346;4,132.78328,105.79749;5,159.79028,194.05704;1730691799.88153;1730691799.8934104;0.011881351470947266#0.0063#PreStim#PreStim
0,185.51642,130.43982;1,274.15393,227.80478;2,101.34154,148.93889;3,80.28471,159.88515;4,133.55151,101.3004;5,161.61392,196.97916;1730691799.8915267;1730691799.8994424;0.007916688919067383#0.00603#PreStim#PreStim
0,185.51642,130.43982;1,274.15393,227.80478;2,101.34154,148.93889;3,80.28471,159.88515;4,133.55151,101.3004;5,161.61392,196.97916;1730691799.8915267;1730691799.9054961;0.013970375061035156#0.00605#PreStim#PreStim
0,188.1556,127.92603;1,279.42038,223.9687;2,90.52606,139.9546;3,78.48645,161.33972;4,133.34326,100.94988;5,161.77475,197.30019;1730691799.9017026;1730691799.9120128;0.010311126708984375#0.00653#PreStim#PreStim
