ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,172.40962,141.81366;1,251.85597,172.08043;2,82.12736,153.42955;3,269.67398,197.36992;4,121.83673,122.856255;5,130.56598,200.70023;1730691820.8492103;1730691820.8565552;0.0073468685150146484#0.0292#PreStim#PreStim
0,172.40962,141.81366;1,251.85597,172.08043;2,82.12736,153.42955;3,269.67398,197.36992;4,121.83673,122.856255;5,130.56598,200.70023;1730691820.8492103;1730691820.8639357;0.014726400375366211#0.00738#PreStim#PreStim
0,173.28194,147.25162;1,218.81284,227.63382;2,82.96315,153.03595;3,268.97495,195.99226;4,123.32913,119.31161;5,130.03433,202.03291;1730691820.8592167;1730691820.8686032;0.009387493133544922#0.00466#PreStim#PreStim
0,173.28194,147.25162;1,218.81284,227.63382;2,82.96315,153.03595;3,268.97495,195.99226;4,123.32913,119.31161;5,130.03433,202.03291;1730691820.8592167;1730691820.8740616;0.014845609664916992#0.00546#PreStim#PreStim
0,172.75024,146.26627;1,266.18445,172.00523;2,82.56785,152.78464;3,266.93198,205.11682;4,122.25868,118.05685;5,129.37862,201.96751;1730691820.8692179;1730691820.8794286;0.010211944580078125#0.00537#PreStim#PreStim
0,171.44499,140.76045;1,274.9028,198.00282;2,84.13437,153.5455;3,57.758484,180.22206;4,122.26278,118.4868;5,128.75526,203.15854;1730691820.8792164;1730691820.8854597;0.0062444210052490234#0.00603#PreStim#PreStim
0,171.44499,140.76045;1,274.9028,198.00282;2,84.13437,153.5455;3,57.758484,180.22206;4,122.26278,118.4868;5,128.75526,203.15854;1730691820.8792164;1730691820.8916821;0.012466669082641602#0.00622#PreStim#PreStim
0,172.6242,141.18843;1,265.61722,172.08682;2,85.34475,153.78087;3,58.762577,171.62657;4,122.063736,121.307816;5,129.24492,203.39496;1730691820.8892105;1730691820.8975687;0.008360147476196289#0.00589#PreStim#PreStim
0,172.6242,141.18843;1,265.61722,172.08682;2,85.34475,153.78087;3,58.762577,171.62657;4,122.063736,121.307816;5,129.24492,203.39496;1730691820.8892105;1730691820.903958;0.014748573303222656#0.00639#PreStim#PreStim
0,171.67233,146.05673;1,266.4873,171.50612;2,84.84579,152.29662;3,72.74387,163.51588;4,123.04367,117.96688;5,130.65894,203.6865;1730691820.8992372;1730691820.9099555;0.010719776153564453#0.006#PreStim#PreStim
0,172.36342,145.82526;1,265.31573,172.60745;2,83.90464,151.24728;3,58.410835,180.35063;4,123.067406,117.98663;5,130.85368,204.53142;1730691820.9092355;1730691820.9161925;0.0069580078125#0.00623#PreStim#PreStim
0,172.36342,145.82526;1,265.31573,172.60745;2,83.90464,151.24728;3,58.410835,180.35063;4,123.067406,117.98663;5,130.85368,204.53142;1730691820.9092355;1730691820.921752;0.012517452239990234#0.00556#PreStim#PreStim
0,171.24483,140.72675;1,276.20358,206.52563;2,85.10038,152.40102;3,70.5266,178.47652;4,123.28318,117.73413;5,131.09122,205.08727;1730691820.9192388;1730691820.9280474;0.008809328079223633#0.0063#PreStim#PreStim
0,171.24483,140.72675;1,276.20358,206.52563;2,85.10038,152.40102;3,70.5266,178.47652;4,123.28318,117.73413;5,131.09122,205.08727;1730691820.9192388;1730691820.9340818;0.01484370231628418#0.00603#PreStim#PreStim
0,171.9889,145.56627;1,217.67563,227.91112;2,86.066,153.08308;3,74.263,178.81364;4,123.49433,118.56241;5,131.95618,206.03731;1730691820.9292562;1730691820.9406574;0.011402130126953125#0.00658#PreStim#PreStim
0,172.00536,146.20522;1,218.20891,224.38235;2,86.32251,154.10376;3,72.99518,177.9136;4,124.097336,118.31987;5,133.72787,206.09889;1730691820.939256;1730691820.945904;0.0066492557525634766#0.00525#PreStim#PreStim
0,172.00536,146.20522;1,218.20891,224.38235;2,86.32251,154.10376;3,72.99518,177.9136;4,124.097336,118.31987;5,133.72787,206.09889;1730691820.939256;1730691820.9518375;0.012582540512084961#0.00593#PreStim#PreStim
0,173.27562,139.88188;1,259.55383,172.67537;2,85.60766,154.23042;3,60.084267,181.85379;4,124.758644,117.71259;5,131.72192,205.23994;1730691820.9492912;1730691820.9587553;0.00946497917175293#0.00692#PreStim#PreStim
0,173.27562,139.88188;1,259.55383,172.67537;2,85.60766,154.23042;3,60.084267,181.85379;4,124.758644,117.71259;5,131.72192,205.23994;1730691820.9492912;1730691820.9644797;0.015189647674560547#0.00573#PreStim#PreStim
0,173.26613,139.03325;1,259.3367,173.37921;2,85.93816,154.63884;3,58.940594,182.29407;4,125.49234,118.381935;5,132.95927,205.9222;1730691820.9592838;1730691820.970253;0.010970354080200195#0.00577#PreStim#PreStim
0,175.03127,138.77737;1,251.95155,156.57506;2,85.294365,154.02348;3,262.0721,187.8326;4,125.84962,118.158005;5,132.20496,204.94427;1730691820.9692874;1730691820.9764185;0.007132291793823242#0.00616#PreStim#PreStim
0,175.03127,138.77737;1,251.95155,156.57506;2,85.294365,154.02348;3,262.0721,187.8326;4,125.84962,118.158005;5,132.20496,204.94427;1730691820.9692874;1730691820.9826252;0.013338565826416016#0.00621#PreStim#PreStim
0,176.7114,140.93703;1,259.5624,173.21136;2,86.33012,154.4203;3,59.306816,182.53802;4,125.67871,117.645546;5,132.09544,205.48878;1730691820.9793105;1730691820.9883852;0.00907588005065918#0.00576#PreStim#PreStim
0,176.7114,140.93703;1,259.5624,173.21136;2,86.33012,154.4203;3,59.306816,182.53802;4,125.67871,117.645546;5,132.09544,205.48878;1730691820.9793105;1730691820.994991;0.01568126678466797#0.00661#PreStim#PreStim
0,176.99777,141.33029;1,259.34985,173.37657;2,89.42485,152.90079;3,58.409733,183.23586;4,125.85612,118.45586;5,132.18115,205.38849;1730691820.9893203;1730691821.0006518;0.011332511901855469#0.00566#PreStim#PreStim
0,174.90993,140.63454;1,259.545,173.35356;2,86.41935,153.6721;3,269.51828,196.31592;4,125.45961,118.34345;5,132.01024,204.16685;1730691820.9993274;1730691821.0070355;0.007709026336669922#0.00639#PreStim#PreStim
0,174.90993,140.63454;1,259.545,173.35356;2,86.41935,153.6721;3,269.51828,196.31592;4,125.45961,118.34345;5,132.01024,204.16685;1730691820.9993274;1730691821.0131767;0.013850212097167969#0.00614#PreStim#PreStim
0,175.59882,139.63779;1,252.24736,172.60345;2,86.570816,153.89014;3,70.59579,178.8953;4,125.60619,118.45187;5,131.92903,203.75847;1730691821.0093522;1730691821.0187519;0.009400367736816406#0.00557#PreStim#PreStim
0,175.59882,139.63779;1,252.24736,172.60345;2,86.570816,153.89014;3,70.59579,178.8953;4,125.60619,118.45187;5,131.92903,203.75847;1730691821.0093522;1730691821.0256128;0.016261577606201172#0.00686#PreStim#PreStim
0,175.69972,140.1154;1,258.3234,172.47414;2,86.30936,152.75882;3,72.705826,178.39104;4,125.010414,118.38579;5,132.7932,203.65445;1730691821.0193381;1730691821.030796;0.011458873748779297#0.00518#PreStim#PreStim
0,176.68321,147.8193;1,258.81342,173.74207;2,86.45645,152.2996;3,268.10223,203.68724;4,124.807045,118.395164;5,132.16852,206.1499;1730691821.0293381;1730691821.0368197;0.0074825286865234375#0.00603#PreStim#PreStim
0,176.68321,147.8193;1,258.81342,173.74207;2,86.45645,152.2996;3,268.10223,203.68724;4,124.807045,118.395164;5,132.16852,206.1499;1730691821.0293381;1730691821.04306;0.013723373413085938#0.00624#PreStim#PreStim
0,174.81927,141.1587;1,250.79031,171.3805;2,85.6653,152.69421;3,75.3845,211.6937;4,124.66812,118.95241;5,133.45894,205.02983;1730691821.0393548;1730691821.049086;0.009732484817504883#0.00602#PreStim#PreStim
0,172.70401,144.19014;1,251.52011,171.96388;2,86.826935,154.34834;3,74.382706,211.5788;4,124.54541,119.28105;5,133.60306,204.2288;1730691821.0393548;1730691821.0551283;0.015774250030517578#0.00604#PreStim#PreStim
0,172.70401,144.19014;1,251.52011,171.96388;2,86.826935,154.34834;3,74.382706,211.5788;4,124.54541,119.28105;5,133.60306,204.2288;1730691821.0493567;1730691821.061385;0.012029886245727539#0.00626#PreStim#PreStim
0,173.63158,140.73862;1,258.17822,173.73334;2,83.99979,153.29906;3,74.00449,216.61972;4,124.474045,118.593704;5,132.4132,201.89734;1730691821.059373;1730691821.067363;0.007990837097167969#0.00597#PreStim#PreStim
0,173.63158,140.73862;1,258.17822,173.73334;2,83.99979,153.29906;3,74.00449,216.61972;4,124.474045,118.593704;5,132.4132,201.89734;1730691821.059373;1730691821.0738146;0.014443159103393555#0.00645#PreStim#PreStim
