ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,266.04874,167.55612;1,203.79689,27.025475;2,88.564865,136.94487;3,189.23723,26.626595;4,135.07916,102.904594;5,139.82281,187.51;1730691841.8769183;1730691841.886742;0.009824752807617188#0.02489#PreStim#PreStim
0,265.76624,166.10107;1,204.39938,28.272612;2,87.83408,135.76544;3,267.183,187.40793;4,134.72777,102.51936;5,139.43436,186.84552;1730691841.8769183;1730691841.8946908;0.01777362823486328#0.00795#PreStim#PreStim
0,265.76624,166.10107;1,204.39938,28.272612;2,87.83408,135.76544;3,267.183,187.40793;4,134.72777,102.51936;5,139.43436,186.84552;1730691841.8869247;1730691841.8995187;0.012594938278198242#0.00482#PreStim#PreStim
0,267.04388,172.82292;1,203.98422,28.244667;2,87.871284,134.90936;3,173.57565,26.847494;4,134.84526,102.17744;5,138.89734,185.84584;1730691841.896935;1730691841.9050097;0.008075714111328125#0.00549#PreStim#PreStim
0,267.04388,172.82292;1,203.98422,28.244667;2,87.871284,134.90936;3,173.57565,26.847494;4,134.84526,102.17744;5,138.89734,185.84584;1730691841.896935;1730691841.9102876;0.013353586196899414#0.00528#PreStim#PreStim
0,266.8338,173.67012;1,201.64612,29.068779;2,88.6852,135.77068;3,173.06494,27.057308;4,134.48465,102.65822;5,138.95918,185.85106;1730691841.906946;1730691841.9164112;0.009466171264648438#0.00612#PreStim#PreStim
0,266.8338,173.67012;1,201.64612,29.068779;2,88.6852,135.77068;3,173.06494,27.057308;4,134.48465,102.65822;5,138.95918,185.85106;1730691841.906946;1730691841.9227185;0.015773534774780273#0.00631#PreStim#PreStim
0,266.77115,173.55333;1,202.62343,28.715858;2,88.95693,135.35553;3,173.5243,27.13626;4,135.12398,102.621635;5,139.4675,185.88379;1730691841.9169712;1730691841.9286947;0.011724233627319336#0.00598#PreStim#PreStim
0,266.73618,173.62439;1,202.05931,28.389626;2,88.92149,135.41791;3,267.10693,193.4168;4,134.78491,102.35876;5,139.36961,185.2015;1730691841.926958;1730691841.9349148;0.007958173751831055#0.00622#PreStim#PreStim
0,266.73618,173.62439;1,202.05931,28.389626;2,88.92149,135.41791;3,267.10693,193.4168;4,134.78491,102.35876;5,139.36961,185.2015;1730691841.926958;1730691841.941435;0.014477968215942383#0.00652#PreStim#PreStim
0,266.2817,173.28105;1,201.83943,27.88856;2,89.81581,134.93814;3,267.00278,192.89752;4,135.4249,102.66549;5,139.67667,184.85349;1730691841.9369795;1730691841.947189;0.010210752487182617#0.00576#PreStim#PreStim
0,265.93118,173.49446;1,202.99022,28.51455;2,89.61696,135.10185;3,267.0049,192.90111;4,135.5181,102.23465;5,139.62868,185.16206;1730691841.9469707;1730691841.9534981;0.006528139114379883#0.00631#PreStim#PreStim
0,265.93118,173.49446;1,202.99022,28.51455;2,89.61696,135.10185;3,267.0049,192.90111;4,135.5181,102.23465;5,139.62868,185.16206;1730691841.9469707;1730691841.9595125;0.012542963027954102#0.00601#PreStim#PreStim
0,266.70978,173.60744;1,202.83682,30.700006;2,88.58443,134.30423;3,267.0799,193.23679;4,134.77623,102.190956;5,138.91815,185.92418;1730691841.9569721;1730691841.965258;0.00828695297241211#0.00575#PreStim#PreStim
0,266.70978,173.60744;1,202.83682,30.700006;2,88.58443,134.30423;3,267.0799,193.23679;4,134.77623,102.190956;5,138.91815,185.92418;1730691841.9569721;1730691841.9716837;0.014712810516357422#0.00642#PreStim#PreStim
0,266.36743,174.55794;1,203.29594,27.790194;2,88.455154,134.12369;3,266.8892,203.97316;4,134.96053,103.559784;5,141.73872,187.19487;1730691841.9669704;1730691841.9773493;0.010380744934082031#0.00568#PreStim#PreStim
0,266.34653,175.86122;1,203.92262,27.808372;2,88.97281,137.51349;3,267.44305,203.45503;4,134.94069,106.45538;5,142.1459,188.84702;1730691841.9769917;1730691841.9833226;0.006331920623779297#0.00596#PreStim#PreStim
0,266.34653,175.86122;1,203.92262,27.808372;2,88.97281,137.51349;3,267.44305,203.45503;4,134.94069,106.45538;5,142.1459,188.84702;1730691841.9769917;1730691841.989245;0.012254714965820312#0.00592#PreStim#PreStim
0,262.6025,173.00261;1,202.39587,28.024033;2,89.85285,141.10071;3,267.85242,203.18217;4,134.84268,107.55661;5,140.03336,192.59866;1730691841.9869933;1730691841.995687;0.008694648742675781#0.00644#PreStim#PreStim
0,262.6025,173.00261;1,202.39587,28.024033;2,89.85285,141.10071;3,267.85242,203.18217;4,134.84268,107.55661;5,140.03336,192.59866;1730691841.9869933;1730691842.0018394;0.014847040176391602#0.00615#PreStim#PreStim
0,266.04184,180.69539;1,203.24133,28.451937;2,91.25163,143.39735;3,268.16837,210.7292;4,135.80705,107.81958;5,141.29079,192.7291;1730691841.9970071;1730691842.0080707;0.011064291000366211#0.00624#PreStim#PreStim
0,266.58908,182.00443;1,204.10332,27.427029;2,88.79946,140.49309;3,275.8593,212.22937;4,135.82468,109.32389;5,141.92073,194.46887;1730691842.007014;1730691842.0137277;0.006714820861816406#0.00566#PreStim#PreStim
0,266.58908,182.00443;1,204.10332,27.427029;2,88.79946,140.49309;3,275.8593,212.22937;4,135.82468,109.32389;5,141.92073,194.46887;1730691842.007014;1730691842.0199032;0.012890338897705078#0.00617#PreStim#PreStim
0,267.87393,190.51883;1,203.83563,28.473598;2,88.48612,141.62926;3,266.83356,212.2127;4,136.17369,108.76155;5,139.81114,197.64069;1730691842.0170174;1730691842.0261452;0.009129047393798828#0.00624#PreStim#PreStim
0,267.87393,190.51883;1,203.83563,28.473598;2,88.48612,141.62926;3,266.83356,212.2127;4,136.17369,108.76155;5,139.81114,197.64069;1730691842.0170174;1730691842.032068;0.015052556991577148#0.00592#PreStim#PreStim
0,268.54633,191.15057;1,204.51262,28.859959;2,90.35384,146.74309;3,266.6993,212.40182;4,135.82492,108.967995;5,141.27509,200.89723;1730691842.0270429;1730691842.0384076;0.01136636734008789#0.00634#PreStim#PreStim
0,181.3054,121.20366;1,203.35785,31.45792;2,90.137344,144.60399;3,266.44174,213.02016;4,135.04973,108.94623;5,140.37137,201.21175;1730691842.0370426;1730691842.0441756;0.007134437561035156#0.00577#PreStim#PreStim
0,181.3054,121.20366;1,203.35785,31.45792;2,90.137344,144.60399;3,266.44174,213.02016;4,135.04973,108.94623;5,140.37137,201.21175;1730691842.0370426;1730691842.0501158;0.013074159622192383#0.00593#PreStim#PreStim
0,180.32182,120.87837;1,203.50488,31.717434;2,89.17342,146.14835;3,266.92297,212.53629;4,136.08394,114.00288;5,142.37735,202.08469;1730691842.047061;1730691842.0558376;0.008777856826782227#0.00572#PreStim#PreStim
0,180.32182,120.87837;1,203.50488,31.717434;2,89.17342,146.14835;3,266.92297,212.53629;4,136.08394,114.00288;5,142.37735,202.08469;1730691842.047061;1730691842.0623116;0.015251636505126953#0.00648#PreStim#PreStim
0,179.73524,116.68858;1,204.51366,29.395674;2,88.73924,145.89397;3,266.01752,213.51057;4,135.49677,113.55032;5,140.51562,201.7614;1730691842.0570593;1730691842.0682695;0.011211633682250977#0.00596#PreStim#PreStim
0,181.25745,120.773705;1,203.8514,29.364763;2,87.284195,144.49466;3,264.61203,213.64293;4,133.27126,109.77337;5,138.73044,200.86118;1730691842.067064;1730691842.0745375;0.007474660873413086#0.00627#PreStim#PreStim
0,181.25745,120.773705;1,203.8514,29.364763;2,87.284195,144.49466;3,264.61203,213.64293;4,133.27126,109.77337;5,138.73044,200.86118;1730691842.067064;1730691842.0802786;0.01321554183959961#0.00574#PreStim#PreStim
0,181.75563,128.829;1,203.19089,31.820728;2,89.05215,145.83691;3,264.42654,215.74464;4,135.35992,113.647224;5,139.30797,202.24171;1730691842.077089;1730691842.0866914;0.009603261947631836#0.00641#PreStim#PreStim
0,268.2234,191.08792;1,203.89186,31.696947;2,89.882545,149.40077;3,264.42175,215.85129;4,134.49194,115.703545;5,139.5258,203.72252;1730691842.077089;1730691842.092913;0.01582479476928711#0.00622#PreStim#PreStim
0,268.2234,191.08792;1,203.89186,31.696947;2,89.882545,149.40077;3,264.42175,215.85129;4,134.49194,115.703545;5,139.5258,203.72252;1730691842.0871007;1730691842.0985115;0.011411428451538086#0.0056#PreStim#PreStim
0,268.32938,191.97629;1,203.84085,31.5392;2,88.794754,147.5448;3,263.50653,215.75494;4,134.1395,116.279274;5,137.13345,201.06027;1730691842.0971134;1730691842.104945;0.00783228874206543#0.00643#PreStim#PreStim
0,268.32938,191.97629;1,203.84085,31.5392;2,88.794754,147.5448;3,263.50653,215.75494;4,134.1395,116.279274;5,137.13345,201.06027;1730691842.0971134;1730691842.1107042;0.013591527938842773#0.00576#PreStim#PreStim
0,268.2733,191.87346;1,204.85553,29.865524;2,87.639046,147.02373;3,264.00272,215.9708;4,134.1161,116.722176;5,136.58783,201.32819;1730691842.1071084;1730691842.116689;0.009581565856933594#0.00598#PreStim#PreStim
0,268.2733,191.87346;1,204.85553,29.865524;2,87.639046,147.02373;3,264.00272,215.9708;4,134.1161,116.722176;5,136.58783,201.32819;1730691842.1071084;1730691842.1226819;0.015574455261230469#0.006#PreStim#PreStim
0,176.26567,123.1414;1,201.54276,31.914925;2,85.9127,142.86285;3,262.99258,213.61482;4,133.7996,114.18864;5,136.00919,201.68541;1730691842.117099;1730691842.128745;0.011646747589111328#0.00607#PreStim#PreStim
0,175.68037,123.49754;1,203.84358,29.494673;2,88.52399,148.07431;3,262.5763,213.53027;4,133.65952,116.25731;5,136.17453,202.57773;1730691842.1271245;1730691842.135177;0.00805354118347168#0.00643#PreStim#PreStim
0,175.68037,123.49754;1,203.84358,29.494673;2,88.52399,148.07431;3,262.5763,213.53027;4,133.65952,116.25731;5,136.17453,202.57773;1730691842.1271245;1730691842.1409733;0.013849496841430664#0.00579#PreStim#PreStim
0,176.14618,118.323845;1,204.0778,29.286158;2,88.77344,147.00128;3,262.87814,216.01274;4,133.47687,116.140656;5,136.68015,203.43489;1730691842.1371593;1730691842.146859;0.009700775146484375#0.00589#PreStim#PreStim
0,175.0932,123.68789;1,203.22194,31.452356;2,88.43528,146.66705;3,262.83914,216.58868;4,133.6666,116.24955;5,137.28778,205.57704;1730691842.1371593;1730691842.1531515;0.015993118286132812#0.00629#PreStim#PreStim
0,175.0932,123.68789;1,203.22194,31.452356;2,88.43528,146.66705;3,262.83914,216.58868;4,133.6666,116.24955;5,137.28778,205.57704;1730691842.1471362;1730691842.1594946;0.012359142303466797#0.00634#PreStim#PreStim
0,176.56499,123.953926;1,204.4049,28.653233;2,89.33606,147.09776;3,264.04144,212.76625;4,133.52101,116.54919;5,136.78615,204.0456;1730691842.15714;1730691842.1653013;0.008162260055541992#0.0058#PreStim#PreStim
0,176.56499,123.953926;1,204.4049,28.653233;2,89.33606,147.09776;3,264.04144,212.76625;4,133.52101,116.54919;5,136.78615,204.0456;1730691842.15714;1730691842.1720443;0.014905214309692383#0.00674#PreStim#PreStim
0,175.65833,118.71673;1,203.86499,28.714264;2,87.74227,148.4479;3,264.70923,212.29808;4,132.35378,117.239586;5,137.03323,204.33212;1730691842.167171;1730691842.177575;0.010405540466308594#0.00554#PreStim#PreStim
0,175.07765,123.78117;1,204.44997,28.979958;2,89.28452,150.02757;3,262.87988,217.30978;4,131.974,117.88888;5,135.12419,204.38684;1730691842.1771688;1730691842.1835577;0.006389617919921875#0.00598#PreStim#PreStim
0,175.07765,123.78117;1,204.44997,28.979958;2,89.28452,150.02757;3,262.87988,217.30978;4,131.974,117.88888;5,135.12419,204.38684;1730691842.1771688;1730691842.1893327;0.012164592742919922#0.00577#PreStim#PreStim
0,175.75679,125.72352;1,204.32304,28.267569;2,86.421074,149.65834;3,264.25052,213.05196;4,132.52377,117.12028;5,135.96178,204.4076;1730691842.18717;1730691842.195327;0.008158445358276367#0.006#PreStim#PreStim
0,175.75679,125.72352;1,204.32304,28.267569;2,86.421074,149.65834;3,264.25052,213.05196;4,132.52377,117.12028;5,135.96178,204.4076;1730691842.18717;1730691842.201912;0.014742851257324219#0.00658#PreStim#PreStim
0,176.67146,123.98357;1,204.71057,28.915749;2,86.84219,149.49803;3,264.7428,213.39859;4,132.87453,118.12337;5,135.52438,204.29153;1730691842.1971776;1730691842.207998;0.010821819305419922#0.00609#PreStim#PreStim
0,177.33507,124.65636;1,204.57661,28.79221;2,87.01622,147.94315;3,265.85416,212.42102;4,133.46799,117.555786;5,136.53679,203.42787;1730691842.2071877;1730691842.2138915;0.006705045700073242#0.00589#PreStim#PreStim
0,177.33507,124.65636;1,204.57661,28.79221;2,87.01622,147.94315;3,265.85416,212.42102;4,133.46799,117.555786;5,136.53679,203.42787;1730691842.2071877;1730691842.2199628;0.01277613639831543#0.00607#PreStim#PreStim
0,180.42485,129.63649;1,204.55823,29.504335;2,88.750694,149.5877;3,266.09634,212.771;4,133.51915,118.31095;5,136.67717,205.60432;1730691842.2171888;1730691842.226277;0.009089231491088867#0.00632#PreStim#PreStim
0,180.42485,129.63649;1,204.55823,29.504335;2,88.750694,149.5877;3,266.09634,212.771;4,133.51915,118.31095;5,136.67717,205.60432;1730691842.2171888;1730691842.2318778;0.014690160751342773#0.00559#PreStim#PreStim
0,180.04839,130.68765;1,204.21074,29.390867;2,88.3585,147.72963;3,264.79922,218.73308;4,133.44894,118.62611;5,137.09459,203.46771;1730691842.2272165;1730691842.2386153;0.01139974594116211#0.00674#PreStim#PreStim
0,177.24228,132.66241;1,203.7926,29.511736;2,88.65717,151.49716;3,265.79208,213.1579;4,133.14189,117.92061;5,136.50687,206.33237;1730691842.237224;1730691842.2441936;0.006970405578613281#0.00558#PreStim#PreStim
0,177.24228,132.66241;1,203.7926,29.511736;2,88.65717,151.49716;3,265.79208,213.1579;4,133.14189,117.92061;5,136.50687,206.33237;1730691842.237224;1730691842.2499058;0.012683391571044922#0.00571#PreStim#PreStim
0,181.61317,131.72781;1,202.5331,31.363403;2,89.27907,151.60951;3,264.95786,212.47618;4,133.4867,118.35457;5,137.06136,205.89452;1730691842.2472222;1730691842.2560349;0.008813619613647461#0.00613#PreStim#PreStim
0,181.61317,131.72781;1,202.5331,31.363403;2,89.27907,151.60951;3,264.95786,212.47618;4,133.4867,118.35457;5,137.06136,205.89452;1730691842.2472222;1730691842.2620978;0.014876842498779297#0.00607#PreStim#PreStim
0,180.7336,129.99832;1,202.23325,31.894367;2,90.17707,150.36385;3,260.169,218.89664;4,133.61089,119.24726;5,137.6603,203.3235;1730691842.2572176;1730691842.268312;0.011095285415649414#0.00621#PreStim#PreStim
0,180.1276,133.11024;1,201.8236,32.212772;2,89.24124,150.90004;3,79.20494,216.76846;4,132.38858,119.675934;5,137.16019,204.50334;1730691842.2672243;1730691842.2741878;0.006964445114135742#0.00588#PreStim#PreStim
