OOI ID,Name,Object Type,Speed,Initial Behaviour,EncounterBehaviour
0,Tethered Animal Avatar,StaticOOI,1,Patrol,None

X position, Y position, Z position, X rotation, Y rotation, Z rotation, X scale, Y scale, Z scale, TimeSinceLastUpdate
N:PreStim Started,,,,,,,,,20241104_141401.885799
0,0,0,0,0,0,1,1,1,0.01714717
0,0,0,0,0,0,1,1,1,0.01714717
0,0,0,0,0,0,1,1,1,0.02
0,0,0,0,0,0,1,1,1,0.006060949
0,0,0,0,0,0,1,1,1,0.006060429
0,0,0,0,0,0,1,1,1,0.006061581
0,0,0,0,0,0,1,1,1,0.006060089
0,0,0,0,0,0,1,1,1,0.006060725
0,0,0,0,0,0,1,1,1,0.006060993
0,0,0,0,0,0,1,1,1,0.006060287
0,0,0,0,0,0,1,1,1,0.006061045
0,0,0,0,0,0,1,1,1,0.006060629
0,0,0,0,0,0,1,1,1,0.00606059
0,0,0,0,0,0,1,1,1,0.006060712
0,0,0,0,0,0,1,1,1,0.006060598
0,0,0,0,0,0,1,1,1,0.00606054
0,0,0,0,0,0,1,1,1,0.006061234
0,0,0,0,0,0,1,1,1,0.006060344
0,0,0,0,0,0,1,1,1,0.006060981
0,0,0,0,0,0,1,1,1,0.006060605
0,0,0,0,0,0,1,1,1,0.006060683
0,0,0,0,0,0,1,1,1,0.006061333
0,0,0,0,0,0,1,1,1,0.006059862
0,0,0,0,0,0,1,1,1,0.00606088
0,0,0,0,0,0,1,1,1,0.006061146
0,0,0,0,0,0,1,1,1,0.006060378
0,0,0,0,0,0,1,1,1,0.006060434
0,0,0,0,0,0,1,1,1,0.006061109
0,0,0,0,0,0,1,1,1,0.006060628
0,0,0,0,0,0,1,1,1,0.006061326
0,0,0,0,0,0,1,1,1,0.006059857
0,0,0,0,0,0,1,1,1,0.00606084
0,0,0,0,0,0,1,1,1,0.006060957
0,0,0,0,0,0,1,1,1,0.00606046
0,0,0,0,0,0,1,1,1,0.006060819
0,0,0,0,0,0,1,1,1,0.006060468
0,0,0,0,0,0,1,1,1,0.006060731
0,0,0,0,0,0,1,1,1,0.006060988
0,0,0,0,0,0,1,1,1,0.00606066
0,0,0,0,0,0,1,1,1,0.006060547
0,0,0,0,0,0,1,1,1,0.00606078
0,0,0,0,0,0,1,1,1,0.006060763
0,0,0,0,0,0,1,1,1,0.006060617
0,0,0,0,0,0,1,1,1,0.006060861
0,0,0,0,0,0,1,1,1,0.006060484
0,0,0,0,0,0,1,1,1,0.006060807
0,0,0,0,0,0,1,1,1,0.006060979
0,0,0,0,0,0,1,1,1,0.006060238
0,0,0,0,0,0,1,1,1,0.006060698
0,0,0,0,0,0,1,1,1,0.006060979
0,0,0,0,0,0,1,1,1,0.006060555
0,0,0,0,0,0,1,1,1,0.006060618
0,0,0,0,0,0,1,1,1,0.006060927
0,0,0,0,0,0,1,1,1,0.006060775
0,0,0,0,0,0,1,1,1,0.006060893
0,0,0,0,0,0,1,1,1,0.00606025
0,0,0,0,0,0,1,1,1,0.006060887
0,0,0,0,0,0,1,1,1,0.006060855
0,0,0,0,0,0,1,1,1,0.006060967
0,0,0,0,0,0,1,1,1,0.006060184
0,0,0,0,0,0,1,1,1,0.006060655
0,0,0,0,0,0,1,1,1,0.006061515
0,0,0,0,0,0,1,1,1,0.006059961
0,0,0,0,0,0,1,1,1,0.006060824
0,0,0,0,0,0,1,1,1,0.006060615
0,0,0,0,0,0,1,1,1,0.006060969
0,0,0,0,0,0,1,1,1,0.006060478
0,0,0,0,0,0,1,1,1,0.006060883
0,0,0,0,0,0,1,1,1,0.006060855
0,0,0,0,0,0,1,1,1,0.006060466
0,0,0,0,0,0,1,1,1,0.00606071
0,0,0,0,0,0,1,1,1,0.006060765
0,0,0,0,0,0,1,1,1,0.006060876
0,0,0,0,0,0,1,1,1,0.006060328
0,0,0,0,0,0,1,1,1,0.006061567
0,0,0,0,0,0,1,1,1,0.006059848
0,0,0,0,0,0,1,1,1,0.006060819
0,0,0,0,0,0,1,1,1,0.006060942
0,0,0,0,0,0,1,1,1,0.006060511
0,0,0,0,0,0,1,1,1,0.006060812
0,0,0,0,0,0,1,1,1,0.006060647
0,0,0,0,0,0,1,1,1,0.006061076
0,0,0,0,0,0,1,1,1,0.006060828
0,0,0,0,0,0,1,1,1,0.006060251
0,0,0,0,0,0,1,1,1,0.006060649
N:Loop Closed,,,,,,,,,20241104_141402.391137
-0.0007691607,0,0.008092942,0,354.5709,0,1,1,1,0.006060919
-0.002300416,0,0.01607623,0,349.1421,0,1,1,1,0.006060477
-0.0034044,0,0.01918622,0,340.4561,0,1,1,1,0.006060652
-0.004538557,0,0.0213548,0,332.3906,0,1,1,1,0.006060787
-0.005965704,0,0.02334273,0,324.3253,0,1,1,1,0.006060594
-0.01118605,0,0.02935433,0,319.0296,0,1,1,1,0.006061391
-0.01693761,0,0.03485738,0,313.7351,0,1,1,1,0.006060084
-0.01979913,0,0.03689712,0,305.4818,0,1,1,1,0.006067351
-0.0229516,0,0.03851292,0,297.1375,0,1,1,1,0.006054256
-0.02630893,0,0.03965482,0,288.7843,0,1,1,1,0.006060684
-0.03435799,0,0.04155337,0,283.2719,0,1,1,1,0.006060606
-0.04255265,0,0.04266996,0,277.7592,0,1,1,1,0.006060933
-0.050513,0,0.04300707,0,272.4249,0,1,1,1,0.006060473
-0.05850295,0,0.04259723,0,267.0636,0,1,1,1,0.006060635
-0.06642002,0,0.04144253,0,261.702,0,1,1,1,0.006060925
-0.07423858,0,0.039551,0,256.3998,0,1,1,1,0.006060624
-0.08184922,0,0.03694492,0,251.0974,0,1,1,1,0.006060894
-0.08911411,0,0.03365599,0,245.643,0,1,1,1,0.006060551
-0.09601465,0,0.02970093,0,240.1807,0,1,1,1,0.006065207
-0.1025024,0,0.02511122,0,234.7229,0,1,1,1,0.006060241
-0.1085526,0,0.01990652,0,229.2961,0,1,1,1,0.006060679
-0.1140838,0,0.01415251,0,223.869,0,1,1,1,0.006061109
-0.1190348,0,0.007917328,0,218.4511,0,1,1,1,0.006060128
-0.12344,0,0.001140838,0,213.0268,0,1,1,1,0.006060874
-0.1271848,0,-0.006021371,0,207.6028,0,1,1,1,0.006060584
-0.1302432,0,-0.0135156,0,202.2006,0,1,1,1,0.006060877
-0.1325824,0,-0.02126398,0,196.7988,0,1,1,1,0.006060493
-0.1341901,0,-0.0292229,0,191.4197,0,1,1,1,0.006060829
-0.135049,0,-0.03736445,0,186.0223,0,1,1,1,0.006060453
-0.1351382,0,-0.0455517,0,180.6242,0,1,1,1,0.006061201
-0.1344585,0,-0.05376206,0,175.2676,0,1,1,1,0.00606055
-0.1332531,0,-0.06088607,0,170.396,0,1,1,1,0.00606057
-0.1314468,0,-0.06788237,0,165.5242,0,1,1,1,0.006060918
-0.1290465,0,-0.07474786,0,160.7294,0,1,1,1,0.006060458
-0.1260802,0,-0.08138971,0,155.9339,0,1,1,1,0.006061426
-0.1220752,0,-0.08849247,0,150.5826,0,1,1,1,0.006060148
-0.1179547,0,-0.09454913,0,145.7717,0,1,1,1,0.006060586
-0.1133403,0,-0.1002394,0,140.9603,0,1,1,1,0.006061146
