ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,186.65851,156.00768;1,263.243,172.51326;2,99.76249,150.28075;3,100.28456,66.30715;4,146.61053,105.341644;5,146.76071,201.41696;1730691851.5250432;1730691851.5392628;0.014220952987670898#0.02208#PreStim#PreStim
0,186.58487,155.62306;1,263.63345,172.2679;2,99.85416,150.03369;3,97.34089,69.36518;4,146.17696,106.37356;5,146.95486,201.14032;1730691851.5350568;1730691851.5444782;0.009422063827514648#0.0052#PreStim#PreStim
0,186.58487,155.62306;1,263.63345,172.2679;2,99.85416,150.03369;3,97.34089,69.36518;4,146.17696,106.37356;5,146.95486,201.14032;1730691851.5350568;1730691851.5506887;0.01563286781311035#0.00622#PreStim#PreStim
0,186.66306,156.05484;1,262.68726,173.22534;2,100.10602,149.71266;3,97.18484,68.02822;4,147.01096,105.43349;5,147.05594,201.72676;1730691851.5450733;1730691851.5562894;0.011217355728149414#0.0056#PreStim#PreStim
0,186.69632,155.68987;1,107.21111,61.290215;2,100.15239,150.36714;3,98.785835,67.43896;4,146.52922,105.86121;5,147.16475,201.567;1730691851.5550656;1730691851.5619843;0.006919384002685547#0.00569#PreStim#PreStim
0,186.69632,155.68987;1,107.21111,61.290215;2,100.15239,150.36714;3,98.785835,67.43896;4,146.52922,105.86121;5,147.16475,201.567;1730691851.5550656;1730691851.568112;0.013047218322753906#0.00613#PreStim#PreStim
0,186.4079,156.21222;1,107.66108,61.30929;2,100.629944,149.81094;3,98.30186,68.29295;4,146.81493,106.20329;5,147.1282,201.55304;1730691851.565072;1730691851.574491;0.009419918060302734#0.00638#PreStim#PreStim
0,186.4079,156.21222;1,107.66108,61.30929;2,100.629944,149.81094;3,98.30186,68.29295;4,146.81493,106.20329;5,147.1282,201.55304;1730691851.565072;1730691851.580199;0.01512765884399414#0.00571#PreStim#PreStim
0,186.91713,156.39516;1,185.93044,5.2932596;2,99.92166,149.65866;3,98.25736,68.12926;4,146.8114,106.46221;5,146.89171,201.52632;1730691851.5750754;1730691851.5860775;0.01100301742553711#0.00588#PreStim#PreStim
0,186.75505,156.72693;1,93.47897,76.76114;2,99.78503,150.36336;3,98.243935,69.984665;4,145.69078,106.55575;5,146.74979,201.48625;1730691851.5850885;1730691851.5923955;0.007308006286621094#0.00631#PreStim#PreStim
0,186.75505,156.72693;1,93.47897,76.76114;2,99.78503,150.36336;3,98.243935,69.984665;4,145.69078,106.55575;5,146.74979,201.48625;1730691851.5850885;1730691851.5982034;0.013115882873535156#0.00581#PreStim#PreStim
0,186.54654,156.61551;1,254.12936,163.51833;2,99.632996,150.32498;3,98.23647,68.300705;4,145.70755,106.37299;5,146.65486,201.49033;1730691851.59509;1730691851.6045327;0.00944375991821289#0.00633#PreStim#PreStim
0,186.54654,156.61551;1,254.12936,163.51833;2,99.632996,150.32498;3,98.23647,68.300705;4,145.70755,106.37299;5,146.65486,201.49033;1730691851.59509;1730691851.6103787;0.015289783477783203#0.00585#PreStim#PreStim
0,186.76161,157.2964;1,108.10709,61.06888;2,99.658806,151.07968;3,99.291,69.17446;4,144.28674,106.36424;5,146.59497,201.64198;1730691851.6051233;1730691851.6166413;0.01151895523071289#0.00626#PreStim#PreStim
0,186.78365,156.97891;1,174.3585,63.46956;2,99.47069,150.40782;3,99.42262,68.84208;4,144.15572,105.66819;5,146.57085,201.15572;1730691851.615107;1730691851.622754;0.00764775276184082#0.00611#PreStim#PreStim
0,186.78365,156.97891;1,174.3585,63.46956;2,99.47069,150.40782;3,99.42262,68.84208;4,144.15572,105.66819;5,146.57085,201.15572;1730691851.615107;1730691851.6286879;0.01358175277709961#0.00594#PreStim#PreStim
0,187.54768,156.62114;1,25.850437,171.83215;2,99.42015,147.53119;3,90.69031,72.626816;4,146.13084,104.922646;5,146.57513,200.75146;1730691851.6251214;1730691851.6347973;0.009676933288574219#0.00611#PreStim#PreStim
0,187.23999,156.48453;1,89.94982,61.167236;2,100.62969,145.03726;3,83.85333,71.54277;4,146.34181,105.03903;5,146.55557,200.72462;1730691851.6251214;1730691851.641251;0.016130685806274414#0.00646#PreStim#PreStim
0,187.23999,156.48453;1,89.94982,61.167236;2,100.62969,145.03726;3,83.85333,71.54277;4,146.34181,105.03903;5,146.55557,200.72462;1730691851.6351328;1730691851.646553;0.01142120361328125#0.0053#PreStim#PreStim
0,187.8133,155.52985;1,60.418266,76.179146;2,102.01393,137.8309;3,66.95069,78.15378;4,147.21326,105.02483;5,146.4888,200.7678;1730691851.6451306;1730691851.6524992;0.007369518280029297#0.00595#PreStim#PreStim
0,187.8133,155.52985;1,60.418266,76.179146;2,102.01393,137.8309;3,66.95069,78.15378;4,147.21326,105.02483;5,146.4888,200.7678;1730691851.6451306;1730691851.6591053;0.01397562026977539#0.0066#PreStim#PreStim
0,187.92026,154.68959;1,108.11356,42.338844;2,101.51895,142.03535;3,108.66905,47.086628;4,147.1944,105.32305;5,146.70184,201.16466;1730691851.6554313;1730691851.665034;0.009603738784790039#0.00593#PreStim#PreStim
0,187.58632,154.89336;1,224.8847,69.082184;2,101.30169,142.1427;3,172.90028,4.0892305;4,147.71306,105.03966;5,146.7487,201.0012;1730691851.6554313;1730691851.6712704;0.01584005355834961#0.00624#PreStim#PreStim
0,187.58632,154.89336;1,224.8847,69.082184;2,101.30169,142.1427;3,172.90028,4.0892305;4,147.71306,105.03966;5,146.7487,201.0012;1730691851.6651604;1730691851.6769798;0.011820077896118164#0.00571#PreStim#PreStim
0,187.99036,154.01047;1,225.34425,70.22051;2,100.91297,143.25626;3,59.139915,78.53087;4,147.86082,105.42592;5,146.71632,200.96266;1730691851.6751707;1730691851.6834729;0.008302927017211914#0.0065#PreStim#PreStim
0,187.99036,154.01047;1,225.34425,70.22051;2,100.91297,143.25626;3,59.139915,78.53087;4,147.86082,105.42592;5,146.71632,200.96266;1730691851.6751707;1730691851.6894994;0.01432943344116211#0.00602#PreStim#PreStim
0,187.73596,153.87596;1,227.97223,72.62908;2,100.97325,143.53389;3,60.745243,84.2834;4,148.02348,105.35182;5,146.75731,200.92873;1730691851.6855621;1730691851.6951337;0.009572744369506836#0.00565#PreStim#PreStim
0,188.25903,152.94606;1,229.33026,73.087494;2,101.131004,143.3042;3,59.124237,79.208824;4,147.98743,104.93099;5,146.71347,200.73328;1730691851.6855621;1730691851.7015808;0.016019582748413086#0.00644#PreStim#PreStim
0,188.25903,152.94606;1,229.33026,73.087494;2,101.131004,143.3042;3,59.124237,79.208824;4,147.98743,104.93099;5,146.71347,200.73328;1730691851.6951814;1730691851.7076242;0.012443780899047852#0.00604#PreStim#PreStim
0,188.41048,153.01088;1,229.05301,76.90367;2,101.09085,143.02428;3,59.72233,79.217354;4,148.08157,104.96728;5,146.89212,200.87427;1730691851.7051907;1730691851.713121;0.00793147087097168#0.0055#PreStim#PreStim
0,188.41048,153.01088;1,229.05301,76.90367;2,101.09085,143.02428;3,59.72233,79.217354;4,148.08157,104.96728;5,146.89212,200.87427;1730691851.7051907;1730691851.720247;0.01505732536315918#0.00713#PreStim#PreStim
0,188.39561,151.61813;1,227.11925,78.69047;2,101.09946,142.50185;3,60.991306,89.156334;4,147.6255,104.55039;5,146.86855,200.97148;1730691851.7152138;1730691851.7263584;0.011145830154418945#0.00611#PreStim#PreStim
0,188.00342,151.72705;1,232.74437,78.37791;2,100.79575,143.14789;3,60.846928,84.92661;4,147.03189,104.8238;5,146.78223,200.91965;1730691851.7251987;1730691851.7319856;0.006788015365600586#0.00563#PreStim#PreStim
0,188.00342,151.72705;1,232.74437,78.37791;2,100.79575,143.14789;3,60.846928,84.92661;4,147.03189,104.8238;5,146.78223,200.91965;1730691851.7251987;1730691851.7376847;0.012486696243286133#0.0057#PreStim#PreStim
0,187.73045,152.30397;1,231.63449,80.57232;2,100.74439,143.30325;3,118.54566,60.1351;4,147.25604,104.69465;5,146.46097,200.73892;1730691851.7352133;1730691851.74383;0.008617401123046875#0.00614#PreStim#PreStim
0,187.73045,152.30397;1,231.63449,80.57232;2,100.74439,143.30325;3,118.54566,60.1351;4,147.25604,104.69465;5,146.46097,200.73892;1730691851.7352133;1730691851.7503617;0.015149116516113281#0.00654#PreStim#PreStim
0,188.0202,151.72809;1,230.86069,79.43756;2,100.21278,143.50905;3,60.936222,89.94566;4,147.036,105.08053;5,146.42305,200.97505;1730691851.7452247;1730691851.7559934;0.01076960563659668#0.00563#PreStim#PreStim
0,188.31248,152.12372;1,230.15889,76.93736;2,100.79789,142.90025;3,57.73852,105.94991;4,147.60667,104.68045;5,146.89424,200.93163;1730691851.7552345;1730691851.7623255;0.0070917606353759766#0.00633#PreStim#PreStim
0,188.31248,152.12372;1,230.15889,76.93736;2,100.79789,142.90025;3,57.73852,105.94991;4,147.60667,104.68045;5,146.89424,200.93163;1730691851.7552345;1730691851.7683876;0.013154029846191406#0.00606#PreStim#PreStim
0,188.5215,152.02916;1,229.57385,76.91052;2,101.074005,143.14262;3,61.565716,89.64064;4,148.04472,104.95418;5,147.1759,201.16049;1730691851.765234;1730691851.774163;0.008929967880249023#0.00577#PreStim#PreStim
0,188.5215,152.02916;1,229.57385,76.91052;2,101.074005,143.14262;3,61.565716,89.64064;4,148.04472,104.95418;5,147.1759,201.16049;1730691851.765234;1730691851.7801406;0.014907598495483398#0.00598#PreStim#PreStim
0,188.32932,152.59824;1,227.77582,76.05729;2,101.06642,144.1804;3,110.48152,47.05113;4,148.13562,104.84136;5,147.05368,200.89717;1730691851.7752326;1730691851.7860322;0.010800838470458984#0.0059#PreStim#PreStim
