ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,188.72794,151.72705;1,225.90866,69.72461;2,103.50051,137.6509;3,55.16141,143.49446;4,147.93208,104.706825;5,146.50772,200.37494;1730691852.8461506;1730691852.859728;0.013579130172729492#0.01287#PreStim#PreStim
0,188.2078,151.6773;1,226.2198,68.78647;2,102.36594,140.40921;3,53.072926,143.8727;4,147.60718,105.03595;5,146.51256,200.05397;1730691852.8561726;1730691852.8678863;0.011714696884155273#0.00816#PreStim#PreStim
0,188.15451,152.34987;1,225.66267,65.24624;2,103.32645,137.8345;3,52.934933,146.36732;4,147.54393,105.15457;5,146.03386,200.2433;1730691852.8661778;1730691852.8725443;0.006367206573486328#0.00465#PreStim#PreStim
0,188.15451,152.34987;1,225.66267,65.24624;2,103.32645,137.8345;3,52.934933,146.36732;4,147.54393,105.15457;5,146.03386,200.2433;1730691852.8661778;1730691852.8781984;0.012021303176879883#0.00566#PreStim#PreStim
0,187.96675,152.44002;1,223.215,64.47631;2,102.77322,137.92902;3,55.097668,142.88766;4,147.28944,105.310814;5,146.25095,200.24435;1730691852.8761714;1730691852.8840253;0.007854938507080078#0.00582#PreStim#PreStim
0,187.96675,152.44002;1,223.215,64.47631;2,102.77322,137.92902;3,55.097668,142.88766;4,147.28944,105.310814;5,146.25095,200.24435;1730691852.8761714;1730691852.889742;0.013571500778198242#0.00572#PreStim#PreStim
0,188.39265,151.76729;1,224.01279,65.45691;2,102.97667,137.55516;3,52.136616,144.92575;4,147.37297,104.87345;5,146.20145,200.39868;1730691852.886202;1730691852.8958178;0.009616613388061523#0.00607#PreStim#PreStim
0,188.38504,152.19861;1,225.09859,64.83295;2,103.023964,138.1149;3,52.77198,145.28325;4,147.91399,104.8345;5,146.21864,200.81584;1730691852.886202;1730691852.9022048;0.01600360870361328#0.00639#PreStim#PreStim
0,188.38504,152.19861;1,225.09859,64.83295;2,103.023964,138.1149;3,52.77198,145.28325;4,147.91399,104.8345;5,146.21864,200.81584;1730691852.8961885;1730691852.9078984;0.011710643768310547#0.00569#PreStim#PreStim
0,188.53917,151.93367;1,226.64828,65.15817;2,103.16364,137.77422;3,52.781605,144.8981;4,147.90213,105.08802;5,146.42229,200.20377;1730691852.906195;1730691852.9141128;0.0079193115234375#0.00622#PreStim#PreStim
0,188.53917,151.93367;1,226.64828,65.15817;2,103.16364,137.77422;3,52.781605,144.8981;4,147.90213,105.08802;5,146.42229,200.20377;1730691852.906195;1730691852.9198067;0.013612508773803711#0.00569#PreStim#PreStim
0,188.32365,152.38042;1,225.97528,69.564835;2,102.353935,141.07372;3,52.638794,145.35376;4,147.56181,104.9954;5,146.34863,200.36996;1730691852.9181674;1730691852.9263299;0.008163690567016602#0.00652#PreStim#PreStim
0,188.0252,152.74748;1,225.88803,68.34275;2,103.328804,137.4276;3,52.828114,144.6221;4,147.73604,105.01758;5,146.3932,200.44806;1730691852.926209;1730691852.9322975;0.006089687347412109#0.00597#PreStim#PreStim
0,188.0252,152.74748;1,225.88803,68.34275;2,103.328804,137.4276;3,52.828114,144.6221;4,147.73604,105.01758;5,146.3932,200.44806;1730691852.926209;1730691852.9380116;0.011803627014160156#0.00571#PreStim#PreStim
0,188.39618,151.59416;1,225.43243,68.23954;2,102.17835,140.59212;3,56.1127,150.15497;4,147.59308,104.86011;5,146.21262,200.16833;1730691852.9362292;1730691852.944436;0.00820779800415039#0.00643#PreStim#PreStim
0,188.39618,151.59416;1,225.43243,68.23954;2,102.17835,140.59212;3,56.1127,150.15497;4,147.59308,104.86011;5,146.21262,200.16833;1730691852.9362292;1730691852.950848;0.014619588851928711#0.00641#PreStim#PreStim
0,188.08209,151.2784;1,230.21642,69.4154;2,103.195175,137.61601;3,52.902927,144.47104;4,147.64859,104.83701;5,146.4097,200.26831;1730691852.9462318;1730691852.9564347;0.010204076766967773#0.00559#PreStim#PreStim
0,188.67606,151.3679;1,228.06807,66.607574;2,103.22878,138.01895;3,51.809456,144.7792;4,147.59749,104.64852;5,146.5194,200.439;1730691852.9562542;1730691852.9624994;0.006246089935302734#0.00606#PreStim#PreStim
0,188.67606,151.3679;1,228.06807,66.607574;2,103.22878,138.01895;3,51.809456,144.7792;4,147.59749,104.64852;5,146.5194,200.439;1730691852.9562542;1730691852.9689605;0.012707233428955078#0.00646#PreStim#PreStim
0,188.63452,151.57854;1,228.00291,70.926315;2,103.53989,137.16696;3,55.56123,144.19588;4,147.9541,104.81962;5,146.60313,200.42534;1730691852.9662516;1730691852.9745998;0.008349418640136719#0.00564#PreStim#PreStim
0,188.63452,151.57854;1,228.00291,70.926315;2,103.53989,137.16696;3,55.56123,144.19588;4,147.9541,104.81962;5,146.60313,200.42534;1730691852.9662516;1730691852.9807382;0.014487743377685547#0.00614#PreStim#PreStim
0,188.60333,151.5595;1,229.55357,69.18762;2,103.24682,138.56021;3,53.081573,145.03418;4,147.99641,105.05071;5,146.49551,200.47487;1730691852.9762475;1730691852.9867744;0.010528326034545898#0.00604#PreStim#PreStim
0,188.47382,151.31598;1,229.61417,68.39273;2,103.65771,137.56721;3,52.52681,144.94951;4,148.02304,105.06214;5,146.46371,200.70177;1730691852.9862697;1730691852.9929516;0.006683349609375#0.00617#PreStim#PreStim
0,188.47382,151.31598;1,229.61417,68.39273;2,103.65771,137.56721;3,52.52681,144.94951;4,148.02304,105.06214;5,146.46371,200.70177;1730691852.9862697;1730691852.9991174;0.012848615646362305#0.00617#PreStim#PreStim
0,188.10104,151.18999;1,230.06721,70.64032;2,103.085686,137.44937;3,52.42887,143.68356;4,148.04083,105.08715;5,146.3027,200.84683;1730691852.9962714;1730691853.0048041;0.008533716201782227#0.00569#PreStim#PreStim
0,188.10104,151.18999;1,230.06721,70.64032;2,103.085686,137.44937;3,52.42887,143.68356;4,148.04083,105.08715;5,146.3027,200.84683;1730691852.9962714;1730691853.0112486;0.014978408813476562#0.00644#PreStim#PreStim
0,188.15535,151.2831;1,226.4491,70.15156;2,103.19636,138.36377;3,52.744953,146.1383;4,147.84677,104.71561;5,146.3208,201.00137;1730691853.006273;1730691853.0172307;0.01095890998840332#0.00598#PreStim#PreStim
0,188.35187,151.75793;1,226.72136,68.719025;2,103.15331,138.34665;3,52.46724,145.08421;4,147.75883,104.82618;5,146.39633,200.86818;1730691853.0163;1730691853.022882;0.006583452224731445#0.00566#PreStim#PreStim
0,188.35187,151.75793;1,226.72136,68.719025;2,103.15331,138.34665;3,52.46724,145.08421;4,147.75883,104.82618;5,146.39633,200.86818;1730691853.0163;1730691853.0290928;0.012794256210327148#0.0062#PreStim#PreStim
0,188.24156,151.3716;1,228.84567,67.39211;2,103.45846,137.99739;3,52.771786,145.51471;4,147.69565,105.02584;5,146.31001,201.06966;1730691853.0263085;1730691853.0353863;0.009078741073608398#0.0063#PreStim#PreStim
0,188.24156,151.3716;1,228.84567,67.39211;2,103.45846,137.99739;3,52.771786,145.51471;4,147.69565,105.02584;5,146.31001,201.06966;1730691853.0263085;1730691853.04169;0.01538228988647461#0.0063#PreStim#PreStim
0,188.43788,151.23486;1,229.6468,69.29707;2,103.44477,137.47002;3,53.225998,144.13783;4,147.68863,105.22805;5,146.34605,201.23418;1730691853.036324;1730691853.047314;0.010990619659423828#0.00562#PreStim#PreStim
0,188.58167,151.6801;1,227.49966,68.86563;2,103.64903,136.43932;3,55.428493,143.07559;4,148.0975,104.949524;5,146.4487,201.06491;1730691853.046321;1730691853.0532467;0.006926774978637695#0.00594#PreStim#PreStim
0,188.58167,151.6801;1,227.49966,68.86563;2,103.64903,136.43932;3,55.428493,143.07559;4,148.0975,104.949524;5,146.4487,201.06491;1730691853.046321;1730691853.0594914;0.013171672821044922#0.00625#PreStim#PreStim
0,188.7031,151.2831;1,226.50058,69.369896;2,103.46834,137.86249;3,53.889183,143.84264;4,147.85988,104.78937;5,146.85579,200.90265;1730691853.0563385;1730691853.06524;0.00890207290649414#0.00575#PreStim#PreStim
0,188.7031,151.2831;1,226.50058,69.369896;2,103.46834,137.86249;3,53.889183,143.84264;4,147.85988,104.78937;5,146.85579,200.90265;1730691853.0563385;1730691853.0716853;0.015347957611083984#0.00645#PreStim#PreStim
0,188.50702,152.05385;1,226.43779,71.11658;2,102.61591,140.17938;3,54.835945,146.13249;4,148.241,104.60922;5,146.60962,200.9123;1730691853.0663385;1730691853.0777278;0.011390209197998047#0.00604#PreStim#PreStim
0,188.355,151.45724;1,229.898,70.296974;2,103.512115,137.50555;3,54.746025,147.82953;4,147.65652,104.493225;5,146.31288,200.61346;1730691853.0763419;1730691853.084072;0.007731437683105469#0.00635#PreStim#PreStim
0,188.355,151.45724;1,229.898,70.296974;2,103.512115,137.50555;3,54.746025,147.82953;4,147.65652,104.493225;5,146.31288,200.61346;1730691853.0763419;1730691853.0896373;0.01329660415649414#0.00556#PreStim#PreStim
0,188.02995,153.3764;1,226.15645,70.61957;2,103.51542,136.87146;3,56.083298,143.22932;4,147.62595,104.69707;5,146.19946,200.90916;1730691853.0863583;1730691853.095792;0.009434938430786133#0.00616#PreStim#PreStim
0,188.02995,153.3764;1,226.15645,70.61957;2,103.51542,136.87146;3,56.083298,143.22932;4,147.62595,104.69707;5,146.19946,200.90916;1730691853.0863583;1730691853.1022537;0.01589679718017578#0.00647#PreStim#PreStim
0,188.2232,153.07338;1,226.3827,70.57739;2,103.585625,137.4302;3,53.255753,146.15553;4,147.85751,104.70057;5,146.46335,201.06061;1730691853.096361;1730691853.1078823;0.011522293090820312#0.00562#PreStim#PreStim
0,187.81973,153.08629;1,230.40279,70.42142;2,103.31419,137.17383;3,53.01186,142.23749;4,148.03308,104.585;5,146.39418,201.43213;1730691853.1063874;1730691853.1139135;0.007527351379394531#0.00603#PreStim#PreStim
0,187.81973,153.08629;1,230.40279,70.42142;2,103.31419,137.17383;3,53.01186,142.23749;4,148.03308,104.585;5,146.39418,201.43213;1730691853.1063874;1730691853.11985;0.013463258743286133#0.00594#PreStim#PreStim
0,188.24861,153.33813;1,228.6671,69.76559;2,103.60625,137.59323;3,54.259983,149.5706;4,148.20874,104.71653;5,146.82405,201.05826;1730691853.1163824;1730691853.126284;0.009902477264404297#0.00643#PreStim#PreStim
0,187.9741,153.91843;1,227.90555,71.11412;2,103.470085,137.4776;3,56.1399,143.17421;4,148.29942,104.9939;5,146.7187,201.37851;1730691853.1163824;1730691853.1324728;0.016091346740722656#0.00619#PreStim#PreStim
0,187.9741,153.91843;1,227.90555,71.11412;2,103.470085,137.4776;3,56.1399,143.17421;4,148.29942,104.9939;5,146.7187,201.37851;1730691853.1263742;1730691853.1384454;0.012071847915649414#0.00597#PreStim#PreStim
0,188.1572,153.87949;1,224.16666,70.82596;2,103.447235,136.80069;3,53.278816,147.10628;4,148.00897,104.7352;5,146.73903,200.98572;1730691853.1363962;1730691853.1444404;0.008045196533203125#0.00599#PreStim#PreStim
0,188.1572,153.87949;1,224.16666,70.82596;2,103.447235,136.80069;3,53.278816,147.10628;4,148.00897,104.7352;5,146.73903,200.98572;1730691853.1363962;1730691853.1509254;0.014530181884765625#0.00649#PreStim#PreStim
0,187.65067,153.90016;1,225.06621,71.112045;2,103.02173,137.79953;3,55.44359,143.22476;4,147.92307,105.06473;5,146.56897,201.23976;1730691853.1464186;1730691853.156346;0.009928464889526367#0.00542#PreStim#PreStim
0,187.81294,153.85152;1,225.30661,69.79552;2,103.270706,137.60703;3,56.12801,143.01828;4,148.04926,105.032295;5,146.72931,201.13437;1730691853.1464186;1730691853.1625965;0.01617884635925293#0.00625#PreStim#PreStim
0,187.81294,153.85152;1,225.30661,69.79552;2,103.270706,137.60703;3,56.12801,143.01828;4,148.04926,105.032295;5,146.72931,201.13437;1730691853.1564338;1730691853.169016;0.012583017349243164#0.00642#PreStim#PreStim
0,187.97464,153.85872;1,225.46709,70.7666;2,103.40261,137.35883;3,55.519608,144.17322;4,148.07486,104.68999;5,146.90044,201.1323;1730691853.166431;1730691853.1744556;0.008025646209716797#0.00544#PreStim#PreStim
0,187.97464,153.85872;1,225.46709,70.7666;2,103.40261,137.35883;3,55.519608,144.17322;4,148.07486,104.68999;5,146.90044,201.1323;1730691853.166431;1730691853.1809506;0.014520406723022461#0.0065#PreStim#PreStim
0,188.10902,153.48169;1,229.14722,70.43221;2,102.89359,138.56436;3,52.90213,145.07716;4,148.21463,104.76647;5,146.87769,200.93015;1730691853.1764312;1730691853.1867802;0.01034998893737793#0.00583#PreStim#PreStim
0,188.18456,153.82689;1,224.6965,72.00869;2,102.40456,140.66936;3,56.26923,145.88727;4,148.24516,105.17857;5,147.03682,201.11876;1730691853.186448;1730691853.1928113;0.006363868713378906#0.00603#PreStim#PreStim
0,188.18456,153.82689;1,224.6965,72.00869;2,102.40456,140.66936;3,56.26923,145.88727;4,148.24516,105.17857;5,147.03682,201.11876;1730691853.186448;1730691853.1986713;0.012224197387695312#0.00586#PreStim#PreStim
0,188.40277,154.05244;1,228.94582,71.705894;2,102.65549,140.12033;3,56.61809,145.60683;4,148.39139,105.03402;5,147.03645,201.52826;1730691853.19644;1730691853.2047355;0.008296489715576172#0.00607#PreStim#PreStim
0,188.40277,154.05244;1,228.94582,71.705894;2,102.65549,140.12033;3,56.61809,145.60683;4,148.39139,105.03402;5,147.03645,201.52826;1730691853.19644;1730691853.2112353;0.014796018600463867#0.00649#PreStim#PreStim
0,188.06406,154.4236;1,229.6989,70.77995;2,103.35972,137.21394;3,56.726635,145.10207;4,148.69472,104.94986;5,146.71912,201.19391;1730691853.2064495;1730691853.2187302;0.012281656265258789#0.0075#PreStim#PreStim
0,188.20465,154.39285;1,223.45584,71.79498;2,102.94209,137.62386;3,52.491585,145.39792;4,148.39027,105.00638;5,146.80453,201.34845;1730691853.2164557;1730691853.2235863;0.0071315765380859375#0.00485#PreStim#PreStim
0,188.20465,154.39285;1,223.45584,71.79498;2,102.94209,137.62386;3,52.491585,145.39792;4,148.39027,105.00638;5,146.80453,201.34845;1730691853.2164557;1730691853.2297251;0.013270139694213867#0.00614#PreStim#PreStim
0,188.18553,153.8891;1,228.25716,70.77266;2,102.77151,138.1078;3,56.39274,143.01062;4,148.22694,104.82723;5,146.88397,200.76523;1730691853.2264693;1730691853.235422;0.008954524993896484#0.0057#PreStim#PreStim
0,188.18553,153.8891;1,228.25716,70.77266;2,102.77151,138.1078;3,56.39274,143.01062;4,148.22694,104.82723;5,146.88397,200.76523;1730691853.2264693;1730691853.2413082;0.014839887619018555#0.00588#PreStim#PreStim
