ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,175.79543,62.035545;1,245.57658,70.13098;2,90.439316,125.49566;3,73.98342,122.044235;4,125.71942,83.195885;5,143.29974,163.32527;0.0;1730691046.0818968;1730691046.0818992#0#1730691046.08702#Values Overwritten
0,175.79543,62.035545;1,245.57658,70.13098;2,90.439316,125.49566;3,73.98342,122.044235;4,125.71942,83.195885;5,143.29974,163.32527;1730691046.0767965;1730691046.088502;0.011707067489624023#0.00541#1730691046.08869#1730691046.08869
0,175.73375,112.699;1,244.77643,68.803474;2,90.68913,124.76321;3,73.647064,85.2399;4,129.31705,85.189026;5,144.3413,168.05354;1730691046.086787;1730691046.0940888;0.007302761077880859#0.00545#1730691046.09416#1730691046.09472
0,175.73375,112.699;1,244.77643,68.803474;2,90.68913,124.76321;3,73.647064,85.2399;4,129.31705,85.189026;5,144.3413,168.05354;1730691046.086787;1730691046.0989435;0.012157201766967773#0.00484#1730691046.09898#1730691046.10284
0,173.58475,108.00436;1,252.76132,70.05146;2,90.59606,124.89481;3,73.23207,105.3641;4,126.351814,77.24728;5,143.09753,165.5058;1730691046.0967827;1730691046.1072474;0.010465860366821289#0.00832#1730691046.10731#1730691046.10884
0,189.55966,65.977165;1,262.04968,73.00929;2,91.01263,116.53464;3,75.18825,106.53484;4,128.37495,71.78202;5,145.41402,164.3288;1730691046.1068122;1730691046.1130826;0.0062713623046875#0.00583#1730691046.11314#1730691046.11488
0,189.55966,65.977165;1,262.04968,73.00929;2,91.01263,116.53464;3,75.18825,106.53484;4,128.37495,71.78202;5,145.41402,164.3288;1730691046.1068122;1730691046.119206;0.01239466667175293#0.00613#1730691046.11927#1730691046.12096
0,177.81369,62.77786;1,252.54741,68.84161;2,88.84433,116.585236;3,71.941,105.30431;4,127.94735,75.54521;5,144.87363,155.89978;1730691046.1168067;1730691046.1250417;0.008235692977905273#0.00583#1730691046.1251#1730691046.12708
0,177.81369,62.77786;1,252.54741,68.84161;2,88.84433,116.585236;3,71.941,105.30431;4,127.94735,75.54521;5,144.87363,155.89978;1730691046.1168067;1730691046.1316042;0.014799118041992188#0.00656#1730691046.13166#1730691046.13307
0,175.15517,60.362396;1,242.37407,67.83893;2,89.45035,110.25961;3,107.43849,222.0276;4,127.40524,67.56937;5,144.04745,153.76915;1730691046.1268034;1730691046.13761;0.010807275772094727#0.006#1730691046.13766#1730691046.13914
