ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,174.44081,106.59419;1,239.04103,76.2297;2,86.67691,105.728;3,42.38399,84.13078;4,129.42828,78.13465;5,135.78908,168.06412;1730691064.3521297;1730691064.3648643;0.012735366821289062#0.03087#PreStim#PreStim
0,174.14314,103.20419;1,247.6689,80.419815;2,86.78231,104.95654;3,39.915943,84.002625;4,128.70227,76.12667;5,135.3768,166.59663;1730691064.3621418;1730691064.3701053;0.007964611053466797#0.00523#PreStim#PreStim
0,174.14314,103.20419;1,247.6689,80.419815;2,86.78231,104.95654;3,39.915943,84.002625;4,128.70227,76.12667;5,135.3768,166.59663;1730691064.3621418;1730691064.3764403;0.014300346374511719#0.00635#PreStim#PreStim
0,174.03732,104.698265;1,242.16637,74.85226;2,86.50199,105.50377;3,44.198143,73.992485;4,129.26091,78.538826;5,135.333,167.3395;1730691064.3721452;1730691064.3815148;0.009370565414428711#0.00506#PreStim#PreStim
0,174.03732,104.698265;1,242.16637,74.85226;2,86.50199,105.50377;3,44.198143,73.992485;4,129.26091,78.538826;5,135.333,167.3395;1730691064.3721452;1730691064.3874497;0.015305519104003906#0.00593#PreStim#PreStim
0,174.41658,103.98661;1,241.16386,73.862114;2,87.12164,105.44466;3,38.185127,86.01747;4,128.4764,76.10307;5,135.59283,166.94551;1730691064.3821378;1730691064.3940165;0.011879920959472656#0.00657#PreStim#PreStim
0,173.88252,105.14535;1,246.06854,82.62251;2,86.54026,106.01607;3,41.600857,82.77159;4,129.00867,78.54979;5,135.02817,167.5115;1730691064.3921695;1730691064.3998377;0.007669210433959961#0.00581#PreStim#PreStim
0,173.88252,105.14535;1,246.06854,82.62251;2,86.54026,106.01607;3,41.600857,82.77159;4,129.00867,78.54979;5,135.02817,167.5115;1730691064.3921695;1730691064.4060802;0.013911962509155273#0.00625#PreStim#PreStim
0,174.26123,106.06206;1,245.30338,81.06319;2,86.64109,105.354774;3,45.840767,75.020355;4,128.95062,76.26884;5,135.31152,166.905;1730691064.402164;1730691064.412017;0.00985407829284668#0.00593#PreStim#PreStim
0,174.80388,106.332596;1,248.38165,81.602356;2,86.654655,106.014885;3,39.433723,86.51379;4,128.79144,76.754425;5,135.2568,167.8611;1730691064.402164;1730691064.4178228;0.015659809112548828#0.00581#PreStim#PreStim
