ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,136.954,143.46504;1,220.33066,230.58893;2,118.36481,145.86191;3,85.45119,123.68983;4,129.2284,75.93448;5,135.47841,179.05382;1730691085.3798058;1730691085.3878467;0.008042335510253906#0.02453#PreStim#PreStim
0,136.954,143.46504;1,220.33066,230.58893;2,118.36481,145.86191;3,85.45119,123.68983;4,129.2284,75.93448;5,135.47841,179.05382;1730691085.3798058;1730691085.394932;0.015127182006835938#0.00708#PreStim#PreStim
0,135.52203,145.39276;1,220.75378,231.04907;2,116.96031,147.53166;3,85.06571,124.6685;4,130.07576,86.49403;5,132.07765,178.41563;1730691085.3898234;1730691085.3994987;0.009676933288574219#0.00456#PreStim#PreStim
0,135.99118,144.43364;1,169.6338,107.51959;2,117.32126,148.22305;3,85.60953,125.36163;4,125.180824,86.79372;5,130.82092,175.77786;1730691085.3898234;1730691085.405275;0.01545262336730957#0.00579#PreStim#PreStim
0,135.99118,144.43364;1,169.6338,107.51959;2,117.32126,148.22305;3,85.60953,125.36163;4,125.180824,86.79372;5,130.82092,175.77786;1730691085.3998055;1730691085.411156;0.01135110855102539#0.00588#PreStim#PreStim
0,136.10385,144.27176;1,171.48154,96.61172;2,117.294586,148.40755;3,85.91012,124.575066;4,120.100624,90.14137;5,130.80566,171.87633;1730691085.4098232;1730691085.416563;0.0067408084869384766#0.00541#PreStim#PreStim
0,136.10385,144.27176;1,171.48154,96.61172;2,117.294586,148.40755;3,85.91012,124.575066;4,120.100624,90.14137;5,130.80566,171.87633;1730691085.4098232;1730691085.422748;0.012926101684570312#0.00618#PreStim#PreStim
0,135.85388,144.61987;1,220.16307,230.72395;2,116.00215,148.64911;3,85.61392,124.61897;4,122.583694,88.16455;5,130.71547,176.11055;1730691085.419861;1730691085.4287968;0.008936882019042969#0.00605#PreStim#PreStim
0,135.85388,144.61987;1,220.16307,230.72395;2,116.00215,148.64911;3,85.61392,124.61897;4,122.583694,88.16455;5,130.71547,176.11055;1730691085.419861;1730691085.4347608;0.014900684356689453#0.00596#PreStim#PreStim
0,136.53935,145.1901;1,219.80692,230.80559;2,117.481926,147.56158;3,85.459274,123.78271;4,128.3097,88.01336;5,132.2245,177.87941;1730691085.4298465;1730691085.440976;0.011130571365356445#0.00622#PreStim#PreStim
0,136.59964,144.75949;1,173.41368,97.36031;2,119.195496,149.10695;3,85.992744,123.362564;4,126.99022,89.80385;5,134.65207,179.76746;1730691085.4398506;1730691085.446993;0.007143259048461914#0.00601#PreStim#PreStim
0,136.59964,144.75949;1,173.41368,97.36031;2,119.195496,149.10695;3,85.992744,123.362564;4,126.99022,89.80385;5,134.65207,179.76746;1730691085.4398506;1730691085.4531271;0.013277292251586914#0.00614#PreStim#PreStim
0,137.54523,144.184;1,176.57619,100.169785;2,119.12327,146.91815;3,87.54906,124.36805;4,128.6406,86.030045;5,133.17204,171.77835;1730691085.4498453;1730691085.459115;0.009270668029785156#0.00599#PreStim#PreStim
0,137.54523,144.184;1,176.57619,100.169785;2,119.12327,146.91815;3,87.54906,124.36805;4,128.6406,86.030045;5,133.17204,171.77835;1730691085.4498453;1730691085.4650648;0.015220403671264648#0.00595#PreStim#PreStim
0,140.9129,144.74016;1,233.79707,230.50343;2,131.02,146.02469;3,85.944534,126.46005;4,131.346,87.04694;5,137.03763,177.02516;1730691085.4598541;1730691085.471306;0.011452913284301758#0.00625#PreStim#PreStim
0,150.28754,145.88692;1,235.27493,230.81073;2,128.4472,152.74019;3,90.12305,123.38937;4,132.92722,89.20366;5,143.23747,177.01346;1730691085.4698699;1730691085.4775312;0.007662296295166016#0.00622#PreStim#PreStim
0,150.28754,145.88692;1,235.27493,230.81073;2,128.4472,152.74019;3,90.12305,123.38937;4,132.92722,89.20366;5,143.23747,177.01346;1730691085.4698699;1730691085.4831932;0.013324499130249023#0.00566#PreStim#PreStim
0,170.76682,137.27602;1,235.52846,229.99557;2,128.72382,150.8092;3,92.21076,122.02011;4,134.69753,94.84955;5,146.19997,180.654;1730691085.4798756;1730691085.4893084;0.009433984756469727#0.00611#PreStim#PreStim
0,170.76682,137.27602;1,235.52846,229.99557;2,128.72382,150.8092;3,92.21076,122.02011;4,134.69753,94.84955;5,146.19997,180.654;1730691085.4798756;1730691085.4955;0.015625476837158203#0.00619#PreStim#PreStim
0,151.6543,148.3182;1,235.24821,230.65561;2,127.066444,151.183;3,90.69852,123.283226;4,135.63573,94.64699;5,144.71129,179.12921;1730691085.4898953;1730691085.501458;0.011563539505004883#0.00596#PreStim#PreStim
