ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,175.16891,106.91815;1,246.23872,80.52432;2,84.771866,105.53734;3,41.302044,83.51212;4,129.26329,79.056046;5,135.28441,167.98557;1730691106.4074821;1730691106.422457;0.014976024627685547#0.02933#PreStim#PreStim
0,175.53421,107.90343;1,250.43602,82.69273;2,85.073074,105.61548;3,53.53671,67.098915;4,129.95477,78.58762;5,136.1852,168.02872;1730691106.41748;1730691106.4277682;0.010289669036865234#0.00532#PreStim#PreStim
0,175.3636,107.453964;1,245.96289,80.24422;2,85.31143,105.81514;3,49.557426,68.7791;4,129.54092,79.72847;5,136.23935,167.23938;1730691106.427479;1730691106.4339979;0.006519794464111328#0.00622#PreStim#PreStim
0,175.3636,107.453964;1,245.96289,80.24422;2,85.31143,105.81514;3,49.557426,68.7791;4,129.54092,79.72847;5,136.23935,167.23938;1730691106.427479;1730691106.4395308;0.012052774429321289#0.00554#PreStim#PreStim
0,175.05905,107.25094;1,245.42279,83.37874;2,85.32671,105.76594;3,49.62684,67.936424;4,129.71327,78.9684;5,136.14226,167.31482;1730691106.4375033;1730691106.445577;0.008074283599853516#0.00604#PreStim#PreStim
0,175.05905,107.25094;1,245.42279,83.37874;2,85.32671,105.76594;3,49.62684,67.936424;4,129.71327,78.9684;5,136.14226,167.31482;1730691106.4375033;1730691106.4513361;0.01383352279663086#0.00576#PreStim#PreStim
0,175.70645,108.32031;1,246.59088,86.363464;2,86.2361,106.09609;3,43.13115,85.73757;4,130.51688,79.14729;5,136.47836,168.52748;1730691106.4475348;1730691106.457355;0.009821176528930664#0.00602#PreStim#PreStim
0,175.49352,108.846756;1,246.4944,86.33597;2,85.16512,106.377815;3,46.489674,84.940865;4,130.00325,79.07406;5,135.8719,168.67172;1730691106.4475348;1730691106.463979;0.016445159912109375#0.00662#PreStim#PreStim
0,175.49352,108.846756;1,246.4944,86.33597;2,85.16512,106.377815;3,46.489674,84.940865;4,130.00325,79.07406;5,135.8719,168.67172;1730691106.4575038;1730691106.469562;0.01205897331237793#0.00558#PreStim#PreStim
0,175.45934,108.12063;1,254.60384,86.22258;2,85.25805,106.70076;3,46.194656,84.14209;4,129.92924,79.647064;5,135.74464,168.52689;1730691106.4675245;1730691106.4758754;0.008351802825927734#0.00631#PreStim#PreStim
