ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,171.84193,117.04417;1,234.25153,98.21913;2,88.10835,109.37666;3,28.961792,102.05602;4,129.3609,76.167725;5,137.96455,178.02731;1730691127.4351358;1730691127.4507744;0.015639781951904297#0.02905#PreStim#PreStim
0,172.1687,117.19422;1,234.51758,91.6202;2,88.1298,109.31965;3,66.29052,50.7461;4,129.37529,76.364494;5,138.43286,178.24799;1730691127.4451668;1730691127.4561455;0.010979652404785156#0.00537#PreStim#PreStim
0,172.19783,118.25041;1,234.07771,92.86389;2,87.98698,113.28595;3,62.195877,50.102654;4,129.54008,75.89368;5,138.64093,178.04634;1730691127.4551475;1730691127.4622238;0.007077455520629883#0.00607#PreStim#PreStim
0,172.19783,118.25041;1,234.07771,92.86389;2,87.98698,113.28595;3,62.195877,50.102654;4,129.54008,75.89368;5,138.64093,178.04634;1730691127.4551475;1730691127.4672554;0.012108564376831055#0.00503#PreStim#PreStim
0,173.37422,120.5464;1,232.33006,91.256775;2,88.611084,110.93199;3,58.38473,50.4982;4,130.00539,75.124504;5,137.05728,176.70737;1730691127.4651642;1730691127.4731314;0.007968425750732422#0.00588#PreStim#PreStim
0,173.37422,120.5464;1,232.33006,91.256775;2,88.611084,110.93199;3,58.38473,50.4982;4,130.00539,75.124504;5,137.05728,176.70737;1730691127.4651642;1730691127.4799798;0.014816522598266602#0.00685#PreStim#PreStim
0,173.62576,123.726006;1,244.00519,223.43216;2,88.75456,111.02904;3,57.73297,52.389626;4,130.63199,75.19386;5,138.02539,177.73433;1730691127.4751625;1730691127.4855597;0.010398626327514648#0.00558#PreStim#PreStim
0,173.49754,117.264915;1,246.5946,223.43867;2,87.871826,110.94028;3,55.63492,57.0986;4,129.79659,74.80619;5,138.10861,177.84372;1730691127.4851775;1730691127.491625;0.006448507308959961#0.00606#PreStim#PreStim
0,173.49754,117.264915;1,246.5946,223.43867;2,87.871826,110.94028;3,55.63492,57.0986;4,129.79659,74.80619;5,138.10861,177.84372;1730691127.4851775;1730691127.4978812;0.012704610824584961#0.00625#PreStim#PreStim
0,173.21759,113.22746;1,241.47786,223.95772;2,88.04334,108.860115;3,30.140162,99.67589;4,128.44627,74.29662;5,137.50774,177.09866;1730691127.4951787;1730691127.503936;0.008758306503295898#0.00606#PreStim#PreStim
0,173.21759,113.22746;1,241.47786,223.95772;2,88.04334,108.860115;3,30.140162,99.67589;4,128.44627,74.29662;5,137.50774,177.09866;1730691127.4951787;1730691127.510388;0.015210390090942383#0.00645#PreStim#PreStim
0,170.2464,100.0865;1,241.72194,223.09235;2,87.98725,107.35928;3,38.41161,84.52549;4,127.47428,73.59593;5,137.56763,177.8233;1730691127.5051816;1730691127.5162153;0.011034727096557617#0.00583#PreStim#PreStim
