ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,173.2478,110.96232;1,242.74252,135.61105;2,84.92069,106.57489;3,47.166515,75.117516;4,129.41583,78.51898;5,134.05717,168.75682;1730691148.462814;1730691148.480911;0.018098115921020508#0.03033#PreStim#PreStim
0,173.68935,112.00017;1,239.73325,147.95453;2,85.39597,107.93256;3,51.31702,72.91141;4,129.81241,76.76094;5,134.25977,168.48218;1730691148.472822;1730691148.485842;0.013020753860473633#0.00492#PreStim#PreStim
0,173.391,111.61799;1,240.40399,138.24933;2,86.345375,107.825005;3,46.177177,98.470726;4,130.12509,78.02993;5,134.37674,168.4107;1730691148.482823;1730691148.4915316;0.008710622787475586#0.0057#PreStim#PreStim
0,173.391,111.61799;1,240.40399,138.24933;2,86.345375,107.825005;3,46.177177,98.470726;4,130.12509,78.02993;5,134.37674,168.4107;1730691148.482823;1730691148.497296;0.014474153518676758#0.00576#PreStim#PreStim
0,173.48003,111.38985;1,244.54828,142.2159;2,86.29058,108.047775;3,49.253784,103.61631;4,129.75568,76.06415;5,134.32852,168.50262;1730691148.492839;1730691148.5029173;0.010079622268676758#0.00563#PreStim#PreStim
0,173.40181,111.531425;1,241.1529,135.17117;2,86.120026,109.00785;3,41.554447,107.16262;4,129.46811,76.041336;5,134.18001,168.57346;1730691148.502837;1730691148.5093894;0.0065538883209228516#0.00646#PreStim#PreStim
0,173.40181,111.531425;1,241.1529,135.17117;2,86.120026,109.00785;3,41.554447,107.16262;4,129.46811,76.041336;5,134.18001,168.57346;1730691148.502837;1730691148.5153656;0.01253056526184082#0.00598#PreStim#PreStim
0,174.1144,111.327774;1,245.32635,148.58531;2,86.72407,108.70143;3,36.412216,112.337814;4,129.40182,76.63302;5,134.2428,168.72144;1730691148.5128512;1730691148.521367;0.008516550064086914#0.006#PreStim#PreStim
0,174.1144,111.327774;1,245.32635,148.58531;2,86.72407,108.70143;3,36.412216,112.337814;4,129.40182,76.63302;5,134.2428,168.72144;1730691148.5128512;1730691148.5276313;0.01478123664855957#0.00626#PreStim#PreStim
0,174.6104,112.401535;1,244.02502,139.35614;2,86.62339,108.903015;3,42.241264,101.54883;4,130.21985,78.50708;5,134.2718,169.55292;1730691148.522847;1730691148.5334914;0.01064610481262207#0.00587#PreStim#PreStim
0,174.39569,112.03719;1,246.26106,109.788536;2,86.01675,108.626495;3,41.005802,102.913666;4,129.8218,78.236916;5,134.31485,169.07515;1730691148.5328708;1730691148.5396152;0.006745576858520508#0.00612#PreStim#PreStim
0,174.39569,112.03719;1,246.26106,109.788536;2,86.01675,108.626495;3,41.005802,102.913666;4,129.8218,78.236916;5,134.31485,169.07515;1730691148.5328708;1730691148.5454748;0.012604951858520508#0.00586#PreStim#PreStim
0,174.00565,111.965;1,241.2702,149.6511;2,86.05039,108.2813;3,44.712715,87.146225;4,129.42973,76.765305;5,134.03665,168.88263;1730691148.5428677;1730691148.5513618;0.008495092391967773#0.00588#PreStim#PreStim
0,174.00565,111.965;1,241.2702,149.6511;2,86.05039,108.2813;3,44.712715,87.146225;4,129.42973,76.765305;5,134.03665,168.88263;1730691148.5428677;1730691148.5578911;0.015024423599243164#0.00654#PreStim#PreStim
0,174.57835,112.36642;1,240.62683,149.07846;2,86.4168,109.14304;3,45.507008,103.349785;4,130.21219,78.0775;5,134.33751,168.94382;1730691148.5528867;1730691148.563968;0.011081933975219727#0.00608#PreStim#PreStim
0,174.17331,112.37598;1,242.98436,153.33342;2,86.58876,110.11249;3,43.77177,101.41765;4,130.13538,78.19052;5,134.12166,169.82916;1730691148.5628939;1730691148.5696192;0.006726264953613281#0.00566#PreStim#PreStim
0,174.17331,112.37598;1,242.98436,153.33342;2,86.58876,110.11249;3,43.77177,101.41765;4,130.13538,78.19052;5,134.12166,169.82916;1730691148.5628939;1730691148.5760226;0.013129711151123047#0.0064#PreStim#PreStim
0,174.57088,112.65535;1,239.20102,145.63449;2,86.50142,109.88842;3,46.051575,102.978584;4,130.06764,76.52731;5,134.47266,169.25555;1730691148.5728917;1730691148.5819893;0.00909876823425293#0.00596#PreStim#PreStim
0,174.57088,112.65535;1,239.20102,145.63449;2,86.50142,109.88842;3,46.051575,102.978584;4,130.06764,76.52731;5,134.47266,169.25555;1730691148.5728917;1730691148.5881565;0.015265703201293945#0.00617#PreStim#PreStim
0,174.82014,113.82902;1,245.16132,124.342384;2,86.12135,110.007416;3,40.93759,108.50167;4,130.35634,78.65614;5,134.39162,170.22806;1730691148.5829256;1730691148.5939596;0.011035442352294922#0.0058#PreStim#PreStim
0,174.40285,113.13672;1,240.602,150.827;2,85.931694,109.22278;3,39.96966,104.99608;4,129.60646,78.646835;5,134.3799,170.22691;1730691148.592931;1730691148.59988;0.006949663162231445#0.00592#PreStim#PreStim
0,174.40285,113.13672;1,240.602,150.827;2,85.931694,109.22278;3,39.96966,104.99608;4,129.60646,78.646835;5,134.3799,170.22691;1730691148.592931;1730691148.6060796;0.013149499893188477#0.0062#PreStim#PreStim
0,174.92828,113.827965;1,246.00323,129.3653;2,86.59996,109.41152;3,43.42792,101.88834;4,130.46307,78.63585;5,134.81113,170.47919;1730691148.602918;1730691148.6122038;0.009286642074584961#0.00613#PreStim#PreStim
0,174.92828,113.827965;1,246.00323,129.3653;2,86.59996,109.41152;3,43.42792,101.88834;4,130.46307,78.63585;5,134.81113,170.47919;1730691148.602918;1730691148.618222;0.015305280685424805#0.00601#PreStim#PreStim
