ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,90.687065,130.41228;1,177.55544,133.77184;2,115.258446,175.88051;3,66.47185,148.80615;4,93.97228,91.877495;5,128.89183,202.43448;1730691169.510513;1730691169.5207784;0.010267257690429688#0.0388#PreStim#PreStim
0,91.704124,131.08812;1,178.14478,134.28612;2,113.875595,177.69423;3,61.799248,157.78386;4,93.377884,92.41144;5,129.46777,203.4548;1730691169.5205128;1730691169.5258286;0.005316734313964844#0.00504#PreStim#PreStim
0,91.704124,131.08812;1,178.14478,134.28612;2,113.875595,177.69423;3,61.799248,157.78386;4,93.377884,92.41144;5,129.46777,203.4548;1730691169.5205128;1730691169.5315425;0.01103067398071289#0.00571#PreStim#PreStim
0,91.89241,130.2523;1,178.41167,133.7327;2,114.76003,179.03452;3,78.55703,148.7315;4,95.32651,92.15553;5,129.70215,203.61758;1730691169.5305107;1730691169.5373945;0.00688481330871582#0.00585#PreStim#PreStim
0,91.89241,130.2523;1,178.41167,133.7327;2,114.76003,179.03452;3,78.55703,148.7315;4,95.32651,92.15553;5,129.70215,203.61758;1730691169.5305107;1730691169.5433047;0.012794971466064453#0.00592#PreStim#PreStim
0,92.54707,130.65297;1,177.06332,133.44313;2,97.325645,179.2045;3,76.85307,150.32704;4,94.86247,94.400635;5,129.16537,204.33151;1730691169.5405133;1730691169.549238;0.008725404739379883#0.00592#PreStim#PreStim
0,92.54707,130.65297;1,177.06332,133.44313;2,97.325645,179.2045;3,76.85307,150.32704;4,94.86247,94.400635;5,129.16537,204.33151;1730691169.5405133;1730691169.5554929;0.014980554580688477#0.00626#PreStim#PreStim
0,92.29136,130.20862;1,177.47575,134.39774;2,94.53241,184.9306;3,77.54766,149.57736;4,93.40165,93.167305;5,128.84563,204.54865;1730691169.5505192;1730691169.5612385;0.010720491409301758#0.00575#PreStim#PreStim
0,91.44137,130.73317;1,170.04227,138.62271;2,113.32099,177.4678;3,59.349693,163.9696;4,94.593605,91.8545;5,127.87245,203.929;1730691169.5605328;1730691169.5671058;0.006573915481567383#0.00586#PreStim#PreStim
0,91.44137,130.73317;1,170.04227,138.62271;2,113.32099,177.4678;3,59.349693,163.9696;4,94.593605,91.8545;5,127.87245,203.929;1730691169.5605328;1730691169.5733604;0.012828350067138672#0.00626#PreStim#PreStim
0,91.71307,129.86412;1,178.26538,134.28561;2,94.98358,136.17308;3,62.548824,155.46;4,91.88817,91.34033;5,127.6898,203.80455;1730691169.5705583;1730691169.5792708;0.008713722229003906#0.00591#PreStim#PreStim
0,91.71307,129.86412;1,178.26538,134.28561;2,94.98358,136.17308;3,62.548824,155.46;4,91.88817,91.34033;5,127.6898,203.80455;1730691169.5705583;1730691169.5857077;0.01515054702758789#0.00644#PreStim#PreStim
0,91.32065,130.1662;1,167.52347,137.44075;2,91.67849,183.55292;3,82.69608,140.18442;4,93.34483,90.72109;5,127.694695,203.07753;1730691169.580555;1730691169.5914717;0.01091766357421875#0.00576#PreStim#PreStim
0,91.27261,131.12766;1,176.28639,132.62492;2,94.311554,182.05208;3,83.297806,139.72017;4,93.97981,94.10319;5,128.27405,201.62901;1730691169.5905552;1730691169.5978084;0.007253885269165039#0.00633#PreStim#PreStim
0,91.27261,131.12766;1,176.28639,132.62492;2,94.311554,182.05208;3,83.297806,139.72017;4,93.97981,94.10319;5,128.27405,201.62901;1730691169.5905552;1730691169.603845;0.013290643692016602#0.00604#PreStim#PreStim
0,88.18018,128.97879;1,169.60727,137.33762;2,113.77856,175.99506;3,87.0569,141.50958;4,94.99849,92.23546;5,126.42725,204.05568;1730691169.6005552;1730691169.6098468;0.009292364120483398#0.006#PreStim#PreStim
0,88.18018,128.97879;1,169.60727,137.33762;2,113.77856,175.99506;3,87.0569,141.50958;4,94.99849,92.23546;5,126.42725,204.05568;1730691169.6005552;1730691169.616043;0.01548910140991211#0.00619#PreStim#PreStim
0,88.69152,130.01407;1,169.33873,136.91699;2,112.240875,177.83492;3,85.65771,141.70967;4,95.32174,93.27218;5,126.81919,204.13701;1730691169.6105833;1730691169.6219249;0.011342287063598633#0.00589#PreStim#PreStim
0,90.73862,130.91269;1,168.20975,136.43576;2,111.849106,175.58485;3,85.17378,140.66309;4,94.45474,93.356636;5,127.19603,203.47888;1730691169.6205914;1730691169.6279387;0.007348537445068359#0.00601#PreStim#PreStim
0,90.73862,130.91269;1,168.20975,136.43576;2,111.849106,175.58485;3,85.17378,140.66309;4,94.45474,93.356636;5,127.19603,203.47888;1730691169.6205914;1730691169.63377;0.013179540634155273#0.00583#PreStim#PreStim
0,89.032875,130.38797;1,166.80289,137.23085;2,113.51674,176.27261;3,84.72412,140.68231;4,94.53056,92.94192;5,127.70981,203.31604;1730691169.6306;1730691169.640066;0.009467124938964844#0.0063#PreStim#PreStim
0,89.032875,130.38797;1,166.80289,137.23085;2,113.51674,176.27261;3,84.72412,140.68231;4,94.53056,92.94192;5,127.70981,203.31604;1730691169.6306;1730691169.646246;0.015646696090698242#0.00618#PreStim#PreStim
0,88.92128,131.26451;1,167.9273,136.7614;2,89.386444,200.60326;3,85.48434,141.06645;4,93.62831,93.070694;5,127.2578,204.79982;1730691169.6406016;1730691169.6523159;0.011715412139892578#0.00607#PreStim#PreStim
0,88.90681,130.55647;1,167.2886,137.86015;2,89.61267,198.01979;3,85.46986,141.98526;4,93.9809,92.96779;5,126.78439,203.92218;1730691169.6506057;1730691169.6581323;0.007527589797973633#0.00581#PreStim#PreStim
0,88.90681,130.55647;1,167.2886,137.86015;2,89.61267,198.01979;3,85.46986,141.98526;4,93.9809,92.96779;5,126.78439,203.92218;1730691169.6506057;1730691169.6645672;0.013962745666503906#0.00643#PreStim#PreStim
0,89.11078,131.50874;1,160.87178,138.83278;2,92.53411,197.50899;3,84.12502,142.17708;4,93.97787,93.00791;5,128.144,203.10953;1730691169.660638;1730691169.6704948;0.009857654571533203#0.00593#PreStim#PreStim
0,88.40834,131.0412;1,159.15067,138.2928;2,110.71109,179.19478;3,85.06366,140.66988;4,92.17293,94.755226;5,128.10265,204.14444;1730691169.660638;1730691169.6763737;0.01573657989501953#0.00588#PreStim#PreStim
0,88.40834,131.0412;1,159.15067,138.2928;2,110.71109,179.19478;3,85.06366,140.66988;4,92.17293,94.755226;5,128.10265,204.14444;1730691169.6706383;1730691169.682654;0.012016534805297852#0.00627#PreStim#PreStim
0,89.36363,130.72922;1,159.24214,138.98833;2,94.186646,138.04948;3,84.59157,140.64706;4,89.863785,93.64988;5,127.1677,201.35646;1730691169.6806374;1730691169.688579;0.007942676544189453#0.00593#PreStim#PreStim
0,89.36363,130.72922;1,159.24214,138.98833;2,94.186646,138.04948;3,84.59157,140.64706;4,89.863785,93.64988;5,127.1677,201.35646;1730691169.6806374;1730691169.6946845;0.014048099517822266#0.00611#PreStim#PreStim
0,88.39472,130.34601;1,175.8005,134.92278;2,108.75599,179.92911;3,83.70041,138.44382;4,92.78744,93.26832;5,127.75363,203.57713;1730691169.6906788;1730691169.7004569;0.009779214859008789#0.00577#PreStim#PreStim
0,88.39472,130.34601;1,175.8005,134.92278;2,108.75599,179.92911;3,83.70041,138.44382;4,92.78744,93.26832;5,127.75363,203.57713;1730691169.6906788;1730691169.706948;0.01627039909362793#0.00649#PreStim#PreStim
0,149.26138,160.91826;1,176.03882,134.38708;2,111.37934,175.5297;3,84.66803,139.12976;4,94.25175,93.04541;5,127.80743,203.12207;1730691169.7007022;1730691169.7128627;0.012161493301391602#0.00591#PreStim#PreStim
0,91.194244,130.60683;1,159.84608,138.46783;2,94.67142,137.88026;3,73.816986,137.591;4,94.12874,93.61195;5,128.19601,197.66429;1730691169.7106628;1730691169.718988;0.008326530456542969#0.00613#PreStim#PreStim
0,91.194244,130.60683;1,159.84608,138.46783;2,94.67142,137.88026;3,73.816986,137.591;4,94.12874,93.61195;5,128.19601,197.66429;1730691169.7106628;1730691169.7249465;0.014284610748291016#0.00595#PreStim#PreStim
