ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,48.391674,108.57733;1,141.35846,108.98462;2,47.038364,203.1869;3,140.23802,204.71466;1739415668.8328297;1739415668.8495066;0.0166778564453125#0.0252#Open Loop#Open Loop
0,48.457123,108.652626;1,141.06454,108.96626;2,47.15202,203.18155;3,140.34155,204.52412;1739415668.8428483;1739415668.8547335;0.011886358261108398#0.00523#Open Loop#Open Loop
0,48.180065,108.59575;1,141.52582,108.52726;2,46.905327,202.63681;3,140.5203,204.08331;1739415668.85284;1739415668.8593125;0.0064737796783447266#0.00457#Open Loop#Open Loop
0,48.180065,108.59575;1,141.52582,108.52726;2,46.905327,202.63681;3,140.5203,204.08331;1739415668.85284;1739415668.8653793;0.012541055679321289#0.00607#Open Loop#Open Loop
0,48.323822,108.43265;1,141.93402,107.7407;2,46.638935,202.85974;3,140.76076,204.57564;1739415668.862837;1739415668.8716848;0.008848905563354492#0.0063#Open Loop#Open Loop
0,48.323822,108.43265;1,141.93402,107.7407;2,46.638935,202.85974;3,140.76076,204.57564;1739415668.862837;1739415668.8776822;0.014845848083496094#0.00599#Open Loop#Open Loop
0,48.748848,108.42996;1,141.93484,107.92671;2,46.42315,202.89925;3,140.1761,204.48743;1739415668.8728569;1739415668.8840492;0.011193037033081055#0.00637#Open Loop#Open Loop
0,48.610615,108.45143;1,141.04102,108.39162;2,46.729897,203.12274;3,139.85472,204.81406;1739415668.882862;1739415668.8897731;0.006911754608154297#0.00573#Open Loop#Open Loop
0,48.610615,108.45143;1,141.04102,108.39162;2,46.729897,203.12274;3,139.85472,204.81406;1739415668.882862;1739415668.895797;0.012935876846313477#0.00603#Open Loop#Open Loop
0,48.648876,108.66892;1,141.21864,108.66784;2,47.621162,202.95517;3,140.31001,204.38918;1739415668.892877;1739415668.9023104;0.009434223175048828#0.00651#Open Loop#Open Loop
0,48.648876,108.66892;1,141.21864,108.66784;2,47.621162,202.95517;3,140.31001,204.38918;1739415668.892877;1739415668.9080563;0.015180587768554688#0.00575#Open Loop#Open Loop
0,48.440514,108.51387;1,141.17009,108.606094;2,46.82958,202.66473;3,139.98973,204.08598;1739415668.9028835;1739415668.9141505;0.011268138885498047#0.00609#Open Loop#Open Loop
0,48.420452,108.65145;1,141.60196,108.29697;2,46.838078,202.89989;3,140.36903,204.42183;1739415668.912882;1739415668.9204707;0.007590293884277344#0.00633#Open Loop#Open Loop
0,48.420452,108.65145;1,141.60196,108.29697;2,46.838078,202.89989;3,140.36903,204.42183;1739415668.912882;1739415668.9263825;0.013501644134521484#0.00591#Open Loop#Open Loop
0,49.046406,108.56277;1,141.86153,108.76673;2,46.65594,202.98962;3,140.32118,204.69424;1739415668.9229162;1739415668.9321654;0.00924992561340332#0.00578#Open Loop#Open Loop
0,49.046406,108.56277;1,141.86153,108.76673;2,46.65594,202.98962;3,140.32118,204.69424;1739415668.9229162;1739415668.9383683;0.015453100204467773#0.00621#Open Loop#Open Loop
0,48.415886,108.365746;1,141.87811,108.79248;2,47.027374,203.36821;3,140.44817,204.83751;1739415668.9329216;1739415668.9443364;0.011416196823120117#0.00597#Open Loop#Open Loop
0,48.266666,109.06775;1,141.87477,107.54786;2,46.53505,203.29175;3,140.04688,205.10046;1739415668.9429266;1739415668.9505243;0.007598876953125#0.00618#Open Loop#Open Loop
0,48.266666,109.06775;1,141.87477,107.54786;2,46.53505,203.29175;3,140.04688,205.10046;1739415668.9429266;1739415668.9564223;0.013496875762939453#0.0059#Open Loop#Open Loop
0,48.586166,108.90882;1,141.70505,108.4183;2,46.87323,203.44075;3,140.66469,204.42976;1739415668.95295;1739415668.9625237;0.009575128555297852#0.0061#Open Loop#Open Loop
0,48.77311,108.934975;1,142.11443,108.048416;2,47.004517,203.21082;3,140.66617,204.66428;1739415668.95295;1739415668.9693227;0.016373872756958008#0.0068#Open Loop#Open Loop
0,48.77311,108.934975;1,142.11443,108.048416;2,47.004517,203.21082;3,140.66617,204.66428;1739415668.9629285;1739415668.9745498;0.011622190475463867#0.00523#Open Loop#Open Loop
0,48.582703,108.11296;1,141.1332,108.517624;2,46.609314,202.89014;3,140.28497,204.24484;1739415668.972955;1739415668.9808793;0.00792551040649414#0.00633#Open Loop#Open Loop
0,48.582703,108.11296;1,141.1332,108.517624;2,46.609314,202.89014;3,140.28497,204.24484;1739415668.972955;1739415668.9870636;0.014109611511230469#0.00619#Open Loop#Open Loop
0,48.492027,108.74985;1,141.32285,108.50775;2,47.16092,202.76776;3,140.47572,204.469;1739415668.9833143;1739415668.992802;0.009488582611083984#0.00575#Open Loop#Open Loop
0,47.726482,108.11849;1,140.87752,108.41698;2,46.491608,202.78133;3,140.70999,205.00354;1739415668.9833143;1739415668.9994142;0.01610112190246582#0.0066#Open Loop#Open Loop
0,47.726482,108.11849;1,140.87752,108.41698;2,46.491608,202.78133;3,140.70999,205.00354;1739415668.9929547;1739415669.0049634;0.012009620666503906#0.00555#Open Loop#Open Loop
0,47.95385,108.66015;1,140.99713,108.280685;2,46.433147,202.47652;3,140.1234,204.06366;1739415669.002973;1739415669.0110147;0.008042573928833008#0.00605#Open Loop#Open Loop
0,47.95385,108.66015;1,140.99713,108.280685;2,46.433147,202.47652;3,140.1234,204.06366;1739415669.002973;1739415669.0174792;0.014507055282592773#0.00646#Open Loop#Open Loop
0,48.363503,108.297554;1,141.64455,108.30385;2,47.383705,202.8174;3,140.73914,204.15578;1739415669.0129664;1739415669.023393;0.01042795181274414#0.00592#Open Loop#Open Loop
0,49.02859,108.55292;1,141.6209,107.70481;2,46.83183,203.04414;3,140.31985,203.9488;1739415669.0229912;1739415669.0292187;0.006228446960449219#0.00581#Open Loop#Open Loop
0,49.02859,108.55292;1,141.6209,107.70481;2,46.83183,203.04414;3,140.31985,203.9488;1739415669.0229912;1739415669.0358167;0.012826204299926758#0.0066#Open Loop#Open Loop
0,48.459267,108.562614;1,141.1981,108.508156;2,47.5221,204.1274;3,140.86333,204.76024;1739415669.0329895;1739415669.041502;0.008513450622558594#0.00569#Open Loop#Open Loop
0,48.459267,108.562614;1,141.1981,108.508156;2,47.5221,204.1274;3,140.86333,204.76024;1739415669.0329895;1739415669.0476902;0.01470184326171875#0.00619#Open Loop#Open Loop
0,48.60663,109.0414;1,140.82123,108.28525;2,46.48432,203.06195;3,140.49522,204.6744;1739415669.0429893;1739415669.053872;0.010883808135986328#0.00618#Open Loop#Open Loop
0,48.47306,108.74189;1,141.58018,108.29594;2,46.49705,203.14029;3,140.8858,204.31776;1739415669.053012;1739415669.0595515;0.006540536880493164#0.00567#Open Loop#Open Loop
0,48.47306,108.74189;1,141.58018,108.29594;2,46.49705,203.14029;3,140.8858,204.31776;1739415669.053012;1739415669.0655456;0.012534618377685547#0.00599#Open Loop#Open Loop
0,47.534733,108.58588;1,141.20883,108.60489;2,46.410408,203.01695;3,139.98541,205.24475;1739415669.0630064;1739415669.0715253;0.008519887924194336#0.00598#Open Loop#Open Loop
0,47.534733,108.58588;1,141.20883,108.60489;2,46.410408,203.01695;3,139.98541,205.24475;1739415669.0630064;1739415669.07798;0.014974832534790039#0.00646#Open Loop#Open Loop
0,48.768024,108.881744;1,142.09145,109.23498;2,46.60448,202.72308;3,140.23512,204.88351;1739415669.0730414;1739415669.0840175;0.01097726821899414#0.00604#Open Loop#Open Loop
0,48.358097,108.93281;1,141.81503,107.70884;2,46.743587,203.07407;3,140.33192,204.41223;1739415669.0830402;1739415669.0900657;0.0070264339447021484#0.00605#Open Loop#Open Loop
0,48.358097,108.93281;1,141.81503,107.70884;2,46.743587,203.07407;3,140.33192,204.41223;1739415669.0830402;1739415669.0960827;0.013043403625488281#0.00602#Open Loop#Open Loop
0,47.669094,108.219376;1,141.75456,107.12281;2,48.93715,200.26357;3,140.81792,201.16609;1739415669.0930386;1739415669.1025653;0.009528398513793945#0.00649#Open Loop#Open Loop
0,47.669094,108.219376;1,141.75456,107.12281;2,48.93715,200.26357;3,140.81792,201.16609;1739415669.0930386;1739415669.1082368;0.01519918441772461#0.00567#Open Loop#Open Loop
0,144.32957,23.696342;1,214.45287,27.00635;2,141.73682,108.91857;3,214.65277,108.934326;1739415669.103061;1739415669.1141202;0.011059999465942383#0.00588#Open Loop#Open Loop
0,144.89932,18.945187;1,215.6346,23.129827;2,142.21008,109.70638;3,214.80058,109.919136;1739415669.1130679;1739415669.1205618;0.00749516487121582#0.00645#Open Loop#Open Loop
0,144.89932,18.945187;1,215.6346,23.129827;2,142.21008,109.70638;3,214.80058,109.919136;1739415669.1130679;1739415669.1258018;0.01273488998413086#0.00523#Open Loop#Open Loop
0,143.06055,17.069855;1,217.90614,19.613726;2,141.03949,110.21895;3,215.75575,110.497665;1739415669.123088;1739415669.1321032;0.009016275405883789#0.0063#Open Loop#Open Loop
0,143.06055,17.069855;1,217.90614,19.613726;2,141.03949,110.21895;3,215.75575,110.497665;1739415669.123088;1739415669.138122;0.015035152435302734#0.00601#Open Loop#Open Loop
0,143.06209,17.033546;1,217.9416,19.127096;2,140.42267,110.56321;3,216.08438,111.43884;1739415669.133078;1739415669.1441584;0.011081457138061523#0.00604#Open Loop#Open Loop
0,142.4934,17.11617;1,218.13521,19.160189;2,139.69597,110.68233;3,217.2156,110.95276;1739415669.1430786;1739415669.1504817;0.0074040889739990234#0.00632#Open Loop#Open Loop
0,142.4934,17.11617;1,218.13521,19.160189;2,139.69597,110.68233;3,217.2156,110.95276;1739415669.1430786;1739415669.156526;0.013448476791381836#0.00604#Open Loop#Open Loop
0,142.86652,16.830982;1,219.95483,20.669357;2,140.1937,110.602295;3,217.43633,112.36509;1739415669.1530976;1739415669.1626377;0.009541511535644531#0.00611#Open Loop#Open Loop
0,142.86652,16.830982;1,219.95483,20.669357;2,140.1937,110.602295;3,217.43633,112.36509;1739415669.1530976;1739415669.1692173;0.01612067222595215#0.00658#Open Loop#Open Loop
0,142.88927,16.955559;1,218.80168,19.607878;2,140.25066,111.24611;3,219.06998,112.36725;1739415669.1630943;1739415669.1745324;0.011438846588134766#0.00532#Open Loop#Open Loop
0,142.78195,17.291042;1,220.17693,19.622347;2,139.65097,110.66366;3,217.58691,112.26852;1739415669.1731172;1739415669.1806307;0.0075147151947021484#0.00609#Open Loop#Open Loop
0,142.78195,17.291042;1,220.17693,19.622347;2,139.65097,110.66366;3,217.58691,112.26852;1739415669.1731172;1739415669.186989;0.013872861862182617#0.00637#Open Loop#Open Loop
0,142.55492,16.94099;1,220.187,19.975925;2,140.03795,110.68882;3,219.43813,112.06849;1739415669.1831443;1739415669.193132;0.009989023208618164#0.00614#Open Loop#Open Loop
0,143.15955,17.418535;1,220.57076,20.785221;2,140.09395,110.63297;3,217.97435,110.51719;1739415669.1831443;1739415669.1994224;0.016279220581054688#0.00629#Open Loop#Open Loop
0,143.15955,17.418535;1,220.57076,20.785221;2,140.09395,110.63297;3,217.97435,110.51719;1739415669.1931157;1739415669.2049549;0.011840105056762695#0.00553#Open Loop#Open Loop
0,142.06293,17.40981;1,220.41158,19.048727;2,140.26248,110.58055;3,220.50296,111.86136;1739415669.2031424;1739415669.2113123;0.00817108154296875#0.00635#Open Loop#Open Loop
0,142.06293,17.40981;1,220.41158,19.048727;2,140.26248,110.58055;3,220.50296,111.86136;1739415669.2031424;1739415669.2176216;0.014480113983154297#0.00631#Open Loop#Open Loop
0,142.93074,17.326424;1,220.64357,19.666117;2,140.172,110.408424;3,218.46136,109.71891;1739415669.2136223;1739415669.2237492;0.010128259658813477#0.00613#Open Loop#Open Loop
0,143.0265,16.608706;1,221.36612,19.483356;2,140.08478,109.60223;3,218.06204,109.9695;1739415669.2231746;1739415669.2288551;0.005681753158569336#0.0051#Open Loop#Open Loop
0,143.0265,16.608706;1,221.36612,19.483356;2,140.08478,109.60223;3,218.06204,109.9695;1739415669.2231746;1739415669.23563;0.012456417083740234#0.00677#Open Loop#Open Loop
0,142.91478,16.794788;1,220.89154,18.596619;2,140.09207,110.269966;3,220.37886,111.05582;1739415669.2331846;1739415669.2413416;0.008157968521118164#0.00571#Open Loop#Open Loop
0,142.91478,16.794788;1,220.89154,18.596619;2,140.09207,110.269966;3,220.37886,111.05582;1739415669.2331846;1739415669.2476351;0.014451742172241211#0.00629#Open Loop#Open Loop
0,143.39442,16.84142;1,220.78789,19.683687;2,140.37756,110.105675;3,219.94255,110.85723;1739415669.2431712;1739415669.2540789;0.010909318923950195#0.00645#Open Loop#Open Loop
0,142.23842,17.59146;1,221.85092,19.04936;2,140.5597,110.283554;3,220.93031,110.623985;1739415669.2531788;1739415669.2594419;0.0062639713287353516#0.00536#Open Loop#Open Loop
0,142.23842,17.59146;1,221.85092,19.04936;2,140.5597,110.283554;3,220.93031,110.623985;1739415669.2531788;1739415669.2654848;0.012306928634643555#0.00604#Open Loop#Open Loop
0,142.77599,17.346067;1,221.0698,19.206034;2,140.34457,110.88335;3,220.97662,111.94695;1739415669.263211;1739415669.2713835;0.008173465728759766#0.0059#Open Loop#Open Loop
0,142.77599,17.346067;1,221.0698,19.206034;2,140.34457,110.88335;3,220.97662,111.94695;1739415669.263211;1739415669.2778237;0.014613866806030273#0.00644#Open Loop#Open Loop
0,142.83386,17.51071;1,221.47527,19.256466;2,140.25539,110.4667;3,220.1857,111.56824;1739415669.2731984;1739415669.2838743;0.010677099227905273#0.00606#Open Loop#Open Loop
0,142.6895,17.295078;1,221.49324,19.090553;2,140.02277,110.88328;3,220.92339,111.629845;1739415669.2831974;1739415669.2899487;0.0067522525787353516#0.00607#Open Loop#Open Loop
0,142.6895,17.295078;1,221.49324,19.090553;2,140.02277,110.88328;3,220.92339,111.629845;1739415669.2831974;1739415669.2957897;0.012593507766723633#0.00584#Open Loop#Open Loop
0,141.93292,18.389177;1,221.4888,19.914845;2,140.0337,111.707634;3,220.67111,111.757256;1739415669.2932131;1739415669.3023813;0.00916910171508789#0.00659#Open Loop#Open Loop
0,141.93292,18.389177;1,221.4888,19.914845;2,140.0337,111.707634;3,220.67111,111.757256;1739415669.2932131;1739415669.3081436;0.014931440353393555#0.00577#Open Loop#Open Loop
0,50.110012,110.382996;1,141.20111,109.942665;2,48.793865,198.95625;3,140.30618,202.22992;1739415669.3032255;1739415669.3142493;0.01102447509765625#0.0061#Open Loop#Open Loop
0,49.592243,110.268196;1,140.80411,109.642815;2,46.683903,202.05492;3,140.27556,205.1174;1739415669.3132222;1739415669.3204188;0.00719761848449707#0.00617#Open Loop#Open Loop
0,49.592243,110.268196;1,140.80411,109.642815;2,46.683903,202.05492;3,140.27556,205.1174;1739415669.3132222;1739415669.3261843;0.012962818145751953#0.00576#Open Loop#Open Loop
0,48.899925,108.82542;1,141.0559,108.84009;2,46.97691,202.77614;3,140.72623,204.7058;1739415669.3232424;1739415669.3321397;0.008898258209228516#0.00596#Open Loop#Open Loop
0,48.899925,108.82542;1,141.0559,108.84009;2,46.97691,202.77614;3,140.72623,204.7058;1739415669.3232424;1739415669.3383417;0.015100479125976562#0.0062#Open Loop#Open Loop
0,48.22577,108.84575;1,140.64911,108.44714;2,46.34259,203.07817;3,141.2553,204.56938;1739415669.3332365;1739415669.3442607;0.011025190353393555#0.00591#Open Loop#Open Loop
0,48.707733,108.50502;1,141.84303,107.74253;2,46.401928,202.83272;3,140.61919,204.81525;1739415669.343242;1739415669.3507297;0.0074884891510009766#0.00647#1739415669.35078#1739415669.35226
0,48.707733,108.50502;1,141.84303,107.74253;2,46.401928,202.83272;3,140.61919,204.81525;1739415669.343242;1739415669.3567877;0.01354670524597168#0.00606#1739415669.35684#1739415669.35831
0,48.476448,109.37642;1,140.94427,108.91109;2,46.128387,203.09857;3,141.14217,204.51852;1739415669.3532732;1739415669.3625424;0.009270191192626953#0.00575#1739415669.36258#1739415669.36437
0,48.476448,109.37642;1,140.94427,108.91109;2,46.128387,203.09857;3,141.14217,204.51852;1739415669.3532732;1739415669.3692977;0.016025304794311523#0.00676#1739415669.36934#1739415669.37042
0,48.283638,109.82505;1,140.85718,108.85418;2,46.34579,203.3419;3,140.5998,205.54462;1739415669.363266;1739415669.3743951;0.011130094528198242#0.0051#1739415669.37444#1739415669.37649
0,48.74932,109.77399;1,142.45029,110.68433;2,45.960823,203.38762;3,140.03639,205.67885;1739415669.3732982;1739415669.3805163;0.0072193145751953125#0.00612#1739415669.38057#1739415669.38259
0,48.74932,109.77399;1,142.45029,110.68433;2,45.960823,203.38762;3,140.03639,205.67885;1739415669.3732982;1739415669.387074;0.013777017593383789#0.00656#1739415669.38712#1739415669.38861
