ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,210.24217,81.0207;1,282.4113,109.45273;2,117.23789,80.65515;3,61.62778,82.21017;4,160.77754,35.589005;5,170.71303,135.9313;1741914894.612876;1741914894.6291614;0.016286373138427734#0.05108#PreStim#PreStim
0,210.37148,80.964806;1,282.73663,110.39753;2,117.25374,80.794235;3,61.666668,83.085045;4,160.82272,35.28956;5,170.73764,136.17523;1741914894.6228874;1741914894.6367958;0.013909101486206055#0.00764#PreStim#PreStim
0,210.56505,81.02187;1,282.73395,111.48107;2,117.45226,81.604706;3,63.158943,88.40646;4,160.68764,35.499287;5,170.66145,136.15807;1741914894.6328914;1741914894.643239;0.01034855842590332#0.00645#PreStim#PreStim
0,210.16707,80.75156;1,283.815,107.495865;2,117.34796,81.72515;3,63.003407,88.62525;4,160.43684,35.790924;5,170.55966,135.91844;1741914894.6429293;1741914894.6488857;0.005957365036010742#0.00565#PreStim#PreStim
0,210.16707,80.75156;1,283.815,107.495865;2,117.34796,81.72515;3,63.003407,88.62525;4,160.43684,35.790924;5,170.55966,135.91844;1741914894.6429293;1741914894.6542728;0.011344194412231445#0.00539#PreStim#PreStim
0,210.20699,80.57913;1,282.6314,106.04673;2,116.951096,81.52478;3,61.90645,88.93786;4,160.03346,35.712814;5,170.25267,135.98087;1741914894.6529052;1741914894.6599083;0.007004261016845703#0.00563#PreStim#PreStim
0,210.20699,80.57913;1,282.6314,106.04673;2,116.951096,81.52478;3,61.90645,88.93786;4,160.03346,35.712814;5,170.25267,135.98087;1741914894.6529052;1741914894.6652682;0.012364625930786133#0.00537#PreStim#PreStim
0,210.23917,80.40299;1,286.39908,102.62682;2,116.48919,82.32394;3,57.943184,91.82931;4,159.65836,36.64386;5,170.3408,136.00009;1741914894.6629138;1741914894.670878;0.007965087890625#0.0056#PreStim#PreStim
0,210.23917,80.40299;1,286.39908,102.62682;2,116.48919,82.32394;3,57.943184,91.82931;4,159.65836,36.64386;5,170.3408,136.00009;1741914894.6629138;1741914894.6773534;0.014440536499023438#0.00647#PreStim#PreStim
0,210.4557,80.41043;1,283.22772,101.680756;2,116.98937,80.8525;3,60.09272,84.12612;4,159.71707,36.195004;5,170.346,136.14189;1741914894.6729124;1741914894.683761;0.010849714279174805#0.00642#PreStim#PreStim
0,210.31017,80.31243;1,282.3126,102.295235;2,116.928345,80.12423;3,60.045475,82.20671;4,159.60703,36.16469;5,170.31187,135.81212;1741914894.6829267;1741914894.6893404;0.006414890289306641#0.00557#PreStim#PreStim
0,210.31017,80.31243;1,282.3126,102.295235;2,116.928345,80.12423;3,60.045475,82.20671;4,159.60703,36.16469;5,170.31187,135.81212;1741914894.6829267;1741914894.6954978;0.012572526931762695#0.00616#PreStim#PreStim
0,210.2783,80.53203;1,281.76645,104.321365;2,116.77444,79.7927;3,60.81558,80.53519;4,159.85725,35.91118;5,170.2583,135.7813;1741914894.6929276;1741914894.7012842;0.00835728645324707#0.00578#PreStim#PreStim
0,210.2783,80.53203;1,281.76645,104.321365;2,116.77444,79.7927;3,60.81558,80.53519;4,159.85725,35.91118;5,170.2583,135.7813;1741914894.6929276;1741914894.70729;0.014364004135131836#0.00601#PreStim#PreStim
0,210.19406,80.56584;1,281.37442,106.415054;2,116.79044,79.738;3,61.97823,79.573166;4,160.47128,35.670105;5,170.1481,135.94029;1741914894.702947;1741914894.71379;0.010843753814697266#0.0065#PreStim#PreStim
0,210.37094,81.04537;1,281.25525,111.926186;2,117.02849,80.52409;3,61.694717,83.288025;4,160.2082,35.65401;5,170.30624,136.05641;1741914894.7129457;1741914894.7192183;0.006273508071899414#0.00542#PreStim#PreStim
0,210.37094,81.04537;1,281.25525,111.926186;2,117.02849,80.52409;3,61.694717,83.288025;4,160.2082,35.65401;5,170.30624,136.05641;1741914894.7129457;1741914894.7261357;0.01319122314453125#0.00692#PreStim#PreStim
0,210.46347,81.2446;1,282.0407,114.77394;2,117.136826,80.98906;3,62.38685,84.98311;4,160.54814,35.430313;5,170.51138,136.87254;1741914894.7230656;1741914894.7329886;0.009925127029418945#0.00686#PreStim#PreStim
0,210.5371,81.465576;1,282.8763,121.903275;2,117.12531,81.27568;3,63.086956,87.19242;4,160.64886,34.88679;5,170.62184,137.50475;1741914894.7230656;1741914894.7421649;0.019100189208984375#0.00916#PreStim#PreStim
0,210.5371,81.465576;1,282.8763,121.903275;2,117.12531,81.27568;3,63.086956,87.19242;4,160.64886,34.88679;5,170.62184,137.50475;1741914894.7329764;1741914894.748397;0.015421628952026367#0.00624#PreStim#PreStim
0,210.86076,81.38961;1,278.25882,119.76102;2,116.85504,84.73362;3,65.01452,102.90167;4,159.71768,34.696777;5,170.87733,138.7086;1741914894.7437482;1741914894.7543364;0.010589122772216797#0.00594#PreStim#PreStim
0,210.69907,81.043274;1,279.70322,119.65226;2,117.12842,84.016075;3,65.28687,96.022446;4,160.30144,34.74066;5,171.01805,138.49329;1741914894.7530031;1741914894.7613716;0.008369922637939453#0.00704#PreStim#PreStim
0,210.69907,81.043274;1,279.70322,119.65226;2,117.12842,84.016075;3,65.28687,96.022446;4,160.30144,34.74066;5,171.01805,138.49329;1741914894.7530031;1741914894.7675457;0.014543533325195312#0.00617#PreStim#PreStim
0,210.65659,80.97011;1,283.75452,125.060295;2,116.7769,83.025085;3,66.62691,92.960304;4,160.50702,34.75997;5,170.51813,138.44363;1741914894.7630036;1741914894.77429;0.011287689208984375#0.00675#PreStim#PreStim
0,210.44284,80.65643;1,278.17407,123.523415;2,116.863075,84.00918;3,67.7334,94.838844;4,160.7444,34.890965;5,170.6307,139.281;1741914894.7730176;1741914894.7800255;0.007009267807006836#0.00574#PreStim#PreStim
0,210.44284,80.65643;1,278.17407,123.523415;2,116.863075,84.00918;3,67.7334,94.838844;4,160.7444,34.890965;5,170.6307,139.281;1741914894.7730176;1741914894.7858915;0.012875080108642578#0.00587#PreStim#PreStim
0,210.37482,80.11336;1,282.8042,129.69818;2,116.93195,83.68838;3,69.526054,97.055275;4,160.88869,35.190228;5,170.92847,139.31282;1741914894.783009;1741914894.7917466;0.008738517761230469#0.00585#PreStim#PreStim
0,210.37482,80.11336;1,282.8042,129.69818;2,116.93195,83.68838;3,69.526054,97.055275;4,160.88869,35.190228;5,170.92847,139.31282;1741914894.783009;1741914894.7983756;0.015368223190307617#0.00663#PreStim#PreStim
0,210.4754,79.6089;1,284.85803,130.84697;2,116.91886,81.80013;3,73.53805,97.21104;4,161.0102,35.12935;5,171.03333,139.40579;1741914894.7930367;1741914894.8051565;0.012120723724365234#0.00678#PreStim#PreStim
0,209.92574,78.53852;1,286.88077,131.23094;2,117.279816,79.483734;3,71.25165,88.88947;4,161.03546,35.844315;5,170.70888,139.08086;1741914894.8030336;1741914894.8112504;0.008217811584472656#0.00609#PreStim#PreStim
0,209.92574,78.53852;1,286.88077,131.23094;2,117.279816,79.483734;3,71.25165,88.88947;4,161.03546,35.844315;5,170.70888,139.08086;1741914894.8030336;1741914894.8180997;0.015067100524902344#0.00685#PreStim#PreStim
0,209.57559,77.22534;1,280.36215,97.059715;2,117.02221,78.43813;3,65.333435,73.04188;4,159.98842,36.09005;5,170.74803,139.28333;1741914894.8130357;1741914894.823029;0.009994745254516602#0.00493#PreStim#PreStim
0,209.56642,76.801544;1,286.67825,91.26474;2,116.6081,76.95233;3,58.409412,56.21723;4,159.70816,37.82228;5,171.014,139.44974;1741914894.8130357;1741914894.8291757;0.016141176223754883#0.00614#PreStim#PreStim
0,209.56642,76.801544;1,286.67825,91.26474;2,116.6081,76.95233;3,58.409412,56.21723;4,159.70816,37.82228;5,171.014,139.44974;1741914894.8230422;1741914894.8346276;0.011586427688598633#0.00545#PreStim#PreStim
0,209.54158,76.626495;1,289.24225,92.84382;2,116.450096,76.478836;3,57.049675,56.81897;4,159.94658,37.313652;5,171.15012,139.04102;1741914894.8330517;1741914894.8403246;0.007273674011230469#0.00569#PreStim#PreStim
0,209.54158,76.626495;1,289.24225,92.84382;2,116.450096,76.478836;3,57.049675,56.81897;4,159.94658,37.313652;5,171.15012,139.04102;1741914894.8330517;1741914894.8465903;0.013539552688598633#0.00627#PreStim#PreStim
0,209.58134,76.567856;1,289.0903,92.516815;2,116.528465,76.0318;3,61.854404,56.186226;4,160.73344,37.427814;5,171.18353,138.9829;1741914894.8430552;1741914894.8522744;0.009219884872436523#0.00568#PreStim#PreStim
0,209.58134,76.567856;1,289.0903,92.516815;2,116.528465,76.0318;3,61.854404,56.186226;4,160.73344,37.427814;5,171.18353,138.9829;1741914894.8430552;1741914894.8583634;0.015309333801269531#0.00609#PreStim#PreStim
0,209.67426,76.5204;1,289.52603,93.07636;2,116.07949,75.62172;3,59.436687,56.08387;4,160.90025,37.124672;5,171.26868,139.01607;1741914894.8530765;1741914894.8661342;0.013058900833129883#0.00778#PreStim#PreStim
0,209.78128,76.36837;1,289.41946,91.64335;2,115.88794,75.521416;3,57.299904,57.99842;4,160.7068,37.44954;5,171.11217,138.90561;1741914894.8630702;1741914894.8712463;0.008177042007446289#0.0051#PreStim#PreStim
0,209.78128,76.36837;1,289.41946,91.64335;2,115.88794,75.521416;3,57.299904,57.99842;4,160.7068,37.44954;5,171.11217,138.90561;1741914894.8630702;1741914894.8781154;0.015046119689941406#0.00687#PreStim#PreStim
0,209.37135,76.54354;1,291.29044,91.62646;2,116.07928,75.15576;3,61.740257,55.370136;4,160.6913,37.12944;5,171.13951,138.68524;1741914894.8730865;1741914894.8834727;0.010387182235717773#0.00537#PreStim#PreStim
0,208.89688,76.75499;1,293.15753,91.73674;2,116.322525,75.24767;3,62.598015,54.84674;4,160.42537,37.865948;5,170.99533,138.25267;1741914894.8830976;1741914894.8888893;0.0057926177978515625#0.00541#PreStim#PreStim
0,208.89688,76.75499;1,293.15753,91.73674;2,116.322525,75.24767;3,62.598015,54.84674;4,160.42537,37.865948;5,170.99533,138.25267;1741914894.8830976;1741914894.8953087;0.012212276458740234#0.00643#PreStim#PreStim
0,208.9793,77.30508;1,292.28238,94.18415;2,116.930984,75.00215;3,63.441963,54.172955;4,160.4977,37.932705;5,170.35944,137.35121;1741914894.8931065;1741914894.900953;0.00784754753112793#0.00564#PreStim#PreStim
0,208.9793,77.30508;1,292.28238,94.18415;2,116.930984,75.00215;3,63.441963,54.172955;4,160.4977,37.932705;5,170.35944,137.35121;1741914894.8931065;1741914894.907123;0.014017820358276367#0.00617#PreStim#PreStim
0,209.39142,78.17111;1,293.27884,95.227516;2,116.91932,75.65596;3,65.54801,56.8739;4,160.7569,37.093857;5,170.28725,137.3571;1741914894.9031422;1741914894.9130452;0.00990438461303711#0.00593#PreStim#PreStim
0,209.8804,79.32519;1,288.46014,101.462234;2,117.1584,75.809235;3,59.324394,60.896538;4,160.67001,35.91716;5,170.2665,136.69511;1741914894.9031422;1741914894.9190755;0.015934228897094727#0.00601#PreStim#PreStim
0,209.8804,79.32519;1,288.46014,101.462234;2,117.1584,75.809235;3,59.324394,60.896538;4,160.67001,35.91716;5,170.2665,136.69511;1741914894.9131455;1741914894.9250143;0.011869668960571289#0.00594#PreStim#PreStim
0,210.36815,80.1069;1,285.15665,105.49499;2,116.935875,77.48413;3,61.35003,70.47473;4,160.73839,35.006004;5,170.2607,137.49216;1741914894.9231424;1741914894.9312966;0.008154869079589844#0.00628#PreStim#PreStim
0,210.36815,80.1069;1,285.15665,105.49499;2,116.935875,77.48413;3,61.35003,70.47473;4,160.73839,35.006004;5,170.2607,137.49216;1741914894.9231424;1741914894.9381986;0.015056848526000977#0.0069#PreStim#PreStim
0,210.66882,80.43556;1,281.9352,114.61831;2,117.46482,79.250755;3,62.414436,77.76612;4,161.16313,35.247746;5,170.68634,137.48436;1741914894.9331594;1741914894.9441817;0.011023283004760742#0.00599#PreStim#PreStim
0,210.90125,80.77027;1,283.96964,121.47121;2,117.61823,81.12192;3,63.253185,86.47118;4,161.58594,34.61864;5,171.46773,138.35449;1741914894.943158;1741914894.9497316;0.006574392318725586#0.00556#PreStim#PreStim
0,210.90125,80.77027;1,283.96964,121.47121;2,117.61823,81.12192;3,63.253185,86.47118;4,161.58594,34.61864;5,171.46773,138.35449;1741914894.943158;1741914894.9554298;0.012273073196411133#0.00569#PreStim#PreStim
0,210.75108,80.84582;1,285.0807,126.10833;2,117.22068,82.77608;3,66.013435,90.07593;4,161.56396,35.186413;5,171.34972,138.82;1741914894.953167;1741914894.9622493;0.009083032608032227#0.00682#PreStim#PreStim
0,210.75108,80.84582;1,285.0807,126.10833;2,117.22068,82.77608;3,66.013435,90.07593;4,161.56396,35.186413;5,171.34972,138.82;1741914894.953167;1741914894.9678981;0.014732122421264648#0.00564#PreStim#PreStim
0,211.13853,80.790634;1,284.61508,128.10619;2,116.44432,84.82915;3,66.19899,99.71302;4,161.17995,35.382042;5,171.32076,139.00134;1741914894.963164;1741914894.9737792;0.010616540908813477#0.00589#PreStim#PreStim
0,210.76978,80.07582;1,282.42007,128.82153;2,116.43014,84.97476;3,68.36514,104.797615;4,161.08682,35.57065;5,171.11592,139.29988;1741914894.973161;1741914894.9797118;0.006552457809448242#0.00593#PreStim#PreStim
0,210.76978,80.07582;1,282.42007,128.82153;2,116.43014,84.97476;3,68.36514,104.797615;4,161.08682,35.57065;5,171.11592,139.29988;1741914894.973161;1741914894.9856098;0.012450218200683594#0.0059#PreStim#PreStim
0,210.6133,79.54164;1,283.40414,130.24538;2,116.70016,84.20845;3,71.68544,104.669624;4,160.9779,35.864155;5,170.89412,139.2618;1741914894.9831781;1741914894.9912422;0.008065223693847656#0.00563#PreStim#PreStim
0,210.6133,79.54164;1,283.40414,130.24538;2,116.70016,84.20845;3,71.68544,104.669624;4,160.9779,35.864155;5,170.89412,139.2618;1741914894.9831781;1741914894.9977634;0.014586687088012695#0.00653#PreStim#PreStim
0,210.46886,78.8885;1,286.03754,131.00131;2,117.29894,80.700424;3,71.52476,92.20035;4,160.20074,36.338264;5,170.99902,139.01299;1741914894.9931808;1741914895.003863;0.010683298110961914#0.0061#PreStim#PreStim
0,209.93814,77.814896;1,283.97574,96.067955;2,116.57898,78.855705;3,63.129963,74.14575;4,159.9308,36.502686;5,171.06284,139.05809;1741914895.0032356;1741914895.01095;0.007716655731201172#0.00709#PreStim#PreStim
0,209.93814,77.814896;1,283.97574,96.067955;2,116.57898,78.855705;3,63.129963,74.14575;4,159.9308,36.502686;5,171.06284,139.05809;1741914895.0032356;1741914895.0170145;0.01378011703491211#0.00606#PreStim#PreStim
0,209.65283,76.76963;1,290.01843,95.86642;2,116.598656,76.642975;3,57.515694,57.83064;4,160.29715,37.242386;5,171.48964,139.02092;1741914895.0132027;1741914895.0228903;0.009688615798950195#0.00587#PreStim#PreStim
0,209.65434,76.680504;1,290.65744,95.46133;2,116.42495,75.738846;3,61.27505,57.38688;4,160.91139,37.677017;5,171.446,138.82985;1741914895.0132027;1741914895.0293152;0.016113758087158203#0.00643#PreStim#PreStim
0,209.65434,76.680504;1,290.65744,95.46133;2,116.42495,75.738846;3,61.27505,57.38688;4,160.91139,37.677017;5,171.446,138.82985;1741914895.0232208;1741914895.0345733;0.011353254318237305#0.00526#PreStim#PreStim
0,209.6082,76.733925;1,290.603,94.65834;2,116.473045,75.07422;3,63.639385,55.96201;4,161.35341,37.657715;5,171.46269,138.84831;1741914895.033224;1741914895.041061;0.007837772369384766#0.00649#PreStim#PreStim
0,209.6082,76.733925;1,290.603,94.65834;2,116.473045,75.07422;3,63.639385,55.96201;4,161.35341,37.657715;5,171.46269,138.84831;1741914895.033224;1741914895.0466883;0.013464927673339844#0.00563#PreStim#PreStim
0,209.1138,76.921844;1,292.5383,95.563194;2,116.426926,74.78411;3,64.34382,55.74617;4,161.63791,37.375492;5,171.26062,138.51581;1741914895.043233;1741914895.052396;0.009164094924926758#0.0057#PreStim#PreStim
0,209.1138,76.921844;1,292.5383,95.563194;2,116.426926,74.78411;3,64.34382,55.74617;4,161.63791,37.375492;5,171.26062,138.51581;1741914895.043233;1741914895.0594277;0.016196012496948242#0.00703#PreStim#PreStim
