ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,209.58676,77.201164;1,286.92242,104.0843;2,116.16235,86.60948;3,66.90442,115.52471;4,156.91403,37.367096;5,170.82863,136.79694;1741914987.8114123;1741914987.8186574;0.007246255874633789#0.07298#PreStim#PreStim
0,209.58676,77.201164;1,286.92242,104.0843;2,116.16235,86.60948;3,66.90442,115.52471;4,156.91403,37.367096;5,170.82863,136.79694;1741914987.8114123;1741914987.826475;0.015064239501953125#0.00782#PreStim#PreStim
0,209.28,75.58878;1,284.49838,81.77306;2,116.99457,84.20909;3,70.56086,106.41748;4,157.04471,37.78327;5,170.75461,137.44284;1741914987.8214061;1741914987.8312092;0.009804010391235352#0.00473#PreStim#PreStim
0,208.1724,73.36671;1,290.9335,57.12954;2,116.19775,84.44047;3,66.96407,99.57198;4,157.12666,38.42816;5,170.70593,138.66853;1741914987.8214061;1741914987.836304;0.01489877700805664#0.0051#PreStim#PreStim
0,208.1724,73.36671;1,290.9335,57.12954;2,116.19775,84.44047;3,66.96407,99.57198;4,157.12666,38.42816;5,170.70593,138.66853;1741914987.831447;1741914987.84229;0.010843753814697266#0.006#PreStim#PreStim
0,208.24284,73.756424;1,293.46753,58.849873;2,115.23037,84.92792;3,59.991653,100.01596;4,157.80144,37.902287;5,171.18353,139.67323;1741914987.841427;1741914987.8490555;0.0076296329498291016#0.00675#PreStim#PreStim
0,208.24284,73.756424;1,293.46753,58.849873;2,115.23037,84.92792;3,59.991653,100.01596;4,157.80144,37.902287;5,171.18353,139.67323;1741914987.841427;1741914987.8541305;0.01270437240600586#0.00508#PreStim#PreStim
0,208.18169,73.47936;1,293.39526,55.680435;2,113.9613,85.03064;3,55.789314,102.1499;4,157.53069,38.446846;5,171.41547,139.83351;1741914987.851426;1741914987.8606784;0.009253501892089844#0.00654#PreStim#PreStim
0,208.18169,73.47936;1,293.39526,55.680435;2,113.9613,85.03064;3,55.789314,102.1499;4,157.53069,38.446846;5,171.41547,139.83351;1741914987.851426;1741914987.866287;0.014862060546875#0.00561#PreStim#PreStim
0,208.33926,73.71615;1,293.62225,57.314903;2,113.59911,84.40274;3,57.043724,97.27191;4,158.44258,38.769993;5,171.41858,140.13783;1741914987.861431;1741914987.8720634;0.010634183883666992#0.00579#PreStim#PreStim
0,208.55707,73.56942;1,292.56534,55.120678;2,114.528824,83.634056;3,50.41772,100.23903;4,157.85323,38.865856;5,171.12845,140.28221;1741914987.8714385;1741914987.8787029;0.007265329360961914#0.00663#PreStim#PreStim
0,208.55707,73.56942;1,292.56534,55.120678;2,114.528824,83.634056;3,50.41772,100.23903;4,157.85323,38.865856;5,171.12845,140.28221;1741914987.8714385;1741914987.8843508;0.012913227081298828#0.00565#PreStim#PreStim
0,208.46004,74.19011;1,296.18707,56.844124;2,114.99251,83.4685;3,53.64534,100.89142;4,158.62984,38.932663;5,171.27858,140.19954;1741914987.8814547;1741914987.8902233;0.008769750595092773#0.00587#PreStim#PreStim
0,208.46004,74.19011;1,296.18707,56.844124;2,114.99251,83.4685;3,53.64534,100.89142;4,158.62984,38.932663;5,171.27858,140.19954;1741914987.8814547;1741914987.896478;0.015024185180664062#0.00625#PreStim#PreStim
0,207.49754,74.44787;1,297.27737,60.589268;2,115.73715,83.79713;3,58.547535,95.36797;4,158.33191,38.145695;5,171.21056,139.16328;1741914987.891475;1741914987.9026191;0.011145353317260742#0.00615#PreStim#PreStim
0,208.47313,75.970535;1,292.1347,73.93237;2,115.728386,85.53687;3,58.65145,105.56797;4,157.1686,37.498108;5,170.97087,138.62527;1741914987.9014764;1741914987.908268;0.006792306900024414#0.00564#PreStim#PreStim
0,208.47313,75.970535;1,292.1347,73.93237;2,115.728386,85.53687;3,58.65145,105.56797;4,157.1686,37.498108;5,170.97087,138.62527;1741914987.9014764;1741914987.914545;0.01307058334350586#0.00629#PreStim#PreStim
