ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,208.98021,76.5493;1,283.58417,84.95984;2,116.08664,79.0688;3,58.18259,72.80107;4,158.9464,37.154125;5,170.32437,136.69006;1741915018.8677952;1741915018.881745;0.01395106315612793#0.05613#PreStim#PreStim
0,208.82281,76.14005;1,287.26627,86.43191;2,116.13891,76.83139;3,54.280876,58.63082;4,159.21844,37.573322;5,170.55641,136.62001;1741915018.8775897;1741915018.8865988;0.00901031494140625#0.00485#PreStim#PreStim
0,208.82281,76.14005;1,287.26627,86.43191;2,116.13891,76.83139;3,54.280876,58.63082;4,159.21844,37.573322;5,170.55641,136.62001;1741915018.8775897;1741915018.892172;0.014583587646484375#0.00557#PreStim#PreStim
0,208.99423,76.29892;1,287.60703,85.98765;2,115.83752,76.451584;3,55.943237,59.706528;4,159.74269,37.40835;5,170.39488,136.99455;1741915018.8875852;1741915018.8985562;0.010972738265991211#0.00639#PreStim#PreStim
0,209.08636,76.30205;1,288.31885,87.57361;2,115.9034,75.807076;3,58.894165,57.100674;4,160.44238,37.957172;5,170.28606,136.82689;1741915018.8976054;1741915018.9041755;0.006571292877197266#0.00561#PreStim#PreStim
0,209.08636,76.30205;1,288.31885,87.57361;2,115.9034,75.807076;3,58.894165,57.100674;4,160.44238,37.957172;5,170.28606,136.82689;1741915018.8976054;1741915018.9107528;0.013148784637451172#0.00658#PreStim#PreStim
0,208.61906,74.93316;1,288.3755,84.03102;2,115.96836,75.915;3,57.977726,57.22932;4,161.08195,37.348946;5,170.44545,137.10428;1741915018.9075987;1741915018.916541;0.008943557739257812#0.00579#PreStim#PreStim
0,208.61906,74.93316;1,288.3755,84.03102;2,115.96836,75.915;3,57.977726,57.22932;4,161.08195,37.348946;5,170.44545,137.10428;1741915018.9075987;1741915018.9222565;0.014658689498901367#0.00571#PreStim#PreStim
0,208.85446,75.77411;1,288.13263,86.16863;2,115.93004,75.763374;3,53.602238,60.90061;4,160.71808,37.53414;5,170.39453,137.44421;1741915018.9176097;1741915018.9289656;0.011357307434082031#0.00671#PreStim#PreStim
0,208.93044,76.01322;1,287.41635,86.2619;2,115.59094,76.39094;3,49.72546,66.14837;4,159.91235,38.291943;5,170.12753,136.95259;1741915018.927606;1741915018.9346063;0.007001161575317383#0.00564#PreStim#PreStim
