OOI ID,Name,Object Type,Speed,Initial Behaviour,EncounterBehaviour
24,Dandelion_Y4,StaticOOI,1,Patrol,None

X position, Y position, Z position, X rotation, Y rotation, Z rotation, X scale, Y scale, Z scale, TimeSinceLastUpdate
N:PreStim Started,,,,,,,,,20250314_93904.754486
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006059786
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006059786
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.02
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060472
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006061373
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060158
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006061345
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060044
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060797
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006061216
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060273
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060645
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060739
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060995
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006061319
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060244
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006061575
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060057
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060529
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006061182
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060581
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060608
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060952
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060487
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006061427
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006059843
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060994
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006061283
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006059901
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.00609982
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060629
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060494
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006060755
-0.72,-0.3,3.72,0,0,0,0.2,0.2,0.2,0.006061239
