ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,207.77039,92.542786;1,288.60748,112.49139;2,113.048615,92.14596;3,60.33329,105.29248;4,162.8092,47.709984;5,157.63719,147.34021;1742258637.5732794;1742258637.5911255;0.017847061157226562#0.0473#PreStim#PreStim
0,207.96852,90.0303;1,283.41998,105.838806;2,112.41262,90.17956;3,55.071404,101.98082;4,162.54872,47.28576;5,157.86137,147.44252;1742258637.583297;1742258637.5966322;0.013336420059204102#0.00551#PreStim#PreStim
0,207.64742,91.18854;1,287.1576,109.265434;2,112.88473,90.299644;3,58.93673,102.01195;4,163.11629,47.5219;5,157.6708,147.30772;1742258637.593286;1742258637.6020663;0.008781671524047852#0.00543#PreStim#PreStim
0,207.64742,91.18854;1,287.1576,109.265434;2,112.88473,90.299644;3,58.93673,102.01195;4,163.11629,47.5219;5,157.6708,147.30772;1742258637.593286;1742258637.607473;0.014187812805175781#0.00541#PreStim#PreStim
0,208.04659,90.19765;1,282.77795,108.53522;2,112.61019,90.74634;3,57.44501,104.229225;4,162.56406,47.797215;5,157.81549,147.57533;1742258637.6032882;1742258637.6131587;0.009871244430541992#0.00568#PreStim#PreStim
0,207.99011,90.13914;1,286.34164,109.53807;2,112.590836,90.33892;3,57.04444,103.47041;4,162.72025,47.58733;5,158.64111,146.87349;1742258637.6032882;1742258637.619348;0.016060829162597656#0.00619#PreStim#PreStim
0,207.99011,90.13914;1,286.34164,109.53807;2,112.590836,90.33892;3,57.04444,103.47041;4,162.72025,47.58733;5,158.64111,146.87349;1742258637.6133168;1742258637.6256106;0.012294769287109375#0.00626#PreStim#PreStim
0,207.7937,90.34659;1,281.865,114.87736;2,112.96963,90.52526;3,57.3629,103.50927;4,162.82796,47.70778;5,157.75703,147.45381;1742258637.623309;1742258637.6313725;0.008064746856689453#0.00576#PreStim#PreStim
0,207.7937,90.34659;1,281.865,114.87736;2,112.96963,90.52526;3,57.3629,103.50927;4,162.82796,47.70778;5,157.75703,147.45381;1742258637.623309;1742258637.6373887;0.014081001281738281#0.00601#PreStim#PreStim
0,208.22049,90.18349;1,285.3228,107.87877;2,112.974075,90.34232;3,57.126328,105.114914;4,162.78226,48.2355;5,157.65027,147.55779;1742258637.6333194;1742258637.6439743;0.01065683364868164#0.0066#PreStim#PreStim
0,207.45992,90.81435;1,281.39642,115.18548;2,112.93339,88.475624;3,61.786594,100.102295;4,163.06561,47.39709;5,158.48875,146.45157;1742258637.6433215;1742258637.6495628;0.006242275238037109#0.00558#PreStim#PreStim
0,207.45992,90.81435;1,281.39642,115.18548;2,112.93339,88.475624;3,61.786594,100.102295;4,163.06561,47.39709;5,158.48875,146.45157;1742258637.6433215;1742258637.6556163;0.012295722961425781#0.00606#PreStim#PreStim
0,208.00372,90.12656;1,284.8321,109.29512;2,112.60649,88.748474;3,58.827187,95.36866;4,163.24623,48.187763;5,157.81772,147.65215;1742258637.653352;1742258637.6616402;0.008289098739624023#0.00602#PreStim#PreStim
0,208.00372,90.12656;1,284.8321,109.29512;2,112.60649,88.748474;3,58.827187,95.36866;4,163.24623,48.187763;5,157.81772,147.65215;1742258637.653352;1742258637.667872;0.014520883560180664#0.00623#PreStim#PreStim
