ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,207.47507,90.13482;1,284.52478,107.321045;2,112.88873,91.19628;3,58.796017,110.85011;4,162.42755,46.215237;5,158.79619,145.88187;1742258919.59762;1742258919.6113992;0.013780355453491211#0.05517#PreStim#PreStim
0,207.6732,84.6099;1,297.8238,82.00269;2,112.6694,89.532585;3,61.710903,96.6402;4,163.64214,47.00046;5,158.63707,147.47926;1742258919.6075842;1742258919.616178;0.008594751358032227#0.00477#PreStim#PreStim
0,207.6732,84.6099;1,297.8238,82.00269;2,112.6694,89.532585;3,61.710903,96.6402;4,163.64214,47.00046;5,158.63707,147.47926;1742258919.6075842;1742258919.6214733;0.01389002799987793#0.0053#PreStim#PreStim
0,207.66945,89.88667;1,291.32834,108.46205;2,113.01699,90.90088;3,57.938156,108.21615;4,162.85626,46.337097;5,157.98213,146.56169;1742258919.6176028;1742258919.627595;0.009993314743041992#0.00613#PreStim#PreStim
0,207.37006,85.40181;1,297.7195,89.78726;2,112.38954,90.82604;3,61.089417,105.54258;4,163.32343,46.76533;5,158.28812,147.25443;1742258919.6176028;1742258919.6333506;0.01574850082397461#0.00575#PreStim#PreStim
0,207.37006,85.40181;1,297.7195,89.78726;2,112.38954,90.82604;3,61.089417,105.54258;4,163.32343,46.76533;5,158.28812,147.25443;1742258919.627607;1742258919.6393173;0.01171112060546875#0.00597#PreStim#PreStim
0,207.56575,86.99937;1,291.47507,91.12387;2,112.94597,89.87591;3,61.947483,107.27346;4,162.31442,47.15807;5,158.73605,145.88423;1742258919.6376214;1742258919.6452565;0.007636070251464844#0.00593#PreStim#PreStim
0,207.56575,86.99937;1,291.47507,91.12387;2,112.94597,89.87591;3,61.947483,107.27346;4,162.31442,47.15807;5,158.73605,145.88423;1742258919.6376214;1742258919.6514506;0.013830184936523438#0.0062#PreStim#PreStim
0,208.06166,86.03886;1,296.25165,92.075325;2,112.97871,89.74763;3,58.624313,98.0677;4,163.19405,47.222816;5,158.43831,147.33365;1742258919.647625;1742258919.6580012;0.010377645492553711#0.00656#PreStim#PreStim
0,207.96796,87.557724;1,283.4114,99.410034;2,112.57085,90.72014;3,59.048832,106.51962;4,162.08794,46.96998;5,158.83432,146.39449;1742258919.6576545;1742258919.6637714;0.006117582321166992#0.00577#PreStim#PreStim
0,207.96796,87.557724;1,283.4114,99.410034;2,112.57085,90.72014;3,59.048832,106.51962;4,162.08794,46.96998;5,158.83432,146.39449;1742258919.6576545;1742258919.6696084;0.011955022811889648#0.00583#PreStim#PreStim
0,208.07161,86.93939;1,288.36633,99.89595;2,112.77344,89.72426;3,57.417587,101.15959;4,162.63054,46.860023;5,158.72847,146.6373;1742258919.6676533;1742258919.6762004;0.008548736572265625#0.0066#PreStim#PreStim
0,208.07161,86.93939;1,288.36633,99.89595;2,112.77344,89.72426;3,57.417587,101.15959;4,162.63054,46.860023;5,158.72847,146.6373;1742258919.6676533;1742258919.6821787;0.014526605606079102#0.00598#PreStim#PreStim
0,207.85515,87.562065;1,286.95615,101.15965;2,113.04494,90.995;3,57.292416,107.61918;4,162.48982,47.07603;5,157.89952,147.11891;1742258919.6776528;1742258919.6876874;0.010035514831542969#0.00551#PreStim#PreStim
0,208.23972,88.65928;1,286.92993,104.93407;2,112.859314,90.696304;3,57.42915,105.474;4,162.85721,46.787663;5,157.8886,147.36638;1742258919.6776528;1742258919.6940958;0.016445159912109375#0.00642#PreStim#PreStim
0,208.23972,88.65928;1,286.92993,104.93407;2,112.859314,90.696304;3,57.42915,105.474;4,162.85721,46.787663;5,157.8886,147.36638;1742258919.687671;1742258919.6999235;0.012253522872924805#0.00582#PreStim#PreStim
0,207.88501,89.873375;1,285.0448,115.04706;2,112.77802,88.832275;3,62.66402,104.845856;4,163.42711,47.083374;5,158.52103,146.07079;1742258919.6976829;1742258919.7056723;0.007990360260009766#0.00575#PreStim#PreStim
0,207.88501,89.873375;1,285.0448,115.04706;2,112.77802,88.832275;3,62.66402,104.845856;4,163.42711,47.083374;5,158.52103,146.07079;1742258919.6976829;1742258919.711947;0.014265775680541992#0.00628#PreStim#PreStim
0,208.42949,89.66314;1,286.05045,110.43193;2,113.227516,89.224556;3,59.147083,98.53759;4,163.57378,47.20173;5,157.7729,147.38315;1742258919.707683;1742258919.7180207;0.010339021682739258#0.00608#PreStim#PreStim
0,208.09114,89.777855;1,282.55865,115.66111;2,112.642075,90.95326;3,57.451805,108.45117;4,162.81155,47.266193;5,158.8854,146.467;1742258919.717688;1742258919.7247138;0.00702667236328125#0.00669#PreStim#PreStim
0,208.09114,89.777855;1,282.55865,115.66111;2,112.642075,90.95326;3,57.451805,108.45117;4,162.81155,47.266193;5,158.8854,146.467;1742258919.717688;1742258919.730317;0.012629985809326172#0.0056#PreStim#PreStim
0,207.77655,87.08258;1,288.155,100.071075;2,112.61336,90.91589;3,55.235302,105.37984;4,162.20302,47.156162;5,157.91217,147.19511;1742258919.727687;1742258919.736318;0.008632183074951172#0.006#PreStim#PreStim
0,207.77655,87.08258;1,288.155,100.071075;2,112.61336,90.91589;3,55.235302,105.37984;4,162.20302,47.156162;5,157.91217,147.19511;1742258919.727687;1742258919.7429917;0.015306711196899414#0.00668#PreStim#PreStim
0,207.94766,90.101204;1,282.52417,114.14395;2,112.799774,89.781586;3,60.420692,106.64266;4,163.05505,46.991604;5,158.5113,146.15656;1742258919.7377055;1742258919.749129;0.011424541473388672#0.00613#PreStim#PreStim
0,208.0135,87.18579;1,288.35272,100.340324;2,112.98529,90.72996;3,56.99142,105.71986;4,162.4478,47.235443;5,158.1538,147.3778;1742258919.7477026;1742258919.7544892;0.006787300109863281#0.00535#PreStim#PreStim
0,208.0135,87.18579;1,288.35272,100.340324;2,112.98529,90.72996;3,56.99142,105.71986;4,162.4478,47.235443;5,158.1538,147.3778;1742258919.7477026;1742258919.7605357;0.012834310531616211#0.00605#PreStim#PreStim
