ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,206.5317,82.29103;1,298.06458,61.342606;2,110.96028,91.54116;3,62.04379,107.6927;4,161.87463,46.298695;5,158.15059,147.74214;1742259062.2465181;1742259062.2597916;0.013274669647216797#0.04893#PreStim#PreStim
0,206.75671,83.90703;1,290.38522,80.016785;2,111.894226,92.57891;3,57.93063,110.170555;4,162.05367,44.803185;5,158.88705,146.1677;1742259062.256542;1742259062.2664893;0.009948492050170898#0.00671#PreStim#PreStim
0,206.82225,82.726006;1,292.76166,68.597206;2,112.31295,92.09023;3,63.22887,107.742935;4,162.75499,46.226112;5,158.65482,147.85115;1742259062.256542;1742259062.2715964;0.015055656433105469#0.0051#PreStim#PreStim
0,206.82225,82.726006;1,292.76166,68.597206;2,112.31295,92.09023;3,63.22887,107.742935;4,162.75499,46.226112;5,158.65482,147.85115;1742259062.2665617;1742259062.2772148;0.010654211044311523#0.00563#PreStim#PreStim
0,207.35698,86.87842;1,293.23193,85.20908;2,111.87418,93.27047;3,57.32129,115.16579;4,161.43588,46.619965;5,158.89674,146.12862;1742259062.276556;1742259062.2825499;0.0059947967529296875#0.00533#PreStim#PreStim
0,207.35698,86.87842;1,293.23193,85.20908;2,111.87418,93.27047;3,57.32129,115.16579;4,161.43588,46.619965;5,158.89674,146.12862;1742259062.276556;1742259062.2883399;0.011785507202148438#0.00579#PreStim#PreStim
0,206.928,83.1391;1,292.58853,68.71205;2,112.21423,91.91935;3,63.30254,107.3224;4,162.83943,46.416695;5,158.58539,147.88556;1742259062.286568;1742259062.2942674;0.007700443267822266#0.00592#PreStim#PreStim
0,206.928,83.1391;1,292.58853,68.71205;2,112.21423,91.91935;3,63.30254,107.3224;4,162.83943,46.416695;5,158.58539,147.88556;1742259062.286568;1742259062.3004506;0.013883590698242188#0.00619#PreStim#PreStim
0,207.47849,87.85444;1,292.07864,89.78696;2,111.87917,92.36772;3,59.78396,114.478775;4,161.45969,46.70771;5,158.78581,146.22041;1742259062.2965946;1742259062.3062515;0.009657859802246094#0.00579#PreStim#PreStim
0,207.47849,87.85444;1,292.07864,89.78696;2,111.87917,92.36772;3,59.78396,114.478775;4,161.45969,46.70771;5,158.78581,146.22041;1742259062.2965946;1742259062.3125708;0.015977144241333008#0.00633#PreStim#PreStim
0,206.82152,83.25161;1,293.04233,68.123535;2,112.16908,91.89697;3,63.088135,107.50982;4,162.88193,46.07139;5,158.1915,147.8664;1742259062.3065836;1742259062.3184311;0.01184844970703125#0.00586#PreStim#PreStim
0,206.99678,86.493095;1,301.70984,69.929924;2,111.834206,92.14629;3,59.27635,115.27305;4,161.27617,47.510838;5,158.73997,146.2911;1742259062.3165894;1742259062.3251662;0.008578300476074219#0.00674#PreStim#PreStim
0,206.99678,86.493095;1,301.70984,69.929924;2,111.834206,92.14629;3,59.27635,115.27305;4,161.27617,47.510838;5,158.73997,146.2911;1742259062.3165894;1742259062.3309479;0.014359474182128906#0.00578#PreStim#PreStim
0,206.73364,83.4588;1,294.37952,68.01715;2,112.19695,92.607506;3,62.46524,109.12321;4,163.13977,46.315254;5,158.17769,147.91484;1742259062.3266098;1742259062.3367143;0.010105609893798828#0.00576#PreStim#PreStim
0,206.56566,83.914734;1,292.55438,67.85165;2,110.97277,92.09355;3,64.33155,112.93248;4,162.13864,46.878174;5,158.0234,147.56363;1742259062.3366501;1742259062.343314;0.006664752960205078#0.00659#PreStim#PreStim
0,206.56566,83.914734;1,292.55438,67.85165;2,110.97277,92.09355;3,64.33155,112.93248;4,162.13864,46.878174;5,158.0234,147.56363;1742259062.3366501;1742259062.3490453;0.012396097183227539#0.00573#PreStim#PreStim
