ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,208.18759,91.09785;1,293.4893,112.90284;2,112.73524,90.75599;3,58.01999,99.63799;4,163.8371,47.376984;5,157.6257,147.17117;1742259223.68157;1742259223.695846;0.014277219772338867#0.06028#PreStim#PreStim
0,208.56526,89.695435;1,288.6719,107.814476;2,112.841995,90.64236;3,57.4814,104.36853;4,163.14104,47.30522;5,158.28545,147.61284;1742259223.6915815;1742259223.701041;0.00946044921875#0.0052#PreStim#PreStim
0,208.56526,89.695435;1,288.6719,107.814476;2,112.841995,90.64236;3,57.4814,104.36853;4,163.14104,47.30522;5,158.28545,147.61284;1742259223.6915815;1742259223.7066164;0.01503610610961914#0.00557#PreStim#PreStim
0,208.23155,92.18929;1,294.58286,113.91067;2,112.80321,92.39808;3,60.445168,110.06399;4,164.00926,47.45088;5,157.77637,147.1339;1742259223.7015667;1742259223.7123685;0.010802745819091797#0.00575#PreStim#PreStim
0,208.29347,89.92438;1,290.39893,111.88816;2,112.467354,89.480354;3,60.721573,98.26677;4,163.9096,46.69246;5,158.00648,147.79163;1742259223.7115798;1742259223.7198539;0.008275032043457031#0.00748#PreStim#PreStim
0,208.29347,89.92438;1,290.39893,111.88816;2,112.467354,89.480354;3,60.721573,98.26677;4,163.9096,46.69246;5,158.00648,147.79163;1742259223.7115798;1742259223.7257237;0.014144659042358398#0.00587#PreStim#PreStim
0,208.6825,93.126945;1,294.21686,118.28337;2,112.993065,91.08517;3,63.509277,105.99693;4,164.4512,47.27867;5,157.68134,147.35783;1742259223.7215772;1742259223.7322543;0.010678291320800781#0.00654#PreStim#PreStim
0,208.30391,89.50665;1,291.48227,106.89199;2,112.50939,90.51885;3,59.838272,105.55101;4,163.60663,46.874584;5,158.08359,147.73914;1742259223.7316108;1742259223.7374206;0.005810737609863281#0.00515#PreStim#PreStim
0,208.30391,89.50665;1,291.48227,106.89199;2,112.50939,90.51885;3,59.838272,105.55101;4,163.60663,46.874584;5,158.08359,147.73914;1742259223.7316108;1742259223.7434156;0.01180577278137207#0.006#PreStim#PreStim
0,208.79205,93.14174;1,291.70032,117.80152;2,112.76219,91.658646;3,63.4345,111.70748;4,164.33191,46.74426;5,157.74353,147.17528;1742259223.7423952;1742259223.749332;0.006937503814697266#0.00591#PreStim#PreStim
0,208.79205,93.14174;1,291.70032,117.80152;2,112.76219,91.658646;3,63.4345,111.70748;4,164.33191,46.74426;5,157.74353,147.17528;1742259223.7423952;1742259223.7566822;0.014288187026977539#0.00735#PreStim#PreStim
0,208.23082,89.654594;1,292.25455,110.05255;2,112.2081,88.739944;3,61.54623,95.29194;4,164.28612,47.241013;5,157.81865,147.90993;1742259223.7516124;1742259223.7621212;0.010510444641113281#0.00545#PreStim#PreStim
0,208.58954,92.74156;1,289.45166,122.60494;2,112.77595,90.83497;3,61.53649,109.79028;4,164.38182,46.751137;5,157.81581,147.03848;1742259223.7616313;1742259223.7675748;0.005944490432739258#0.00544#PreStim#PreStim
0,208.58954,92.74156;1,289.45166,122.60494;2,112.77595,90.83497;3,61.53649,109.79028;4,164.38182,46.751137;5,157.81581,147.03848;1742259223.7616313;1742259223.773139;0.011508703231811523#0.00557#PreStim#PreStim
0,208.29579,89.568634;1,292.34644,112.60942;2,112.34017,88.121185;3,62.03637,93.742134;4,164.36375,47.923767;5,157.8081,147.84532;1742259223.771624;1742259223.7788618;0.007239103317260742#0.00572#PreStim#PreStim
0,208.29579,89.568634;1,292.34644,112.60942;2,112.34017,88.121185;3,62.03637,93.742134;4,164.36375,47.923767;5,157.8081,147.84532;1742259223.771624;1742259223.7848468;0.013223886489868164#0.00599#PreStim#PreStim
0,208.41727,91.64449;1,293.5688,134.05283;2,112.67772,90.83726;3,61.409164,108.87192;4,164.03912,47.281002;5,158.8258,146.41078;1742259223.7816517;1742259223.7916026;0.009952783584594727#0.00676#PreStim#PreStim
0,208.46301,89.720894;1,293.4697,114.31589;2,112.86989,90.50994;3,59.77117,106.39783;4,164.0636,47.912766;5,157.62358,147.82448;1742259223.7816517;1742259223.7980523;0.01640152931213379#0.00644#PreStim#PreStim
