ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,207.19339,83.32533;1,298.0277,56.43479;2,110.65605,91.560616;3,61.008003,118.41609;4,161.21655,47.339546;5,158.25768,148.20688;1742259347.8756526;1742259347.89049;0.014839410781860352#0.04067#PreStim#PreStim
0,206.7929,84.769295;1,299.4978,60.371216;2,110.490875,94.250046;3,60.09024,120.896;4,159.67294,49.127197;5,158.49309,146.34991;1742259347.8856542;1742259347.8974135;0.011760711669921875#0.00692#PreStim#PreStim
0,206.5395,82.72149;1,294.08923,71.13633;2,110.44943,92.08167;3,63.020058,111.58466;4,161.46559,46.271652;5,158.16699,146.86841;1742259347.8956573;1742259347.9026418;0.00698542594909668#0.00521#PreStim#PreStim
0,206.5395,82.72149;1,294.08923,71.13633;2,110.44943,92.08167;3,63.020058,111.58466;4,161.46559,46.271652;5,158.16699,146.86841;1742259347.8956573;1742259347.9085026;0.012846231460571289#0.00587#PreStim#PreStim
0,206.85022,82.713486;1,297.97775,55.972942;2,111.825554,91.088936;3,63.40374,114.38142;4,161.03204,48.02884;5,158.18767,147.72345;1742259347.9056659;1742259347.9137285;0.008063554763793945#0.00522#PreStim#PreStim
0,206.85022,82.713486;1,297.97775,55.972942;2,111.825554,91.088936;3,63.40374,114.38142;4,161.03204,48.02884;5,158.18767,147.72345;1742259347.9056659;1742259347.9198623;0.014197111129760742#0.00614#PreStim#PreStim
0,207.43814,86.910385;1,291.13196,96.52648;2,110.79071,94.04944;3,58.7122,117.670456;4,159.81444,48.03193;5,158.1727,145.53023;1742259347.9156802;1742259347.926293;0.010614156723022461#0.00644#PreStim#PreStim
0,207.06,82.74581;1,298.13397,66.06663;2,110.81153,91.60311;3,55.680225,108.338585;4,161.33159,46.872917;5,158.04085,146.81226;1742259347.9256854;1742259347.9315586;0.005874156951904297#0.00525#PreStim#PreStim
0,207.06,82.74581;1,298.13397,66.06663;2,110.81153,91.60311;3,55.680225,108.338585;4,161.33159,46.87292;5,158.04085,146.81226;1742259347.9256854;1742259347.9373636;0.011679410934448242#0.00581#PreStim#PreStim
0,207.13597,82.7094;1,293.29443,55.5624;2,111.01798,91.77536;3,55.216385,114.32359;4,160.61368,47.874107;5,157.97601,147.83627;1742259347.9356933;1742259347.9439306;0.008238792419433594#0.00656#PreStim#PreStim
0,207.13597,82.7094;1,293.29443,55.5624;2,111.01798,91.77536;3,55.216385,114.32359;4,160.61368,47.874107;5,157.97601,147.83627;1742259347.9356933;1742259347.9502108;0.014518499374389648#0.00628#PreStim#PreStim
0,206.99551,85.46057;1,290.8036,58.170746;2,110.853966,94.13854;3,57.122227,121.9576;4,159.28871,48.522614;5,158.207,146.12947;1742259347.9456928;1742259347.9555705;0.009878396987915039#0.00535#PreStim#PreStim
0,206.47798,82.76276;1,292.29703,73.29849;2,111.02085,94.56108;3,57.769157,119.70674;4,159.6932,46.805317;5,157.96909,145.8171;1742259347.9456928;1742259347.9618168;0.016124725341796875#0.00626#PreStim#PreStim
0,206.47798,82.76276;1,292.29703,73.29849;2,111.02085,94.56108;3,57.769157,119.70674;4,159.6932,46.805317;5,157.96909,145.8171;1742259347.9557085;1742259347.967593;0.011885881423950195#0.00577#PreStim#PreStim
0,207.34518,82.717285;1,293.76364,57.35106;2,110.647064,93.87467;3,55.50185,119.96638;4,160.4957,47.06477;5,158.53009,148.4241;1742259347.965712;1742259347.9735649;0.007853984832763672#0.00596#PreStim#PreStim
0,207.34518,82.717285;1,293.76364,57.35106;2,110.647064,93.87467;3,55.50185,119.96638;4,160.4957,47.06477;5,158.53009,148.4241;1742259347.965712;1742259347.9799178;0.014206886291503906#0.00636#PreStim#PreStim
0,206.71411,82.838646;1,294.7215,57.701416;2,110.48435,93.456535;3,58.36994,115.36929;4,160.51648,47.820415;5,158.61777,148.03981;1742259347.9757235;1742259347.9857874;0.010065317153930664#0.00587#PreStim#PreStim
0,207.50998,89.19371;1,293.1754,90.41118;2,111.553154,93.36377;3,62.751587,116.34375;4,161.02417,47.14051;5,158.59439,146.25941;1742259347.9857368;1742259347.9926262;0.006890296936035156#0.00683#PreStim#PreStim
0,207.50998,89.19371;1,293.1754,90.41118;2,111.553154,93.36377;3,62.751587,116.34375;4,161.02417,47.14051;5,158.59439,146.25941;1742259347.9857368;1742259347.9981446;0.012408733367919922#0.00552#PreStim#PreStim
0,207.85416,86.67966;1,293.86124,98.38271;2,111.256096,92.9712;3,59.469345,113.93878;4,161.61992,47.105427;5,158.27112,147.25291;1742259347.9957452;1742259348.004342;0.008597850799560547#0.0062#PreStim#PreStim
