ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,208.12448,90.67058;1,287.6679,110.24007;2,113.0562,91.36802;3,57.67504,108.61129;4,163.15337,46.783592;5,158.72227,146.25955;1742259630.9633794;1742259630.9724748;0.009096622467041016#0.04931#PreStim#PreStim
0,208.12448,90.67058;1,287.6679,110.24007;2,113.0562,91.36802;3,57.67504,108.61129;4,163.15337,46.783592;5,158.72227,146.25955;1742259630.9633794;1742259630.9803603;0.016981840133666992#0.00789#PreStim#PreStim
0,208.24637,90.00749;1,283.86407,108.994446;2,113.16383,88.70905;3,58.128075,97.39481;4,163.10767,46.067688;5,158.1684,147.1984;1742259630.9733968;1742259630.9857175;0.012321710586547852#0.00536#PreStim#PreStim
0,208.22748,91.047714;1,286.92297,113.34205;2,113.227776,90.596695;3,58.213932,104.9686;4,163.63753,46.858788;5,158.6356,146.55325;1742259630.9833877;1742259630.9949126;0.011525869369506836#0.0092#PreStim#PreStim
0,208.40996,90.497604;1,285.38,110.9746;2,112.9257,90.42702;3,57.282104,104.366905;4,163.02998,46.69187;5,157.85492,147.51175;1742259630.9934018;1742259631.00099;0.007589101791381836#0.00607#PreStim#PreStim
0,208.40996,90.497604;1,285.38,110.9746;2,112.9257,90.42702;3,57.282104,104.366905;4,163.02998,46.69187;5,157.85492,147.51175;1742259630.9934018;1742259631.007094;0.01369333267211914#0.00611#PreStim#PreStim
0,207.8759,90.45391;1,286.93826,110.53795;2,113.07791,90.681175;3,58.066525,106.32248;4,163.51073,46.739876;5,158.80504,146.38684;1742259631.003406;1742259631.0132797;0.009874582290649414#0.00618#PreStim#PreStim
0,208.61128,90.340675;1,283.617,112.34556;2,113.06301,90.39247;3,57.998604,104.91319;4,163.08195,46.941128;5,158.18866,147.23062;1742259631.003406;1742259631.0192814;0.015876293182373047#0.00601#PreStim#PreStim
0,208.61128,90.340675;1,283.617,112.34556;2,113.06301,90.39247;3,57.998604,104.91319;4,163.08195,46.941128;5,158.18866,147.23062;1742259631.01344;1742259631.0252788;0.011840105056762695#0.006#PreStim#PreStim
0,208.28264,90.019135;1,287.6121,114.186195;2,112.54538,90.78056;3,58.28638,106.26484;4,163.56671,47.17132;5,158.78322,146.54697;1742259631.0234432;1742259631.0314186;0.007976531982421875#0.00614#PreStim#PreStim
0,208.28264,90.019135;1,287.6121,114.186195;2,112.54538,90.78056;3,58.28638,106.26484;4,163.56671,47.17132;5,158.78322,146.54697;1742259631.0234432;1742259631.0375795;0.01413726806640625#0.00616#PreStim#PreStim
0,208.05708,89.31191;1,286.08923,101.827156;2,112.89189,88.21771;3,59.868313,97.8346;4,163.0765,47.216156;5,157.92955,147.15039;1742259631.0334387;1742259631.0442398;0.010802268981933594#0.00666#PreStim#PreStim
0,207.95721,88.13903;1,288.3145,106.131744;2,113.05697,88.73852;3,57.89555,97.28254;4,163.5106,46.859936;5,158.84154,146.83195;1742259631.043463;1742259631.050042;0.006579875946044922#0.0058#PreStim#PreStim
0,207.95721,88.13903;1,288.3145,106.131744;2,113.05697,88.73852;3,57.89555,97.28254;4,163.5106,46.859936;5,158.84154,146.83195;1742259631.043463;1742259631.0556397;0.01217794418334961#0.00559#PreStim#PreStim
0,208.20674,89.97075;1,285.74033,114.80364;2,112.75653,90.90788;3,57.539497,103.520386;4,162.79156,46.65447;5,158.11339,147.01343;1742259631.0534613;1742259631.062335;0.00887441635131836#0.0067#PreStim#PreStim
0,208.20674,89.97075;1,285.74033,114.80364;2,112.75653,90.90788;3,57.539497,103.520386;4,162.79156,46.65447;5,158.11339,147.01343;1742259631.0534613;1742259631.067934;0.014473676681518555#0.0056#PreStim#PreStim
0,208.36787,89.92496;1,285.35083,112.15709;2,112.539536,90.566574;3,57.618896,106.37211;4,163.68367,46.988525;5,158.73154,146.50917;1742259631.0634687;1742259631.0743299;0.010861873626708984#0.00639#PreStim#PreStim
0,208.13899,90.871124;1,290.3374,124.05925;2,113.099144,88.5416;3,58.17642,98.33994;4,163.62859,47.155975;5,158.81223,146.69725;1742259631.0734723;1742259631.0801528;0.006681680679321289#0.00582#PreStim#PreStim
0,208.13899,90.871124;1,290.3374,124.05925;2,113.099144,88.5416;3,58.17642,98.33994;4,163.62859,47.155975;5,158.81223,146.69725;1742259631.0734723;1742259631.0858865;0.012415170669555664#0.00573#PreStim#PreStim
0,208.41331,90.261566;1,284.97287,112.89952;2,112.56789,90.454666;3,57.076614,105.49378;4,163.8272,47.1624;5,158.67555,146.73169;1742259631.0834785;1742259631.0920272;0.008549690246582031#0.00614#PreStim#PreStim
0,208.41331,90.261566;1,284.97287,112.89952;2,112.56789,90.454666;3,57.076614,105.49378;4,163.8272,47.1624;5,158.67555,146.73169;1742259631.0834785;1742259631.0981677;0.014689922332763672#0.00614#PreStim#PreStim
0,208.42715,90.80961;1,285.89465,119.2179;2,112.81587,87.784;3,55.717327,93.329704;4,163.4105,47.150284;5,158.7046,146.8606;1742259631.0934966;1742259631.104224;0.010729312896728516#0.00607#PreStim#PreStim
0,208.09213,90.74495;1,294.17444,116.721146;2,113.84269,85.79783;3,61.945164,90.42789;4,164.6331,47.347504;5,158.61758,146.76172;1742259631.1034973;1742259631.110886;0.007390499114990234#0.00665#PreStim#PreStim
0,208.09213,90.74495;1,294.17444,116.721146;2,113.84269,85.79783;3,61.945164,90.42789;4,164.6331,47.347504;5,158.61758,146.76172;1742259631.1034973;1742259631.11661;0.013114213943481445#0.00572#PreStim#PreStim
0,208.61006,90.81325;1,282.62097,110.52903;2,112.80337,89.627686;3,56.57469,100.29812;4,163.28474,46.680344;5,158.88971,146.70982;1742259631.1135423;1742259631.1226027;0.009062051773071289#0.006#PreStim#PreStim
0,208.61006,90.81325;1,282.62097,110.52903;2,112.80337,89.627686;3,56.57469,100.29812;4,163.28474,46.680344;5,158.88971,146.70982;1742259631.1135423;1742259631.129822;0.016280651092529297#0.00722#PreStim#PreStim
0,208.66646,91.48185;1,293.30414,119.1078;2,112.49756,89.57298;3,58.182068,98.42983;4,164.26463,47.23145;5,158.57861,146.76509;1742259631.1235223;1742259631.1352363;0.011714935302734375#0.00542#PreStim#PreStim
0,209.08318,91.295044;1,286.71637,117.50923;2,112.38232,90.21071;3,57.4323,103.44517;4,163.9274,46.3847;5,158.9714,146.8619;1742259631.133536;1742259631.140497;0.006961822509765625#0.00525#PreStim#PreStim
0,209.08318,91.295044;1,286.71637,117.50923;2,112.38232,90.21071;3,57.4323,103.44517;4,163.9274,46.3847;5,158.9714,146.8619;1742259631.133536;1742259631.1466079;0.013072729110717773#0.00612#PreStim#PreStim
0,209.2285,92.780174;1,292.38788,122.171295;2,113.04175,91.75668;3,59.458908,110.03241;4,164.32042,47.092747;5,158.82909,146.84468;1742259631.1435368;1742259631.152866;0.009329795837402344#0.00625#PreStim#PreStim
0,209.2285,92.780174;1,292.38788,122.171295;2,113.04175,91.75668;3,59.458908,110.03241;4,164.32042,47.092747;5,158.82909,146.84468;1742259631.1435368;1742259631.1586576;0.015121698379516602#0.00579#PreStim#PreStim
0,209.0238,91.32254;1,286.2593,118.89555;2,112.72239,88.460266;3,60.9023,95.3575;4,164.60999,44.752575;5,158.75865,147.33777;1742259631.153545;1742259631.1649172;0.011373281478881836#0.00626#PreStim#PreStim
0,209.5407,93.72799;1,292.71814,131.5925;2,113.06089,90.779816;3,57.97847,109.65823;4,164.50195,47.000237;5,157.78664,147.44255;1742259631.1635358;1742259631.170719;0.007184267044067383#0.00579#PreStim#PreStim
0,209.5407,93.72799;1,292.71814,131.5925;2,113.06089,90.779816;3,57.97847,109.65823;4,164.50195,47.000237;5,157.78664,147.44255;1742259631.1635358;1742259631.1774786;0.013944149017333984#0.00677#PreStim#PreStim
0,208.82999,91.0805;1,292.54822,124.14873;2,112.58771,90.327324;3,59.940136,107.38202;4,164.11678,47.448452;5,158.4385,147.61348;1742259631.1735685;1742259631.1831667;0.00959920883178711#0.00568#PreStim#PreStim
0,208.84065,92.23665;1,287.28574,132.72769;2,113.07241,89.39271;3,62.120796,104.65987;4,164.05493,46.946495;5,158.7755,146.35974;1742259631.1735685;1742259631.189134;0.015566825866699219#0.00598#PreStim#PreStim
0,208.8598,92.3032;1,287.40698,132.73602;2,113.084,89.420074;3,62.12636,104.620926;4,163.99817,46.900967;5,158.77562,146.38597;1742259631.183563;1742259631.1958377;0.012276172637939453#0.0067#PreStim#PreStim
0,208.96986,90.97031;1,291.5571,124.61741;2,112.73306,90.31706;3,59.057365,106.435104;4,164.42075,47.7295;5,158.58092,147.27028;1742259631.193585;1742259631.2012424;0.007658481597900391#0.0054#PreStim#PreStim
0,208.96986,90.97031;1,291.5571,124.61741;2,112.73306,90.31706;3,59.057365,106.435104;4,164.42075,47.7295;5,158.58092,147.27028;1742259631.193585;1742259631.207374;0.013790130615234375#0.00613#PreStim#PreStim
0,208.89177,91.38204;1,283.7654,132.78754;2,112.67609,91.18846;3,57.036514,106.36637;4,163.56691,47.189728;5,159.11177,146.48291;1742259631.2035813;1742259631.213402;0.009822368621826172#0.00602#PreStim#PreStim
0,208.96465,91.222946;1,292.8201,123.737755;2,112.49785,90.61306;3,58.748447,108.09685;4,164.2822,47.945034;5,158.57828,147.18102;1742259631.2035813;1742259631.2195742;0.015994548797607422#0.00618#PreStim#PreStim
0,208.96465,91.222946;1,292.8201,123.737755;2,112.49785,90.61306;3,58.748447,108.09685;4,164.2822,47.945034;5,158.57828,147.18102;1742259631.2135992;1742259631.2253566;0.01175832748413086#0.00577#PreStim#PreStim
0,209.04416,91.60867;1,281.30664,126.31357;2,112.14325,91.49512;3,56.53943,109.78613;4,163.42975,47.288742;5,159.01587,146.84389;1742259631.2235968;1742259631.2326405;0.009044885635375977#0.00729#PreStim#PreStim
0,209.04416,91.60867;1,281.30664,126.31357;2,112.14325,91.49512;3,56.53943,109.78613;4,163.42975,47.288742;5,159.01587,146.84389;1742259631.2235968;1742259631.2379303;0.014334917068481445#0.00529#PreStim#PreStim
0,209.0059,90.98174;1,291.04144,123.76777;2,112.8313,90.62377;3,58.539543,108.86946;4,164.26912,47.559673;5,158.36555,147.17995;1742259631.2336185;1742259631.2443612;0.010744333267211914#0.00644#PreStim#PreStim
0,208.90857,91.2162;1,284.23364,126.26201;2,112.97314,89.64297;3,57.46384,101.533585;4,163.55896,46.890175;5,158.83022,146.7349;1742259631.2436182;1742259631.2500372;0.00642085075378418#0.00567#PreStim#PreStim
0,208.90857,91.2162;1,284.23364,126.26201;2,112.97314,89.64297;3,57.46384,101.533585;4,163.55896,46.890175;5,158.83022,146.7349;1742259631.2436182;1742259631.2557256;0.012108087539672852#0.00569#PreStim#PreStim
0,208.67703,91.20817;1,288.86548,123.371506;2,112.577065,90.098755;3,58.473392,104.39787;4,164.49228,47.460823;5,158.35805,147.01958;1742259631.2536132;1742259631.2625055;0.008893966674804688#0.00679#PreStim#PreStim
