ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,199.36537,93.03658;1,280.43253,109.28267;2,107.5234,87.62565;3,53.02501,72.97308;4,154.03203,52.828266;5,154.46387,149.76227;1742343294.0525932;1742343294.0656278;0.013035774230957031#0.03196#PreStim#PreStim
0,200.08162,95.59994;1,285.12454,113.812874;2,107.87741,90.523056;3,48.654175,88.62935;4,153.67128,52.317966;5,154.68315,149.2018;1742343294.0602121;1742343294.0712411;0.011030912399291992#0.00561#PreStim#PreStim
0,199.5589,93.651566;1,279.3886,111.66916;2,107.730545,86.55172;3,61.214108,63.87865;4,154.53822,52.160427;5,154.28455,149.59967;1742343294.0602121;1742343294.0767522;0.016541004180908203#0.00551#PreStim#PreStim
0,199.5589,93.651566;1,279.3886,111.66916;2,107.730545,86.55172;3,61.214108,63.87865;4,154.53822,52.160427;5,154.28455,149.59967;1742343294.071389;1742343294.083054;0.01166677474975586#0.00631#PreStim#PreStim
0,198.87543,93.37398;1,279.70685,113.56795;2,107.82792,86.28605;3,65.01042,67.49308;4,154.79428,51.371765;5,154.10878,149.36371;1742343294.0802379;1742343294.0893722;0.009135007858276367#0.00631#PreStim#PreStim
0,198.87543,93.37398;1,279.70685,113.56795;2,107.82792,86.28605;3,65.01042,67.49308;4,154.79428,51.371765;5,154.10878,149.36371;1742343294.0802379;1742343294.0950253;0.014788627624511719#0.00566#PreStim#PreStim
0,198.95045,93.45067;1,270.42722,116.547424;2,107.73978,86.7906;3,57.849457,68.09824;4,154.60052,52.12523;5,154.18446,148.88878;1742343294.0902498;1742343294.101478;0.01122903823852539#0.00645#PreStim#PreStim
0,199.3542,93.46309;1,281.04675,110.87773;2,107.69668,87.11288;3,58.70076,66.174286;4,155.01086,52.078068;5,154.34668,149.73666;1742343294.1002371;1742343294.107323;0.007086753845214844#0.00584#PreStim#PreStim
0,199.3542,93.46309;1,281.04675,110.87773;2,107.69668,87.11288;3,58.70076,66.174286;4,155.01086,52.078068;5,154.34668,149.73666;1742343294.1002371;1742343294.1130233;0.012787103652954102#0.0057#PreStim#PreStim
0,200.23549,95.99133;1,285.20526,117.69312;2,107.33371,90.236725;3,63.69393,73.101006;4,154.63945,51.3215;5,154.57701,149.27222;1742343294.110264;1742343294.1187725;0.008509635925292969#0.00575#PreStim#PreStim
0,200.23549,95.99133;1,285.20526,117.69312;2,107.33371,90.236725;3,63.69393,73.101006;4,154.63945,51.3215;5,154.57701,149.27222;1742343294.110264;1742343294.1249006;0.01463770866394043#0.00613#PreStim#PreStim
0,199.72098,93.57264;1,280.42148,109.19081;2,107.74073,86.429214;3,59.82662,65.83757;4,154.75383,52.290726;5,154.47404,149.59189;1742343294.1202595;1742343294.1312718;0.011013507843017578#0.00637#PreStim#PreStim
0,198.66136,92.9681;1,281.0409,109.93114;2,107.96533,86.989975;3,61.205635,71.69446;4,154.79454,51.79643;5,154.23647,149.20013;1742343294.1302922;1742343294.1370304;0.006738901138305664#0.00576#PreStim#PreStim
0,198.66136,92.9681;1,281.0409,109.93114;2,107.96533,86.989975;3,61.205635,71.69446;4,154.79454,51.79643;5,154.23647,149.20013;1742343294.1302922;1742343294.1432524;0.012961149215698242#0.00622#PreStim#PreStim
0,199.74458,94.15549;1,269.94254,119.42568;2,107.83873,87.89588;3,48.70273,76.08893;4,154.30412,51.519005;5,154.2808,148.9562;1742343294.1402965;1742343294.149118;0.008822441101074219#0.00587#PreStim#PreStim
0,199.74458,94.15549;1,269.94254,119.42568;2,107.83873,87.89588;3,48.70273,76.08893;4,154.30412,51.519005;5,154.2808,148.9562;1742343294.1402965;1742343294.1560667;0.015770912170410156#0.00695#PreStim#PreStim
0,199.80037,93.07177;1,281.46216,106.254234;2,107.74164,87.14529;3,56.520794,73.04506;4,154.50168,52.307156;5,154.4762,149.85735;1742343294.1502922;1742343294.1615934;0.01130223274230957#0.00553#PreStim#PreStim
0,199.05133,94.06982;1,283.1644,109.68535;2,108.2923,87.706635;3,57.483807,82.08234;4,154.53976,51.4642;5,154.46771,148.94884;1742343294.1603122;1742343294.1672263;0.006914854049682617#0.00563#PreStim#PreStim
