ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,199.09747,93.475395;1,278.93408,112.33286;2,105.7785,75.86653;3,93.058815,37.537086;4,157.73259,53.235474;5,154.90106,151.33183;1742343641.4005651;1742343641.4118817;0.011317968368530273#0#PreStim#PreStim
0,200.94112,94.96219;1,285.12122,119.826775;2,106.903,84.37759;3,86.57022,56.35368;4,158.56941,53.943275;5,154.98409,151.20903;1742343641.4105923;1742343641.4175558;0.006964921951293945#0.0047#PreStim#PreStim
0,200.94112,94.96219;1,285.12122,119.826775;2,106.903,84.37759;3,86.57022,56.35368;4,158.56941,53.943275;5,154.98409,151.20903;1742343641.4105923;1742343641.426497;0.01590561866760254#0.00876#PreStim#PreStim
0,199.27051,92.96897;1,280.25168,114.11214;2,106.034546,75.5255;3,93.799675,39.33446;4,157.76685,53.49066;5,154.91138,150.96626;1742343641.4205887;1742343641.433109;0.01252126693725586#0.00661#PreStim#PreStim
0,200.19244,94.68319;1,284.50247,124.42472;2,106.41943,82.13314;3,92.97614,40.72978;4,157.81793,54.279556;5,155.28505,150.93173;1742343641.430592;1742343641.438819;0.008227825164794922#0.00571#PreStim#PreStim
0,200.19244,94.68319;1,284.50247,124.42472;2,106.41943,82.13314;3,92.97614,40.72978;4,157.81793,54.279556;5,155.28505,150.93173;1742343641.430592;1742343641.4449441;0.014353036880493164#0.00613#PreStim#PreStim
0,199.83382,93.764854;1,280.057,119.8394;2,105.93361,74.74996;3,92.16861,42.95322;4,157.93585,52.888866;5,154.6645,151.39316;1742343641.4406073;1742343641.4513206;0.01071476936340332#0.00638#PreStim#PreStim
0,199.6141,94.82879;1,284.55978,126.30432;2,104.99006,77.45361;3,92.65045,37.268856;4,156.89317,54.529205;5,154.49287,150.88159;1742343641.450607;1742343641.457479;0.006873130798339844#0.00615#PreStim#PreStim
0,199.6141,94.82879;1,284.55978,126.30432;2,104.99006,77.45361;3,92.65045,37.268856;4,156.89317,54.529205;5,154.49287,150.88159;1742343641.450607;1742343641.463238;0.012632369995117188#0.00576#PreStim#PreStim
0,199.92172,94.282234;1,282.82126,121.50641;2,105.977325,74.63235;3,85.411194,53.683743;4,157.7492,52.693535;5,154.61615,151.65225;1742343641.4606256;1742343641.4690518;0.008427619934082031#0.00581#PreStim#PreStim
