ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,216.13042,96.18236;1,283.60202,72.22755;2,123.48517,106.84527;3,60.594482,118.61275;4,165.58679,66.27237;5,172.21472,160.87102;1742343705.7062476;1742343705.7203622;0.01411581039428711#0.06276#PreStim#PreStim
0,215.9534,97.315346;1,279.39642,57.833706;2,125.36713,106.04126;3,66.8078,114.49107;4,166.7857,66.50478;5,172.94745,162.04883;1742343705.7162504;1742343705.7253985;0.00914907455444336#0.00503#PreStim#PreStim
0,215.9534,97.315346;1,279.39642,57.833706;2,125.36713,106.04126;3,66.8078,114.49107;4,166.7857,66.50478;5,172.94745,162.04883;1742343705.7162504;1742343705.7309177;0.01466822624206543#0.00552#PreStim#PreStim
0,215.71886,98.56879;1,304.50024,84.95229;2,124.167786,106.60018;3,64.254364,117.04614;4,168.38672,66.45345;5,173.06595,160.24008;1742343705.7262568;1742343705.7373717;0.01111602783203125#0.00647#PreStim#PreStim
0,217.8859,94.40133;1,272.06912,51.17329;2,125.89286,103.59629;3,63.96934,112.40073;4,167.6393,65.18827;5,172.7896,161.04787;1742343705.7362444;1742343705.7428725;0.006628990173339844#0.00548#PreStim#PreStim
0,217.8859,94.40133;1,272.06912,51.17329;2,125.89286,103.59629;3,63.96934,112.40073;4,167.6393,65.18827;5,172.7896,161.04787;1742343705.7362444;1742343705.7489336;0.012690305709838867#0.00606#PreStim#PreStim
0,214.68338,99.8046;1,273.62668,53.425724;2,123.97965,107.02014;3,64.2595,122.51628;4,167.50072,65.82099;5,171.81021,160.84685;1742343705.746267;1742343705.7553039;0.009038448333740234#0.00637#PreStim#PreStim
0,214.68338,99.8046;1,273.62668,53.425724;2,123.97965,107.02014;3,64.2595,122.51628;4,167.50072,65.82099;5,171.81021,160.84685;1742343705.746267;1742343705.7612107;0.014944791793823242#0.0059#PreStim#PreStim
0,216.50711,92.64696;1,263.18872,50.233356;2,124.23782,102.18024;3,60.306667,113.34113;4,165.8941,64.42198;5,170.99832,160.18687;1742343705.7562664;1742343705.767307;0.011041641235351562#0.00609#PreStim#PreStim
0,215.9931,93.67991;1,264.07953,41.722675;2,123.85303,101.81393;3,66.90233,117.69143;4,165.76097,63.27069;5,170.54785,160.42783;1742343705.7662663;1742343705.773193;0.0069277286529541016#0.00589#PreStim#PreStim
0,215.9931,93.67991;1,264.07953,41.722675;2,123.85303,101.81393;3,66.90233,117.69143;4,165.76097,63.27069;5,170.54785,160.42783;1742343705.7662663;1742343705.77927;0.013004541397094727#0.00607#PreStim#PreStim
0,214.89401,92.280685;1,298.34457,71.23691;2,122.50746,103.61876;3,57.501614,114.54472;4,165.34363,64.79229;5,171.20943,158.69481;1742343705.7763002;1742343705.785644;0.009344816207885742#0.00638#PreStim#PreStim
0,214.89401,92.280685;1,298.34457,71.23691;2,122.50746,103.61876;3,57.501614,114.54472;4,165.34363,64.79229;5,171.20943,158.69481;1742343705.7763002;1742343705.7916996;0.01540064811706543#0.00605#PreStim#PreStim
0,216.76639,91.361824;1,265.94254,41.791027;2,123.73924,102.34254;3,59.60874,113.0019;4,164.77637,64.19221;5,171.37396,160.87283;1742343705.7863002;1742343705.7973268;0.01102757453918457#0.00563#PreStim#PreStim
0,214.19489,98.08018;1,265.28854,45.65234;2,122.99238,106.5228;3,63.123936,123.65023;4,165.16899,64.54731;5,170.8731,161.40878;1742343705.7963119;1742343705.8039424;0.007631540298461914#0.00661#PreStim#PreStim
0,214.19489,98.08018;1,265.28854,45.65234;2,122.99238,106.5228;3,63.123936,123.65023;4,165.16899,64.54731;5,170.8731,161.40878;1742343705.7963119;1742343705.8096557;0.013344526290893555#0.00571#PreStim#PreStim
0,217.00696,92.78316;1,262.1269,51.908203;2,123.56623,103.10426;3,58.265015,117.48183;4,163.79953,63.539097;5,170.63168,162.64386;1742343705.806303;1742343705.8155332;0.009231805801391602#0.00589#PreStim#PreStim
0,217.00696,92.78316;1,262.1269,51.908203;2,123.56623,103.10426;3,58.265015,117.48183;4,163.79953,63.539097;5,170.63168,162.64386;1742343705.806303;1742343705.8215797;0.015277862548828125#0.00603#PreStim#PreStim
0,215.14404,95.2809;1,262.7589,42.87542;2,122.78269,105.60861;3,65.73598,120.25722;4,163.78883,64.61427;5,169.96031,164.34503;1742343705.8163207;1742343705.8275545;0.011235475540161133#0.00599#PreStim#PreStim
0,212.42845,97.880424;1,293.92322,76.033104;2,120.059296,108.219826;3,56.1317,119.80079;4,162.55653,68.63306;5,168.50377,164.1187;1742343705.826334;1742343705.835022;0.008689165115356445#0.00745#PreStim#PreStim
