OOI ID,Name,Object Type,Speed,Initial Behaviour,EncounterBehaviour
24,Dandelion_Y4,StaticOOI,1,Patrol,None

X position, Y position, Z position, X rotation, Y rotation, Z rotation, X scale, Y scale, Z scale, TimeSinceLastUpdate
N:PreStim Started,,,,,,,,,20250116_140942.583648
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006956111
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006956111
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.02
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.00606043
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061461
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006059968
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060771
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061203
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060247
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060818
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061076
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060339
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061165
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060266
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060623
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061177
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060534
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060591
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061067
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060201
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061541
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006059989
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060693
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061195
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060001
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060715
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061228
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060471
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.00606114
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060174
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060703
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061279
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060271
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060401
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060876
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060945
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061301
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060112
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060735
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061052
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060373
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060468
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060978
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060717
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.00606101
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060243
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060615
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061495
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006059822
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060609
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.00606111
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060505
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061232
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060151
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060798
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061225
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060335
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.00606059
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060822
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060532
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061004
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060464
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060736
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061252
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006059906
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061447
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060229
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060607
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006061038
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060522
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060784
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.006060613
