OOI ID,Name,Object Type,Speed,Initial Behaviour,EncounterBehaviour
28,Dandelion_Grey4,StaticOOI,1,Patrol,None

X position, Y position, Z position, X rotation, Y rotation, Z rotation, X scale, Y scale, Z scale, TimeSinceLastUpdate
N:PreStim Started,,,,,,,,,20240617_100538.529985
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03353361
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03353361
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.02
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.02599672
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03391863
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.032694
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03400924
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03267078
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03414333
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03261168
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03416926
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03249002
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03363628
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03302967
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03364943
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03300782
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03364972
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03300797
N:Loop Closed,,,,,,,,,20240617_100539.052265
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03367162
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03302783
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03364174
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03299017
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03365358
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03298224
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03372718
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03304159
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03365879
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03295938
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0336783
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03296701
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03372232
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03300883
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0335854
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03308
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03358985
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03300464
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03365802
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03300288
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03365665
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03300653
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03367176
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03299268
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03368879
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03303033
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03367967
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03292701
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03369886
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03299845
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03367753
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03305449
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03359191
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03298638
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03367127
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03299769
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03367338
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03303954
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03363165
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03300448
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03366866
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03301425
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03369635
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03297236
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03364369
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03299423
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03368909
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03296111
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0336968
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03299772
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03368806
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03298279
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03366452
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03296956
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03369399
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0330559
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03360527
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03315625
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03353315
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0332283
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03343078
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0333125
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03335382
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03341724
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03323523
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03358483
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03308577
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03366389
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03299778
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03299905
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03366588
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03299866
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03368874
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03302531
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03362445
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03296834
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03371152
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0329181
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03371067
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03301309
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0337427
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03293876
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03372145
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03293952
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0336739
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03308429
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03353106
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03299924
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03366401
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03305243
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03368425
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03303881
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03360633
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03299757
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03366452
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03301258
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03370383
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03300117
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03362342
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03297184
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03368476
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03299997
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03373274
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0329411
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03368455
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03303794
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03360371
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03303123
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03365107
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03298926
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0336706
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03301705
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0336612
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03299707
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03373082
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03298408
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03371519
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0329013
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03386831
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03280351
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03396457
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03274849
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.0340164
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03261601
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03416185
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03250717
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03423394
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03244381
0.98,-0.3,0.17,0,0,0,0.2,0.2,0.2,0.03368832
