OOI ID,Name,Object Type,Speed,Initial Behaviour,EncounterBehaviour
22,Dandelion_Y2,StaticOOI,1,Patrol,None

X position, Y position, Z position, X rotation, Y rotation, Z rotation, X scale, Y scale, Z scale, TimeSinceLastUpdate
N:PreStim Started,,,,,,,,,20241104_105613.810041
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.02307395
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.02307395
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.02
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006061083
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060954
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060713
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.00606097
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060387
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006061154
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060092
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060481
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006061298
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060189
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060598
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006061014
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.00606034
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060921
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.00606034
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006061205
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060968
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060921
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060446
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060923
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060531
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006061514
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060091
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006060597
1.41,-0.3,1.41,0,0,0,0.2,0.2,0.2,0.006061546
